Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Фировская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256					
1	"Число избирателей, внесенных в список избирателей"	8370	2147	2245	627	564	342	222	871	413	200	199	141	257	142					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6650	1600	1700	500	500	300	200	700	350	200	200	100	200	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3368	1008	917	245	205	108	59	312	211	91	86	43	44	39					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1196	137	106	110	145	114	57	194	35	29	34	46	144	45					
6	Число погашенных избирательных бюллетеней	2086	455	677	145	150	78	84	194	104	80	80	11	12	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1196	137	106	110	145	114	57	194	35	29	34	46	144	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3366	1007	917	245	204	108	59	312	211	91	86	43	44	39					
9	Число недействительных избирательных бюллетеней	52	11	18	3	4	4	0	6	3	1	0	0	2	0					
10	Число действительных избирательных бюллетеней	4510	1133	1005	352	345	218	116	500	243	119	120	89	186	84					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	227	37	40	25	20	20	5	10	15	17	15	0	4	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	200	37	28	12	20	20	5	8	15	17	15	0	4	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	26	7	6	4	6	1	11	2	4	3	8	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	27	0	12	13	0	0	0	2	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	11	4	0	0	0	0	0	5	0	0	0	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	915	297	246	76	67	25	19	78	39	11	11	12	25	9					
		20.06%	25.96%	24.05%	21.41%	19.20%	11.26%	16.38%	15.42%	15.85%	9.17%	9.17%	13.48%	13.30%	10.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	592	132	112	51	55	36	17	79	27	18	20	20	18	7					
		12.98%	11.54%	10.95%	14.37%	15.76%	16.22%	14.66%	15.61%	10.98%	15.00%	16.67%	22.47%	9.57%	8.33%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	16	9	3	0	3	2	4	3	2	2	2	2	0					
		1.05%	1.40%	0.88%	0.85%	0.00%	1.35%	1.72%	0.79%	1.22%	1.67%	1.67%	2.25%	1.06%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	854	204	207	60	49	45	16	82	86	25	23	25	26	6					
		18.72%	17.83%	20.23%	16.90%	14.04%	20.27%	13.79%	16.21%	34.96%	20.83%	19.17%	28.09%	13.83%	7.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	65	22	18	6	1	4	0	6	6	0	1	0	0	1					
		1.42%	1.92%	1.76%	1.69%	0.29%	1.80%	0.00%	1.19%	2.44%	0.00%	0.83%	0.00%	0.00%	1.19%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2016	457	405	155	173	105	62	249	81	63	63	30	114	59					
		44.19%	39.95%	39.59%	43.66%	49.57%	47.30%	53.45%	49.21%	32.93%	52.50%	52.50%	33.71%	60.64%	70.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	20	5	8	1	0	0	0	2	1	0	0	0	1	2					
		0.44%	0.44%	0.78%	0.28%	0.00%	0.00%	0.00%	0.40%	0.41%	0.00%	0.00%	0.00%	0.53%	2.38%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
