Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Коломенская городская																																																																																																											
																																																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																											
																																																																																																											
		Сумма	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5038	УИК №5039	УИК №5040	УИК №5066	УИК №5067	УИК №5068	УИК №5069	УИК №5070	УИК №5071	УИК №5072	УИК №5073	УИК №5074	УИК №5107	УИК №5108	УИК №5113	УИК №5114	УИК №5252	УИК №5361					
1	"Число избирателей, внесенных в списки"	152085	1500	1445	1347	1489	1457	2608	2554	1687	2892	1284	2077	1596	1336	1977	929	2024	1784	2869	1636	1142	812	1043	2134	1925	1595	1000	2481	1495	2076	2062	2449	1948	2292	1826	2178	2230	2061	1580	1606	1799	2036	2221	2024	1902	2389	1579	1757	1068	2538	2490	2042	2182	1546	2432	2042	2412	2319	2997	2018	1284	2169	1130	274	97	186	44	56	68	1435	2626	2575	2190	1150	1285	765	645	359	167	878	1197	751	933	1117	585	174	304	668	352	499	718	727	1500	3037	4815	445	342	483	125	1088	623					
2	"Число бюллетеней, полученных участковыми комиссиями"	180049	1394	1350	1271	1421	1353	2364	2440	1600	2684	1208	1959	1523	1256	1830	874	1916	1673	2651	1558	1085	763	991	2041	1832	1509	948	2315	1394	1948	1957	2296	1838	2180	1712	2041	2132	1922	1482	1515	1677	1928	2106	1875	1801	2282	1489	1664	973	2421	2366	1923	2025	1470	2315	1938	2291	2163	2199	1917	1191	2051	1051	243	98	173	44	57	70	1354	2507	2459	2096	2000	1400	800	700	400	500	899	1200	860	1000	10000	4000	2000	597	1000	700	800	1000	1700	1700	7500	11800	500	250	480	120	3900	3800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	1775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	119	0	52	0	0	0	0	0	0	0	0	1050	0	0	74	52	235	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	81548	526	540	640	612	442	1562	1240	644	1425	495	991	887	747	949	396	1172	704	1375	872	471	338	388	1061	828	840	506	1249	737	965	874	1100	982	1137	1058	1091	1068	996	727	790	800	1059	1163	1054	909	1249	771	775	506	1313	1152	938	1095	714	1213	877	1105	852	1898	805	583	996	374	240	97	168	44	53	65	665	1238	1231	1117	1128	1155	361	356	207	167	789	1081	717	322	943	581	122	303	603	337	449	688	676	1415	2923	3765	226	95	159	0	813	623					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3900	52	10	52	32	421	71	30	16	29	79	55	27	24	35	13	24	14	16	9	24	14	16	24	32	12	15	29	27	29	29	13	16	22	6	9	35	44	31	32	55	38	40	32	36	41	22	10	19	11	23	26	8	23	19	15	26	53	51	32	27	16	36	0	0	0	0	0	0	14	10	48	23	22	123	364	241	117	0	33	50	34	397	2	3	0	1	0	0	0	30	51	56	114	0	0	0	0	0	40	0					
6	Число погашенных бюллетеней	92826	816	800	579	777	490	731	1170	940	1230	634	913	609	485	846	465	720	955	1260	677	590	411	587	956	972	657	427	1037	630	954	1054	1183	840	1021	648	941	1029	882	724	693	822	831	903	789	856	992	696	879	448	1097	1191	959	922	733	1083	1046	1160	1258	250	1080	581	1039	641	3	1	5	0	4	5	675	1259	1180	956	850	122	75	103	76	333	77	69	109	88	8936	3416	1826	293	397	363	351	282	973	229	4463	6985	274	155	247	68	2812	3177					
7	Число бюллетеней в переносных ящиках для голосования	5503	52	10	52	32	421	71	30	16	29	79	55	27	24	35	13	24	14	16	9	24	14	16	24	32	12	15	29	27	29	29	13	16	21	6	9	35	44	31	32	55	38	40	32	36	41	22	10	19	11	23	26	8	23	19	15	26	53	51	32	27	16	36	0	0	0	0	0	0	14	10	48	23	22	123	364	241	117	0	33	50	34	590	2	3	52	1	0	0	0	30	51	56	114	1050	0	0	74	0	275	0					
8	Число бюллетеней в стационарных ящиках для голосования	81443	526	540	637	612	442	1562	1240	638	1422	495	989	846	724	949	394	1172	702	1375	856	449	338	386	1060	825	835	506	1245	737	965	874	1100	981	1114	1056	1091	1066	996	727	790	800	1059	1163	1054	896	1249	771	775	506	1313	1152	912	1087	710	1213	877	1100	852	1889	805	583	996	374	240	97	168	44	53	65	665	1238	1231	1117	1126	1155	361	356	206	167	786	1081	717	322	1062	579	122	303	584	337	449	688	676	1402	2923	3757	226	95	159	52	813	623					
9	Число недействительных бюллетеней	1060	5	20	16	11	14	18	6	7	8	9	19	11	14	5	13	11	13	18	11	1	0	8	15	5	8	9	9	21	14	24	21	5	21	2	6	13	5	10	13	7	26	16	8	5	8	19	7	10	39	21	16	16	10	45	12	47	9	16	23	11	22	7	2	2	8	0	3	5	19	16	18	19	1	10	1	0	1	3	4	4	5	1	5	4	0	4	3	0	5	9	5	5	0	37	1	0	0	0	6	15					
10	Число действительных бюллетеней	85886	573	530	673	633	849	1615	1264	647	1443	565	1025	862	734	979	394	1185	703	1373	854	472	352	394	1069	852	839	512	1265	743	980	879	1092	992	1114	1060	1094	1088	1035	748	809	848	1071	1187	1078	927	1282	774	778	515	1285	1154	922	1079	723	1187	880	1079	896	1924	814	599	990	403	238	95	160	44	50	60	660	1232	1261	1121	1147	1268	724	597	322	164	815	1127	746	911	1059	578	174	300	581	337	444	709	722	1453	3037	4770	225	95	233	52	1082	608					
