Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																															
Дата голосования: 04.12.2011																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Нижневартовская городская																																																																																															
																																																																																															
Сводная таблица результатов выборов																																																																																															
																																																																																															
		Сумма	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655					
1	"Число избирателей, внесенных в список избирателей"	174533	2613	2807	2637	1760	1705	2173	1880	1738	1897	2244	2032	1600	2268	2205	1908	1792	2476	1920	1958	1907	2410	1806	1964	1751	2082	2127	2112	2611	2483	2221	1827	1332	2146	2755	2250	2280	2516	2695	2843	2372	2735	2507	2678	2537	2560	2594	2429	1831	2004	2435	2202	2138	1751	1868	1934	2557	2742	2407	1448	2384	1892	1899	2429	2608	2535	2178	2451	1984	2588	494	1982	2362	1696	1548	1068	1675	1308	1032	1667	2080	2039	204	393	242	1333	557	301	144					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	170400	2500	2700	2500	1800	1650	2100	1800	1600	1800	2200	2000	1500	2100	2100	1900	1700	2400	1900	1900	1900	2300	1700	1900	1600	2000	2100	2100	2700	2400	2100	1850	1200	2100	2700	2400	2200	2500	2600	2800	2250	2600	2550	2600	2500	2500	2600	2300	1800	2000	2400	2250	2100	1700	1800	1900	2500	2700	2200	1250	2600	1800	1950	2150	2600	2500	2200	2400	1950	2500	500	1950	2300	1650	1500	1050	1650	1250	950	1700	2150	2000	200	350	200	1250	500	300	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	80966	1139	1232	1150	739	760	1002	840	797	909	839	871	796	1009	1049	906	887	1217	952	937	858	1151	784	853	785	891	1107	1028	1242	1133	999	719	612	869	1288	1229	1153	1288	1298	1429	1142	1307	1293	1348	1297	1148	1230	1136	913	925	1033	1009	933	835	940	879	1151	1349	887	682	1275	810	918	1102	1228	1225	1022	1158	930	1347	251	978	1166	852	620	402	663	445	347	736	1104	842	72	118	101	580	219	127	144					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1221	13	15	5	34	2	9	11	2	7	4	8	1	7	12	8	5	10	11	8	12	4	22	2	13	18	5	20	10	8	49	27	5	15	4	13	7	4	11	21	17	20	13	21	4	2	6	1	9	44	24	11	8	7	8	13	14	9	10	5	19	9	4	163	17	10	21	69	17	10	0	10	3	4	3	8	3	3	10	7	13	4	9	12	0	0	0	105	0					
6	Число погашенных избирательных бюллетеней	88208	1348	1453	1345	1027	888	1089	949	801	884	1357	1121	703	1084	1039	986	808	1173	937	955	1030	1145	894	1045	802	1091	988	1052	1448	1257	1052	1104	583	1216	1408	1158	1040	1208	1291	1350	1091	1273	1244	1231	1199	1350	1364	1163	878	1031	1343	1230	1159	858	852	1008	1335	1342	1303	563	1306	981	1028	885	1355	1265	1157	1173	1003	1143	249	960	1130	794	877	640	984	802	593	957	1033	1154	119	220	99	670	281	68	356					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1220	13	15	5	34	2	8	11	2	7	4	8	1	7	12	8	5	10	11	8	12	4	22	2	13	18	5	20	10	8	49	27	5	15	4	13	7	4	11	21	17	20	13	21	4	2	6	1	9	44	24	11	8	7	8	13	14	9	10	5	19	9	4	163	17	10	21	69	17	10	0	10	3	4	3	8	3	3	10	7	13	4	9	12	0	0	0	105	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80895	1139	1232	1150	739	760	1002	840	796	907	839	871	796	1009	1049	906	887	1217	952	935	858	1150	784	853	785	873	1107	1028	1242	1133	998	719	611	869	1287	1229	1153	1288	1298	1429	1142	1305	1293	1348	1297	1148	1230	1136	913	925	1033	1009	933	834	940	879	1151	1349	886	682	1275	808	918	1101	1228	1225	1022	1124	930	1347	251	976	1166	852	620	402	663	445	346	736	1104	842	72	118	101	580	219	127	144					
9	Число недействительных избирательных бюллетеней	1673	22	46	22	19	14	18	22	20	17	20	25	13	21	14	23	21	28	22	17	15	22	13	23	23	2	21	27	24	22	10	13	15	14	26	29	30	24	26	21	18	20	24	35	23	13	34	29	14	18	16	13	21	17	12	23	21	33	19	13	19	27	14	19	31	14	20	23	31	26	3	22	27	30	10	13	19	8	5	16	30	20	1	0	4	7	8	2	4					
10	Число действительных избирательных бюллетеней	80442	1130	1201	1133	754	748	992	829	778	897	823	854	784	995	1047	891	871	1199	941	926	855	1132	793	832	775	889	1091	1021	1228	1119	1037	733	601	870	1265	1213	1130	1268	1283	1429	1141	1305	1282	1334	1278	1137	1202	1108	908	951	1041	1007	920	824	936	869	1144	1325	877	674	1275	790	908	1245	1214	1221	1023	1170	916	1331	248	964	1142	826	613	397	647	440	351	727	1087	826	80	130	97	573	211	230	140					
