Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Богородская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
1	"Число избирателей, внесенных в списки"	4940	411	606	695	677	215	242	141	295	210	194	265	180	556	253					
2	"Число бюллетеней, полученных участковыми комиссиями"	5523	650	663	740	680	240	250	150	330	220	230	310	210	580	270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3308	352	383	361	408	164	168	101	197	175	142	214	129	327	187					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	495	59	32	48	67	22	30	10	28	18	27	12	35	75	32					
6	Число погашенных бюллетеней	1720	239	248	331	205	54	52	39	105	27	61	84	46	178	51					
7	Число бюллетеней в переносных ящиках для голосования	495	59	32	48	67	22	30	10	28	18	27	12	35	75	32					
8	Число бюллетеней в стационарных ящиках для голосования	3307	352	383	360	408	164	168	101	197	175	142	214	129	327	187					
9	Число недействительных бюллетеней	48	6	4	5	7	2	1	2	8	0	2	3	0	3	5					
10	Число действительных бюллетеней	3754	405	411	403	468	184	197	109	217	193	167	223	164	399	214					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	142	17	10	7	10	9	5	2	15	6	13	20	8	15	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	131	15	8	4	10	9	2	1	15	6	13	20	8	15	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	2	2	0	0	0	2	2	4	3	1	2	3	1	1					
14	Число погашенных открепительных удостоверений	11	2	2	3	0	0	3	1	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	8	1	3	1	3	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	48	2	6	4	6	4	1	1	3	3	4	3	1	6	4					
		1.26%	0.48%	1.44%	0.98%	1.26%	2.15%	0.50%	0.90%	1.33%	1.55%	2.36%	1.32%	0.60%	1.49%	1.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	9	5	4	11	1	1	0	0	2	1	2	4	1	4					
		1.18%	2.18%	1.20%	0.98%	2.31%	0.53%	0.50%	0.0%	0.0%	1.03%	0.59%	0.88%	2.43%	0.24%	1.82%					
