Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Викуловская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212					
1	"Число избирателей, внесенных в список избирателей"	12912	545	149	151	283	307	1718	1177	1256	1497	194	305	397	93	45	642	513	135	122	355	96	586	116	460	112	73	211	117	346	106	84	131	351	107	132					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13648	576	164	170	311	327	1755	1182	1309	1556	196	357	454	103	49	693	541	139	127	396	109	612	128	488	120	78	227	125	355	106	103	163	374	119	136					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10108	343	113	114	240	256	1299	937	1013	1384	152	211	310	77	40	504	417	84	96	239	76	487	88	291	82	62	152	104	238	81	59	96	275	83	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1310	66	16	25	26	37	98	85	85	37	31	73	54	10	5	108	67	41	23	53	14	70	17	39	16	8	14	13	67	4	20	33	29	12	14					
6	Число погашенных избирательных бюллетеней	2230	167	35	31	45	34	358	160	211	135	13	73	90	16	4	81	57	14	8	104	19	55	23	158	22	8	61	8	50	21	24	34	70	24	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1310	66	16	25	26	37	98	85	85	37	31	73	54	10	5	108	67	41	23	53	14	70	17	39	16	8	14	13	67	4	20	33	29	12	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10108	343	113	114	240	256	1299	937	1013	1384	152	211	310	77	40	504	417	84	96	239	76	487	88	291	82	62	152	104	238	81	59	96	275	83	105					
9	Число недействительных избирательных бюллетеней	85	21	0	0	0	0	0	6	3	7	1	16	2	2	1	0	3	0	0	1	0	0	0	3	0	0	5	1	0	2	4	0	6	0	1					
10	Число действительных избирательных бюллетеней	11333	388	129	139	266	293	1397	1016	1095	1414	182	268	362	85	44	612	481	125	119	291	90	557	105	327	98	70	161	116	305	83	75	129	298	95	118					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	648	31	15	20	20	14	30	30	30	40	8	25	44	13	8	35	20	5	5	35	10	25	10	25	8	5	17	12	20	5	20	25	20	13	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	648	31	15	20	20	14	30	30	30	40	8	25	44	13	8	35	20	5	5	35	10	25	10	25	8	5	17	12	20	5	20	25	20	13	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	7	3	4	4	1	15	15	5	10	6	2	1	3	0	6	0	2	2	6	0	4	0	4	2	2	2	4	6	5	2	1	3	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	0	0	0	0	0	3	2	2	3	0	26	4	0	0	3	1	1	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	431	30	3	7	2	4	84	57	77	7	7	7	4	3	3	2	8	0	1	6	3	6	3	28	1	1	11	5	12	3	3	1	22	12	8					
		3.77%	7.33%	2.33%	5.04%	0.75%	1.37%	6.01%	5.58%	7.01%	0.49%	3.83%	2.46%	1.10%	3.45%	6.67%	0.33%	1.65%	0.00%	0.84%	2.05%	3.33%	1.08%	2.86%	8.48%	1.02%	1.43%	6.63%	4.27%	3.93%	3.53%	3.80%	0.78%	7.24%	12.63%	6.72%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1180	63	21	12	18	15	165	107	168	73	46	14	25	9	6	27	12	6	5	47	11	22	12	89	8	3	33	25	24	12	2	4	53	12	31					
		10.33%	15.40%	16.28%	8.63%	6.77%	5.12%	11.81%	10.47%	15.30%	5.14%	25.14%	4.93%	6.87%	10.34%	13.33%	4.41%	2.48%	4.80%	4.20%	16.10%	12.22%	3.95%	11.43%	26.97%	8.16%	4.29%	19.88%	21.37%	7.87%	14.12%	2.53%	3.10%	17.43%	12.63%	26.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	57	3	0	3	0	0	8	5	7	3	0	1	1	1	0	0	4	0	0	3	0	2	0	7	0	0	2	1	1	2	1	0	2	0	0					
		0.50%	0.73%	0.00%	2.16%	0.00%	0.00%	0.57%	0.49%	0.64%	0.21%	0.00%	0.35%	0.27%	1.15%	0.00%	0.00%	0.83%	0.00%	0.00%	1.03%	0.00%	0.36%	0.00%	2.12%	0.00%	0.00%	1.20%	0.85%	0.33%	2.35%	1.27%	0.00%	0.66%	0.00%	0.00%					
