Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    район Крюково																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	69091	1714	1921	1520	1597	1083	1288	1443	1216	1419	1352	1283	1563	1828	1484	1168	1732	1889	1911	1610	1890	1854	1860	1759	1057	1277	1556	2255	1928	1182	1313	1869	1750	1871	2073	1798	1408	1357	1827	2038	1648	2263	2237									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54100	1300	1500	1200	1200	900	1000	1100	1000	1100	1100	1000	1200	1400	1200	900	1400	1500	1500	1300	1500	1400	1500	1400	800	1000	1200	1800	1500	900	1000	1400	1400	1500	1600	1400	1100	1100	1400	1600	1300	1800	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24150	624	632	514	583	335	497	513	469	523	463	477	538	603	562	453	665	648	713	563	663	608	630	649	343	459	503	779	641	456	504	667	655	757	743	632	455	423	515	698	519	729	747									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	775	31	21	29	17	18	9	17	10	15	19	11	8	8	20	7	11	20	25	11	10	9	21	13	10	14	5	15	24	10	16	26	19	16	31	16	37	44	44	21	18	31	18									
6	Число погашенных избирательных бюллетеней	29175	645	847	657	600	547	494	570	521	562	618	512	654	789	618	440	724	832	762	726	827	783	849	738	447	527	692	1006	835	434	480	707	726	727	826	752	608	633	841	881	763	1040	935									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	772	31	21	29	17	18	9	17	10	15	19	11	8	8	20	7	11	20	25	11	10	9	21	13	10	14	5	15	24	10	13	26	19	16	31	16	37	44	44	21	18	31	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24087	624	629	514	583	335	497	513	469	522	463	476	538	602	562	450	665	647	711	563	662	602	629	647	343	457	503	779	641	438	503	667	654	757	742	631	452	423	508	698	519	722	747									
9	Число недействительных избирательных бюллетеней	452	15	16	8	24	9	15	13	9	5	9	11	12	14	14	3	16	12	10	16	12	11	17	13	3	2	4	14	13	7	3	11	5	19	10	15	8	7	5	14	7	8	13									
10	Число действительных избирательных бюллетеней	24407	640	634	535	576	344	491	517	470	532	473	476	534	596	568	454	660	655	726	558	660	600	633	647	350	469	504	780	652	441	513	682	668	754	763	632	481	460	547	705	530	745	752									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	670	10	20	20	20	20	10	10	10	10	20	10	20	10	20	10	10	10	20	30	20	20	20	20	10	10	20	20	20	20	20	10	10	20	20	10	20	10	10	20	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	443	9	15	14	9	10	7	10	7	5	13	3	17	6	12	9	8	6	13	19	11	14	11	11	3	6	9	17	13	15	12	10	9	17	11	8	10	6	8	12	8	16	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	449	8	4	5	20	3	24	19	13	2	2	1	5	0	7	9	3	8	17	7	5	6	3	18	8	1	6	8	22	22	7	27	19	22	6	10	5	16	17	42	8	2	12									
14	Число погашенных неиспользованных открепительных удостоверений	227	1	5	6	11	10	3	0	3	5	7	7	3	4	8	1	2	4	7	11	9	6	9	9	7	4	11	3	7	5	8	0	1	3	9	2	10	4	2	8	2	4	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	3	5	6	4	0	1	2	2	1	2	1	2	0	1	0	2	5	1	0	1	1	6	3	0	0	1	4	3	1	3	0	0	4	0	2	2	1	5	1	3	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	910	20	17	25	16	10	12	9	18	26	13	15	22	21	20	22	29	22	38	17	29	26	27	29	6	30	25	30	29	15	18	29	35	30	30	22	5	5	11	31	21	24	31									
