Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Монастырщинская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9132	245	192	614	334	203	128	298	270	247	687	223	156	181	316	587	191	228	217	182	1802	1831									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8420	220	170	620	300	190	120	270	250	230	690	200	140	170	290	530	180	210	210	170	1620	1640									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4028	103	101	216	157	89	62	133	105	100	273	91	74	87	135	242	88	115	109	75	799	874									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	651	24	24	49	43	29	1	40	20	43	46	26	14	26	27	41	37	17	26	28	38	52									
6	Число погашенных избирательных бюллетеней	3741	93	45	355	100	72	57	97	125	87	371	83	52	57	128	247	55	78	75	67	783	714									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	651	24	24	49	43	29	1	40	20	43	46	26	14	26	27	41	37	17	26	28	38	52									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4028	103	101	216	157	89	62	133	105	100	273	91	74	87	135	242	88	115	109	75	799	874									
9	Число недействительных избирательных бюллетеней	149	8	5	5	1	1	0	7	4	9	4	2	3	1	7	12	2	6	9	2	32	29									
10	Число действительных избирательных бюллетеней	4530	119	120	260	199	117	63	166	121	134	315	115	85	112	155	271	123	126	126	101	805	897									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	183	5	4	12	6	4	3	6	5	5	13	4	3	3	11	11	4	4	7	4	34	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	41	4	0	6	0	2	0	1	0	1	4	0	2	0	7	1	0	0	5	0	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	2	5	1	2	1	1	3	1	4	0	4	3	1	1	3	2	1	2	1	6	7									
14	Число погашенных неиспользованных открепительных удостоверений	142	1	4	6	6	2	3	5	5	4	9	4	1	3	4	10	4	4	2	4	30	31									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	51	2	2	1	0	2	0	1	1	3	3	1	0	2	3	1	1	1	2	1	13	11									
		1.09%	1.57%	1.60%	0.38%	0.00%	1.69%	0.00%	0.58%	0.80%	2.10%	0.94%	0.85%	0.00%	1.77%	1.85%	0.35%	0.80%	0.76%	1.48%	0.97%	1.55%	1.19%									
