Выборы Президента Российской Федерации																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Архангельск, Ломоносовская"																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №1083	УИК №1084	УИК №1085	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1157					
1	"Число избирателей, внесенных в список"	59776	2716	2084	2395	2391	2664	2223	2708	2530	1715	2789	2877	2466	2653	1965	2404	2666	2609	2665	2525	2032	2547	2434	2334	1972	161	148	62	108	35	24	23	23	24	24	23	21	19	22	17	21	20	20	30	20	21	20	21	18	18	18	18	17	18	16	18	15	17	15	16	15	16	15	17	10	20	31	30	24	9	16	15	13	12	13	14	31					
2	Число полученных избирательных бюллетеней	57063	2500	2000	2000	2500	2500	2000	2500	2000	1500	2500	2500	2500	2500	2000	2500	2500	2500	2500	2500	2000	2500	2500	2500	2000	150	150	100	150	35	26	26	23	26	24	23	24	22	25	17	21	25	20	40	24	21	24	21	18	20	20	18	17	18	18	18	18	17	18	18	16	18	18	20	10	24	35	34	27	12	16	15	13	12	13	14	31					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36516	1494	1117	1357	1478	1596	1398	1566	1515	954	1824	1770	1369	1592	1023	1510	1664	1684	1729	1663	1278	1595	1639	1219	1147	128	122	61	96	35	24	23	23	23	24	22	21	19	22	17	21	20	20	29	20	21	20	21	18	18	18	18	17	18	16	18	15	17	15	16	15	16	15	17	10	18	31	30	24	9	16	15	13	12	13	14	31					
5	"Число избирательных бюллетеней, выданных вне помещения"	633	31	25	30	16	26	16	22	4	26	31	27	21	26	43	27	47	24	42	26	21	29	26	27	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	19914	975	858	613	1006	878	586	912	481	520	645	703	1110	882	934	963	789	792	729	811	701	876	835	1254	833	22	28	39	54	0	2	3	0	3	0	1	3	3	3	0	0	5	0	11	4	0	4	0	0	2	2	0	0	0	2	0	3	0	3	2	1	2	3	3	0	6	4	4	3	3	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	633	31	25	30	16	26	16	22	4	26	31	27	21	26	43	27	47	24	42	26	21	29	26	27	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	36484	1494	1117	1355	1478	1596	1396	1566	1515	954	1824	1770	1367	1585	1022	1510	1664	1681	1722	1657	1278	1594	1639	1219	1147	128	122	61	95	35	24	23	23	23	24	22	21	19	22	17	21	20	20	29	20	21	20	21	18	18	18	18	17	18	16	18	15	17	15	16	15	16	15	17	10	18	31	30	24	9	16	15	13	12	13	14	31					
9	Число недействительных избирательных бюллетеней	116	5	8	7	6	2	8	4	3	1	2	6	4	7	4	1	9	9	2	3	3	3	9	4	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	37001	1520	1134	1378	1488	1620	1404	1584	1516	979	1853	1791	1384	1604	1061	1536	1702	1696	1762	1680	1296	1620	1656	1242	1165	128	121	61	93	35	24	23	23	23	24	22	21	19	22	16	21	20	20	29	20	21	20	21	18	18	18	18	17	18	16	18	15	17	15	16	15	16	15	17	10	18	31	30	24	9	16	15	13	12	13	14	31					
