Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Нязепетровская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162					
1	"Число избирателей, внесенных в список"	16224	1696	1999	1919	1456	404	2587	399	195	648	179	481	621	118	197	376	1060	195	140	85	167	172	726	261	143					
2	Число полученных избирательных бюллетеней	15091	1500	1900	1900	1300	370	2300	350	180	650	170	430	600	110	180	400	970	180	130	80	160	160	680	261	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10612	968	1192	1333	837	238	1559	236	139	454	134	338	496	96	161	234	789	153	100	61	118	130	503	213	130					
5	"Число избирательных бюллетеней, выданных вне помещения"	1374	125	221	88	127	71	127	45	31	65	21	25	30	10	19	88	73	20	20	10	18	20	78	42	0					
6	Число погашенных избирательных бюллетеней	3105	407	487	479	336	61	614	69	10	131	15	67	74	4	0	78	108	7	10	9	24	10	99	6	0					
7	Число избирательных бюллетеней в переносных ящиках	1374	125	221	88	127	71	127	45	31	65	21	25	30	10	19	88	73	20	20	10	18	20	78	42	0					
8	Число бюллетеней в стационарных ящиках для голосования	10601	961	1189	1333	836	238	1559	236	139	454	134	338	496	96	161	234	789	153	100	61	118	130	503	213	130					
9	Число недействительных избирательных бюллетеней	135	8	11	8	13	3	13	4	0	7	3	10	8	0	2	2	4	0	1	4	0	0	15	16	3					
10	Число действительных избирательных бюллетеней	11840	1078	1399	1413	950	306	1673	277	170	512	152	353	518	106	178	320	858	173	119	67	136	150	566	239	127					
11	Число полученных открепительных  удостоверений	192	15	15	15	15	5	19	5	5	13	5	5	5	5	5	5	10	5	5	5	5	5	10	5	5					
12	Число выданных открепительных удостоверений	96	7	15	13	5	1	19	0	1	11	5	1	5	1	0	0	5	0	1	0	0	5	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	7	15	11	2	5	9	1	4	6	0	7	2	1	2	1	1	0	0	2	1	4	5	1	1					
14	Число неиспользованных открепительных удостоверений	96	8	0	2	10	4	0	5	4	2	0	4	0	4	5	5	5	5	4	5	5	0	9	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	276	27	38	44	25	6	35	5	11	18	4	9	9	0	2	4	29	4	0	0	0	0	4	2	0					
		2.30%	2.49%	2.70%	3.10%	2.60%	1.94%	2.08%	1.78%	6.47%	3.47%	2.58%	2.48%	1.71%	0.00%	1.11%	1.24%	3.36%	2.31%	0.00%	0.00%	0.00%	0.00%	0.69%	0.78%	0.00%					
19	. Малышкин Олег Александрович	223	25	15	22	26	7	26	6	1	13	3	8	4	5	7	9	21	4	2	3	2	3	6	0	5					
		1.86%	2.30%	1.06%	1.55%	2.70%	2.27%	1.54%	2.14%	0.59%	2.50%	1.94%	2.20%	0.76%	4.72%	3.89%	2.80%	2.44%	2.31%	1.67%	4.23%	1.47%	2.00%	1.03%	0.00%	3.85%					
20	. Миронов Сергей Михайлович	72	2	12	9	5	1	10	1	1	1	1	4	0	0	1	2	7	1	0	0	1	3	9	1	0					
		0.60%	0.18%	0.85%	0.63%	0.52%	0.32%	0.59%	0.36%	0.59%	0.19%	0.65%	1.10%	0.00%	0.00%	0.56%	0.62%	0.81%	0.58%	0.00%	0.00%	0.74%	2.00%	1.55%	0.39%	0.00%					
21	. Путин Владимир Владимирович	8722	809	1023	987	729	232	1262	210	129	380	124	287	212	86	140	235	623	128	91	39	119	114	473	195	95					
		72.84%	74.49%	72.55%	69.46%	75.70%	75.08%	74.85%	74.73%	75.88%	73.22%	80.00%	79.06%	40.30%	81.13%	77.78%	72.98%	72.27%	73.99%	75.83%	54.93%	87.50%	76.00%	81.41%	76.47%	73.08%					
22	. Хакамада Ирина Муцуовна	247	20	42	46	21	4	41	8	0	7	0	3	10	2	2	13	9	3	0	2	3	2	7	0	2					
		2.06%	1.84%	2.98%	3.24%	2.18%	1.29%	2.43%	2.85%	0.00%	1.35%	0.00%	0.83%	1.90%	1.89%	1.11%	4.04%	1.04%	1.73%	0.00%	2.82%	2.21%	1.33%	1.20%	0.00%	1.54%					
23	. Харитонов Николай Михайлович	2052	168	228	251	119	50	266	44	28	83	16	40	277	13	24	51	157	30	24	20	9	27	62	40	25					
		17.14%	15.47%	16.17%	17.66%	12.36%	16.18%	15.78%	15.66%	16.47%	15.99%	10.32%	11.02%	52.66%	12.26%	13.33%	15.84%	18.21%	17.34%	20.00%	28.17%	6.62%	18.00%	10.67%	15.69%	19.23%					
																															
24	Против всех	248	27	41	54	25	6	33	3	0	10	4	2	6	0	2	6	12	3	2	3	2	1	5	1	0					
		2.07%	2.49%	2.91%	3.80%	2.60%	1.94%	1.96%	1.07%	0.00%	1.93%	2.58%	0.55%	1.14%	0.00%	1.11%	1.86%	1.39%	1.73%	1.67%	4.23%	1.47%	0.67%	0.86%	0.39%	0.00%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
