Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Кущевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52421	2022	2262	1956	1603	2378	2597	1490	1538	1491	2829	2886	292	533	207	345	250	171	426	1187	150	1048	2764	1356	221	764	2607	1510	272	1006	328	1963	1081	695	883	1089	145	229	163	475	487	569	337	840	243	191	219	2461	1334	528									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52340	2000	2250	1950	1600	2400	2600	1500	1500	1500	2800	2950	290	530	200	340	250	170	420	1190	150	1040	2750	1350	220	750	2600	1500	250	1000	320	1950	1100	700	900	1100	140	240	160	470	490	580	340	840	240	180	210	2450	1350	530									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18040	749	832	679	484	753	781	545	416	921	949	1022	123	257	100	134	117	67	159	327	54	331	923	405	87	410	636	487	126	347	158	589	278	264	387	332	63	75	88	98	112	153	103	246	65	74	64	1091	421	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4219	130	98	204	113	149	172	100	182	13	83	136	27	24	6	41	21	17	44	104	17	145	204	85	14	62	101	66	19	66	27	251	102	105	73	68	8	55	12	48	23	76	111	196	52	30	40	255	159	85									
6	Число погашенных избирательных бюллетеней	30081	1121	1320	1067	1003	1498	1647	855	902	566	1768	1792	140	249	94	165	112	86	217	759	79	564	1623	860	119	278	1863	947	105	587	135	1110	720	331	440	700	69	110	60	324	355	351	126	398	123	76	106	1104	770	287									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4219	130	98	204	113	149	172	100	182	13	83	136	27	24	6	41	21	17	44	104	17	145	204	85	14	62	101	66	19	66	27	251	102	105	73	68	8	55	12	48	23	76	111	196	52	30	40	255	159	85									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18040	749	832	679	484	753	781	545	416	921	949	1022	123	257	100	134	117	67	159	327	54	331	923	405	87	410	636	487	126	347	158	589	278	264	387	332	63	75	88	98	112	153	103	246	65	74	64	1091	421	158									
9	Число недействительных избирательных бюллетеней	418	25	6	15	15	13	20	21	7	34	13	18	3	6	0	0	2	2	9	9	2	4	22	17	0	10	12	16	2	3	0	19	3	0	18	11	0	10	4	0	0	1	0	3	0	0	0	23	15	5									
10	Число действительных избирательных бюллетеней	21841	854	924	868	582	889	933	624	591	900	1019	1140	147	275	106	175	136	82	194	422	69	472	1105	473	101	462	725	537	143	410	185	821	377	369	442	389	71	120	96	146	135	228	214	439	117	104	104	1323	565	238									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	638	30	41	28	20	25	35	16	25	70	35	55	3	2	2	5	2	2	1	8	2	6	15	10	6	2	15	25	2	8	1	15	10	5	10	15	2	2	9	6	2	10	2	2	2	2	5	25	15	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	595	24	38	28	18	21	35	16	25	70	33	54	3	2	0	5	2	2	0	6	2	1	15	10	6	2	15	25	2	3	0	15	7	5	10	15	2	1	7	6	2	10	2	0	2	1	5	25	15	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	353	16	34	13	2	12	9	3	24	10	19	15	3	7	6	6	4	4	4	4	3	7	7	4	1	5	8	10	11	7	5	6	6	6	8	6	2	1	5	3	3	2	6	0	4	3	6	15	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	43	6	3	0	2	4	0	0	0	0	2	1	0	0	2	0	0	0	1	2	0	5	0	0	0	0	0	0	0	5	1	0	3	0	0	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	1	4	1	1	2	1	3	1	13	5	9	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	342	14	17	16	20	8	22	16	12	19	33	16	0	6	0	0	0	0	1	1	0	2	15	8	1	0	24	6	3	5	2	6	0	4	7	7	3	1	4	0	0	4	0	5	0	0	1	21	8	4									
		1.54%	1.59%	1.83%	1.81%	3.35%	0.89%	2.31%	2.48%	2.01%	2.03%	3.20%	1.38%	0.00%	2.14%	0.00%	0.00%	0.00%	0.00%	0.49%	0.23%	0.00%	0.42%	1.33%	1.63%	0.99%	0.00%	3.26%	1.08%	2.07%	1.21%	1.08%	0.71%	0.00%	1.08%	1.52%	1.75%	4.23%	0.77%	4.00%	0.00%	0.00%	1.75%	0.00%	1.13%	0.00%	0.00%	0.96%	1.56%	1.38%	1.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	658	17	20	24	12	27	33	14	22	22	28	37	6	2	1	4	5	3	4	18	2	14	49	17	4	13	16	12	7	17	6	19	13	12	14	21	4	5	1	4	0	9	7	10	6	1	6	42	19	9									
		2.96%	1.93%	2.15%	2.72%	2.01%	2.99%	3.46%	2.17%	3.68%	2.36%	2.71%	3.20%	4.00%	0.71%	0.94%	2.29%	3.62%	3.57%	1.97%	4.18%	2.82%	2.94%	4.35%	3.47%	3.96%	2.75%	2.17%	2.17%	4.83%	4.12%	3.24%	2.26%	3.42%	3.25%	3.04%	5.25%	5.63%	3.85%	1.00%	2.74%	0.00%	3.93%	3.27%	2.26%	5.13%	0.96%	5.77%	3.12%	3.28%	3.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	467	23	32	21	15	32	18	20	12	17	27	26	1	1	2	2	2	2	2	2	0	13	18	10	6	7	7	5	4	7	3	16	8	9	14	11	2	3	0	1	2	5	4	4	6	0	1	29	10	5									
		2.10%	2.62%	3.44%	2.38%	2.51%	3.55%	1.89%	3.10%	2.01%	1.82%	2.62%	2.25%	0.67%	0.36%	1.89%	1.14%	1.45%	2.38%	0.99%	0.46%	0.00%	2.73%	1.60%	2.04%	5.94%	1.48%	0.95%	0.90%	2.76%	1.69%	1.62%	1.90%	2.11%	2.44%	3.04%	2.75%	2.82%	2.31%	0.00%	0.68%	1.48%	2.18%	1.87%	0.90%	5.13%	0.00%	0.96%	2.15%	1.72%	2.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10725	407	434	390	276	408	415	264	253	414	450	520	63	140	77	80	84	53	105	179	37	262	565	224	45	251	378	266	96	226	93	436	165	226	241	203	35	44	49	70	72	137	139	210	64	54	68	653	297	107									
