Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
"Наименование Избирательной комиссии:    Калуга, Октябрьская"																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  5181	УИК  5182	УИК  5183	УИК  5184	УИК  5185	УИК  5186					
1	"Число избирателей, внесенных в списки"	106483	2688	2916	2379	2293	2045	1763	2283	2819	1520	1487	1480	873	2259	2272	2145	2032	2223	2835	1058	2682	1587	2470	2761	2830	2434	2755	2761	2878	2301	1459	594	1940	1749	2659	2415	1400	2832	2950	2861	2992	2685	212	306	927	2183	2776	2770	1831	2077	2036					
2	"Число бюллетеней, полученных участковыми комиссиями"	121930	2400	2700	2100	2100	2000	1600	2000	2500	1400	1400	1400	800	2000	2100	1900	1900	2000	2500	1800	2400	1400	2300	2500	2600	2200	2300	2500	2600	2000	1400	620	1700	1600	2200	2000	1200	2600	2600	2600	2500	2300	200	300	900	7810	6000	6000	6000	6000	6000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54646	1227	1368	1006	1067	804	674	912	1274	627	701	717	469	1199	1180	1167	1100	1150	1134	1040	1170	785	1286	1221	1354	1152	1254	1274	1349	1023	566	576	918	617	1045	1101	589	1411	1293	1222	1326	1107	29	51	378	1890	2510	2287	1557	1474	2015					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2165	85	16	9	16	23	8	18	48	20	31	19	30	15	19	11	16	22	37	18	37	11	12	36	25	20	9	17	16	50	6	0	58	24	34	11	26	29	21	18	2	7	61	108	52	293	110	38	46	506	21					
6	Число погашенных бюллетеней	65119	1088	1316	1085	1017	1173	918	1070	1178	753	668	664	301	786	901	722	784	828	1329	742	1193	604	1002	1243	1221	1028	1037	1209	1235	927	828	44	724	959	1121	888	585	1160	1286	1360	1172	1186	110	141	470	5627	3380	3675	4397	4020	3964					
7	Число бюллетеней в переносных ящиках для голосования	2165	85	16	9	16	23	8	18	48	20	31	19	30	15	19	11	16	22	37	18	37	11	12	36	25	20	9	17	16	50	6	0	58	24	34	11	26	29	21	18	2	7	61	108	52	293	110	38	46	506	21					
8	Число бюллетеней в стационарных ящиках для голосования	54657	1227	1368	1006	1067	804	674	908	1274	627	699	715	469	1197	1179	1166	1100	1150	1128	1040	1170	785	1284	1221	1344	1150	1254	1271	1348	1022	564	576	918	617	1045	1101	589	1411	1281	1222	1325	1107	29	51	378	1890	2510	2284	1557	1546	2009					
9	Число недействительных бюллетеней	825	20	7	10	17	12	9	5	5	8	8	11	2	10	16	12	4	11	9	24	10	7	26	24	21	18	22	14	13	13	8	22	12	7	13	11	5	37	13	18	58	26	0	0	9	31	21	62	57	33	14					
10	Число действительных бюллетеней	55997	1292	1377	1005	1066	815	673	921	1317	639	722	723	497	1202	1182	1165	1112	1161	1156	1034	1197	789	1270	1233	1348	1152	1241	1274	1351	1059	562	554	964	634	1066	1101	610	1403	1289	1222	1269	1088	90	159	421	2152	2599	2260	1546	2019	2016					
