Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Верхнепышминская городская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188	УИК  1189	УИК  1190	УИК  1191	УИК  1192	УИК  1193	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210					
1	"Число избирателей, внесенных в списки"	52926	2787	2717	1175	2039	2159	2566	2169	1820	1258	2648	2919	2629	2287	1217	2103	1471	3017	1752	2607	1041	172	2060	607	1324	627	1848	172	1693	158	229	149	154	996	356					
2	"Число бюллетеней, полученных участковыми комиссиями"	50295	2600	2500	1000	2000	2000	2500	2000	1800	1200	2600	2800	2500	2200	1200	2000	1400	3000	1500	2500	1000	165	2000	500	1300	600	1800	175	1600	150	200	145	160	900	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23333	1380	1350	465	945	954	1176	929	841	604	1140	1123	1016	1021	441	1049	644	1644	789	1196	338	132	844	119	489	229	784	90	685	91	58	77	78	420	192					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	752	14	9	71	24	15	50	6	2	13	10	7	15	13	39	8	6	10	45	30	29	1	33	56	6	8	32	10	9	4	54	23	9	68	23					
6	Число погашенных бюллетеней	26210	1206	1141	464	1031	1031	1274	1065	957	583	1450	1670	1469	1166	720	943	750	1346	666	1274	633	32	1123	325	805	363	984	75	906	55	88	45	73	412	85					
7	Число бюллетеней в переносных ящиках для голосования	752	14	9	71	24	15	50	6	2	13	10	7	15	13	39	8	6	10	45	30	29	1	33	56	6	8	32	10	9	4	54	23	9	68	23					
8	Число бюллетеней в стационарных ящиках для голосования	23330	1380	1350	465	945	954	1175	929	841	604	1140	1123	1016	1021	441	1049	644	1644	789	1195	338	132	844	119	488	229	784	90	685	91	58	77	78	420	192					
9	Число недействительных бюллетеней	331	16	13	10	20	21	14	6	7	10	8	12	11	8	13	22	16	19	21	15	10	4	16	0	7	2	18	0	0	0	1	0	0	11	0					
10	Число действительных бюллетеней	23751	1378	1346	526	949	948	1211	929	836	607	1142	1118	1020	1026	467	1035	634	1635	813	1210	357	129	861	175	487	235	798	100	694	95	111	100	87	477	215					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	596	39	40	15	15	30	30	20	20	15	30	30	20	30	15	30	15	30	7	30	5	10	30	5	10	5	15	5	15	5	5	5	5	10	5					
