Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Волгоград, Дзержинская"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306					
1	"Число избирателей, внесенных в список"	138242	2596	2072	1639	3156	2860	1040	1748	1286	1159	1618	2499	2268	2404	2166	2960	2476	2084	2300	2914	2874	2564	2441	2193	2746	2629	2129	2028	2564	2782	2810	2778	2765	2418	2455	2315	2388	2313	2138	2213	2067	2321	2445	2136	2019	2089	2038	2053	2232	2180	3087	2308	2710	2099	2813	2302	2462	2267	1866	2082	80	263	90	917	528					
2	Число полученных избирательных бюллетеней	134800	2500	1700	1600	2800	2900	900	2000	1200	1100	1500	2400	2200	2300	2100	2800	2400	1900	2700	2800	2800	2500	2500	2100	2900	2500	2100	2000	2500	2700	2800	2700	2700	2300	2400	2300	2300	2300	2100	2200	2000	2300	2400	2100	1900	2100	2000	2000	2100	2100	2900	2200	2600	2000	2700	2200	2400	2200	1800	2000	200	400	200	900	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	70928	961	1109	939	1490	1735	462	968	554	536	796	1474	1098	1314	1188	1470	1365	984	1477	1585	1543	1392	1322	1024	1493	1284	1099	1129	1376	1413	1441	1436	1348	1264	1299	1192	1230	1197	1124	1128	1091	1200	1172	1045	1016	991	937	977	1041	1133	1563	1103	1320	959	1423	835	1085	1328	921	1178	71	259	59	501	481					
5	"Число избирательных бюллетеней, выданных вне помещения"	2108	35	16	20	126	34	14	29	47	27	15	29	50	33	17	37	29	63	90	12	32	14	22	50	15	22	7	9	21	15	17	14	17	11	9	8	19	15	13	22	10	16	14	16	19	12	21	14	30	13	363	14	24	27	36	39	38	31	83	24	0	0	0	189	0					
6	Число погашенных избирательных бюллетеней	61764	1504	575	641	1184	1131	424	1003	599	537	689	897	1052	953	895	1293	1006	853	1133	1203	1225	1094	1156	1026	1392	1194	994	862	1103	1272	1342	1250	1335	1025	1092	1100	1051	1088	963	1050	899	1084	1214	1039	865	1097	1042	1009	1029	954	974	1083	1256	1014	1241	1326	1277	841	796	798	129	141	141	210	119					
7	Число избирательных бюллетеней в переносных ящиках	2108	35	16	20	126	34	14	29	47	27	15	29	50	33	17	37	29	63	90	12	32	14	22	50	15	22	7	9	21	15	17	14	17	11	9	8	19	15	13	22	10	16	14	16	19	12	21	14	30	13	363	14	24	27	36	39	38	31	83	24	0	0	0	189	0					
8	Число бюллетеней в стационарных ящиках для голосования	70852	961	1109	939	1490	1734	462	968	554	536	796	1474	1098	1314	1187	1469	1340	984	1477	1585	1542	1389	1322	1024	1493	1284	1099	1129	1375	1413	1441	1436	1348	1253	1296	1192	1230	1197	1124	1128	1081	1200	1172	1045	1016	991	937	977	1041	1133	1563	1103	1318	944	1423	835	1085	1328	921	1178	71	257	59	501	481					
9	Число недействительных избирательных бюллетеней	570	7	11	10	5	14	4	4	9	3	5	12	15	23	15	8	11	13	11	9	15	13	10	12	11	2	6	11	7	8	5	7	7	4	5	4	4	6	5	10	6	14	5	12	10	9	8	7	9	8	11	13	14	4	13	9	10	19	19	9	0	1	1	13	5					
10	Число действительных избирательных бюллетеней	72390	989	1114	949	1611	1754	472	993	592	560	806	1491	1133	1324	1189	1498	1358	1034	1556	1588	1559	1390	1334	1062	1497	1304	1100	1127	1389	1420	1453	1443	1358	1260	1300	1196	1245	1206	1132	1140	1085	1202	1181	1049	1025	994	950	984	1062	1138	1915	1104	1328	967	1446	865	1113	1340	985	1193	71	256	58	677	476					
11	Число полученных открепительных  удостоверений	1908	30	30	30	30	30	20	50	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	160	30	29	31	30	30	30	0	0	0	0	0					
12	Число выданных открепительных удостоверений	699	3	14	9	14	17	4	42	4	2	10	21	11	18	14	8	13	4	4	6	15	17	16	8	18	13	11	16	13	8	14	22	20	14	10	11	8	10	10	6	20	9	20	14	10	5	4	11	7	8	6	8	10	22	12	6	11	10	9	19	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	744	8	11	7	17	22	6	11	8	9	10	17	12	8	10	12	8	14	24	30	17	15	23	14	10	9	3	12	3	11	7	16	4	4	13	5	7	14	9	6	5	13	5	11	21	10	4	10	14	7	13	4	14	7	16	9	7	12	5	15	14	38	15	7	22					
14	Число неиспользованных открепительных удостоверений	1209	27	16	21	16	13	16	8	26	28	20	9	19	12	16	22	17	26	26	24	15	13	14	22	12	17	19	14	17	22	16	6	10	16	20	19	22	20	20	24	10	21	10	16	20	25	26	19	23	22	24	22	20	138	18	23	20	20	21	11	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																							
18	. Глазьев Сергей Юрьевич	3711	39	34	32	57	68	30	35	20	30	42	79	62	72	71	71	58	48	44	103	96	62	48	50	86	79	74	60	92	114	98	111	97	76	88	65	64	59	65	66	55	78	79	55	46	56	48	50	49	49	42	62	60	49	83	38	66	43	22	78	4	6	2	29	17					
		5.09%	3.92%	3.02%	3.34%	3.53%	3.85%	6.30%	3.51%	3.33%	5.33%	5.18%	5.26%	5.40%	5.35%	5.90%	4.71%	4.24%	4.58%	2.81%	6.45%	6.10%	4.42%	3.57%	4.66%	5.70%	6.05%	6.69%	5.27%	6.59%	7.98%	6.72%	7.66%	7.11%	6.01%	6.74%	5.42%	5.12%	4.87%	5.72%	5.74%	5.04%	6.41%	6.66%	5.18%	4.44%	5.58%	5.01%	5.05%	4.58%	4.28%	2.18%	5.55%	4.47%	5.05%	5.69%	4.35%	5.88%	3.16%	2.19%	6.49%	5.63%	2.33%	3.39%	4.20%	3.53%					
19	. Малышкин Олег Александрович	1183	12	21	14	31	15	4	16	13	12	10	17	14	18	13	30	21	10	24	45	19	15	26	17	17	21	8	20	17	31	33	23	7	19	15	15	26	26	17	14	14	23	11	22	25	14	25	21	22	24	46	31	20	13	26	15	14	31	20	12	1	1	4	10	12					
		1.62%	1.20%	1.87%	1.46%	1.92%	0.85%	0.84%	1.60%	2.16%	2.13%	1.23%	1.13%	1.22%	1.34%	1.08%	1.99%	1.53%	0.96%	1.53%	2.82%	1.21%	1.07%	1.93%	1.58%	1.13%	1.61%	0.72%	1.76%	1.22%	2.17%	2.26%	1.59%	0.51%	1.50%	1.15%	1.25%	2.08%	2.15%	1.50%	1.22%	1.28%	1.89%	0.93%	2.07%	2.42%	1.40%	2.61%	2.12%	2.05%	2.09%	2.39%	2.78%	1.49%	1.34%	1.78%	1.72%	1.25%	2.28%	1.99%	1.00%	1.41%	0.39%	6.78%	1.45%	2.49%					
20	. Миронов Сергей Михайлович	552	6	7	2	7	5	4	1	5	9	4	9	9	8	9	9	14	4	6	18	12	9	5	9	14	9	12	13	15	19	16	16	17	11	10	14	17	19	15	6	13	7	8	3	9	2	13	7	8	10	9	4	5	4	7	4	4	9	6	11	0	1	0	8	6					
		0.76%	0.60%	0.62%	0.21%	0.43%	0.28%	0.84%	0.10%	0.83%	1.60%	0.49%	0.60%	0.78%	0.59%	0.75%	0.60%	1.02%	0.38%	0.38%	1.13%	0.76%	0.64%	0.37%	0.84%	0.93%	0.69%	1.08%	1.14%	1.07%	1.33%	1.10%	1.10%	1.25%	0.87%	0.77%	1.17%	1.36%	1.57%	1.32%	0.52%	1.19%	0.58%	0.67%	0.28%	0.87%	0.20%	1.36%	0.71%	0.75%	0.87%	0.47%	0.36%	0.37%	0.41%	0.48%	0.46%	0.36%	0.66%	0.60%	0.92%	0.00%	0.39%	0.00%	1.16%	1.25%					
21	. Путин Владимир Владимирович	47863	676	834	727	1183	1140	302	758	407	336	521	959	753	825	721	982	869	722	1164	1034	1006	945	900	720	1021	840	711	718	948	847	902	901	855	816	851	840	816	799	738	746	658	735	761	625	658	674	609	611	672	760	1507	721	852	650	846	555	679	989	768	717	55	112	35	443	338					
		65.60%	67.87%	74.13%	75.81%	73.21%	64.48%	63.45%	76.03%	67.72%	59.68%	64.24%	63.81%	65.59%	61.25%	59.88%	65.21%	63.48%	68.96%	74.28%	64.75%	63.91%	67.36%	66.96%	67.04%	67.71%	64.32%	64.29%	63.09%	67.91%	59.31%	61.87%	62.14%	62.64%	64.56%	65.21%	70.00%	65.33%	65.92%	64.91%	64.87%	60.31%	60.44%	64.17%	58.91%	63.57%	67.20%	63.57%	61.65%	62.75%	66.32%	78.25%	64.55%	63.49%	66.94%	57.98%	63.50%	60.46%	72.77%	76.49%	59.65%	77.46%	43.58%	59.32%	64.20%	70.27%					
22	. Хакамада Ирина Муцуовна	3849	65	49	35	85	74	26	32	19	39	59	103	54	52	75	73	71	52	73	84	82	93	83	69	78	74	65	52	73	82	107	79	87	88	104	89	77	82	59	72	53	71	68	60	42	49	45	46	52	60	54	58	57	34	80	38	51	53	36	74	0	2	2	37	12					
		5.28%	6.53%	4.36%	3.65%	5.26%	4.19%	5.46%	3.21%	3.16%	6.93%	7.27%	6.85%	4.70%	3.86%	6.23%	4.85%	5.19%	4.97%	4.66%	5.26%	5.21%	6.63%	6.18%	6.42%	5.17%	5.67%	5.88%	4.57%	5.23%	5.74%	7.34%	5.45%	6.37%	6.96%	7.97%	7.42%	6.16%	6.77%	5.19%	6.26%	4.86%	5.84%	5.73%	5.66%	4.06%	4.89%	4.70%	4.64%	4.86%	5.24%	2.80%	5.19%	4.25%	3.50%	5.48%	4.35%	4.54%	3.90%	3.59%	6.16%	0.00%	0.78%	3.39%	5.36%	2.49%					
23	. Харитонов Николай Михайлович	11906	145	128	104	200	373	82	103	114	113	130	258	205	294	256	273	274	161	184	220	267	206	210	157	195	219	168	218	170	233	220	236	199	174	157	107	197	142	169	176	248	234	192	247	198	163	157	211	210	189	186	171	271	159	339	181	252	160	107	254	11	124	15	112	78					
		16.32%	14.56%	11.38%	10.84%	12.38%	21.10%	17.23%	10.33%	18.97%	20.07%	16.03%	17.17%	17.86%	21.83%	21.26%	18.13%	20.01%	15.38%	11.74%	13.78%	16.96%	14.68%	15.62%	14.62%	12.93%	16.77%	15.19%	19.16%	12.18%	16.32%	15.09%	16.28%	14.58%	13.77%	12.03%	8.92%	15.77%	11.72%	14.86%	15.30%	22.73%	19.24%	16.19%	23.28%	19.13%	16.25%	16.39%	21.29%	19.61%	16.49%	9.66%	15.31%	20.19%	16.37%	23.24%	20.71%	22.44%	11.77%	10.66%	21.13%	15.49%	48.25%	25.42%	16.23%	16.22%					
																																																																							
24	Против всех	3326	46	41	35	48	79	24	48	14	21	40	66	36	55	44	60	51	37	61	84	77	60	62	40	86	62	62	46	74	94	77	77	96	76	75	66	48	79	69	60	44	54	62	37	47	36	53	38	49	46	71	57	63	58	65	34	47	55	26	47	0	10	0	38	13					
		4.56%	4.62%	3.64%	3.65%	2.97%	4.47%	5.04%	4.81%	2.33%	3.73%	4.93%	4.39%	3.14%	4.08%	3.65%	3.98%	3.73%	3.53%	3.89%	5.26%	4.89%	4.28%	4.61%	3.72%	5.70%	4.75%	5.61%	4.04%	5.30%	6.58%	5.28%	5.31%	7.03%	6.01%	5.75%	5.50%	3.84%	6.52%	6.07%	5.22%	4.03%	4.44%	5.23%	3.49%	4.54%	3.59%	5.53%	3.83%	4.58%	4.01%	3.69%	5.10%	4.69%	5.97%	4.46%	3.89%	4.19%	4.05%	2.59%	3.91%	0.00%	3.89%	0.00%	5.51%	2.70%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
