Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Ясногорская 																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95					
1	"Число избирателей, внесенных в списки"	28034	601	604	572	412	238	201	451	356	435	1042	501	566	554	608	144	234	791	409	353	347	414	2578	2320	2343	1040	1749	1500	2468	2457	1746					
2	"Число бюллетеней, полученных участковыми комиссиями"	28045	599	619	573	412	242	202	459	359	439	1051	513	570	563	617	142	238	801	401	354	341	413	2578	2305	2259	1038	1741	1510	2502	2472	1732					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12667	257	322	204	156	129	88	186	141	126	355	175	235	222	326	84	101	380	185	122	139	189	1097	1200	1018	504	749	765	1235	1207	770					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1667	69	36	113	66	32	35	33	83	106	111	85	126	73	9	15	37	38	70	67	41	29	39	37	32	26	54	38	52	27	88					
6	Число погашенных бюллетеней	13710	273	261	256	190	81	79	240	135	207	585	253	209	268	282	43	100	383	146	165	161	195	1442	1068	1209	508	938	707	1215	1238	873					
7	Число бюллетеней в переносных ящиках для голосования	1667	69	36	113	66	32	35	33	83	106	111	85	126	73	9	15	37	38	70	67	41	29	39	37	32	26	54	38	52	27	88					
8	Число бюллетеней в стационарных ящиках для голосования	12665	257	322	204	156	129	88	186	141	126	355	175	235	222	326	84	101	380	185	122	139	189	1097	1200	1018	504	749	765	1235	1205	770					
9	Число недействительных бюллетеней	261	7	3	5	7	0	2	5	1	2	10	8	7	3	9	2	1	15	3	8	6	6	28	13	27	11	15	10	13	26	8					
10	Число действительных бюллетеней	14071	319	355	312	215	161	121	214	223	230	456	252	354	292	326	97	137	403	252	181	174	212	1108	1224	1023	519	788	793	1274	1206	850					
