Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
"Наименование Избирательной комиссии:    Саратов, Фрунзенская"																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77					
1	"Число избирателей, внесенных в списки избирателей"	38682	1517	1254	1197	1483	1552	2411	1958	1302	1376	2239	1614	1338	1751	1493	1534	1293	1396	1121	935	1880	99	2160	1950	1688	1840	301					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37181	2315	1210	1940	1210	2485	3982	1566	1175	1020	1570	1200	1010	2760	1150	1290	970	1080	810	700	1390	99	1650	1400	1330	1480	389					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21487	988	868	670	1019	865	1424	1031	826	761	1064	837	690	909	799	905	642	770	472	473	820	99	1310	1056	919	1016	254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1078	18	23	31	34	37	42	243	40	39	30	20	17	66	28	55	2	160	22	13	41	0	20	30	35	32	0					
6	Число погашенных избирательных бюллетеней	14616	1309	319	1239	157	1583	2516	292	309	220	476	343	303	1785	323	330	326	150	316	214	529	0	320	314	376	432	135					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1078	18	23	31	34	37	42	243	40	39	30	20	17	66	28	55	2	161	22	13	40	0	20	30	35	32	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21341	988	853	669	1018	865	1424	1025	784	758	1060	830	686	909	799	899	633	766	477	473	818	99	1306	1051	919	978	254					
9	Число недействительных избирательных бюллетеней	354	14	9	11	6	15	55	23	18	11	18	11	7	13	10	12	5	10	5	6	9	1	26	18	16	24	1					
10	Число действительных избирательных бюллетеней	22065	992	867	689	1046	887	1411	1245	806	786	1072	839	696	962	817	942	630	917	494	480	849	98	1300	1063	938	986	253					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2420	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1275	39	37	40	60	35	92	56	37	48	97	50	39	48	38	51	32	34	34	56	67	0	59	88	52	83	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2539	261	337	94	157	141	112	89	167	48	144	39	39	118	32	155	7	202	27	14	72	99	127	4	22	15	17					
14	Число погашенных неиспользованных открепительных удостоверений	1145	61	63	60	40	65	8	44	63	52	3	50	61	52	62	49	68	66	66	44	33	0	41	12	48	17	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	569	25	16	12	27	18	42	40	17	20	29	34	16	19	20	28	6	18	10	13	28	2	33	32	21	40	3					
		2.54%	2.49%	1.83%	1.71%	2.57%	1.99%	2.86%	3.15%	2.06%	2.51%	2.66%	4.00%	2.28%	1.95%	2.42%	2.94%	0.94%	1.94%	2.00%	2.67%	3.26%	2.02%	2.49%	2.96%	2.20%	3.96%	1.18%					
19	2.Всероссийская политическая партия «Гражданская Сила»	412	20	16	18	24	18	27	18	14	14	17	19	11	21	21	14	6	18	9	9	11	0	19	28	18	19	3					
		1.84%	1.99%	1.83%	2.57%	2.28%	1.99%	1.84%	1.42%	1.70%	1.76%	1.56%	2.24%	1.56%	2.15%	2.54%	1.47%	0.94%	1.94%	1.80%	1.85%	1.28%	0.00%	1.43%	2.59%	1.89%	1.88%	1.18%					
20	3.Политическая партия «Демократическая партия России»	37	4	2	0	0	0	2	2	3	1	2	3	0	3	0	3	0	0	1	0	3	0	3	0	4	0	1					
		0.17%	0.40%	0.23%	0.00%	0.00%	0.00%	0.14%	0.16%	0.36%	0.13%	0.18%	0.35%	0.00%	0.31%	0.00%	0.31%	0.00%	0.00%	0.20%	0.00%	0.35%	0.00%	0.23%	0.00%	0.42%	0.00%	0.39%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3671	145	98	122	217	146	262	222	133	166	182	135	130	149	170	163	103	117	49	59	144	3	204	156	191	193	12					
		16.37%	14.41%	11.19%	17.43%	20.63%	16.19%	17.87%	17.51%	16.14%	20.83%	16.70%	15.88%	18.49%	15.28%	20.56%	17.09%	16.22%	12.62%	9.82%	12.14%	16.78%	3.03%	15.38%	14.43%	20.02%	19.11%	4.72%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	398	26	17	22	21	22	30	26	19	19	22	13	19	24	17	8	7	17	6	1	5	0	9	24	14	8	2					
		1.78%	2.58%	1.94%	3.14%	1.99%	2.44%	2.05%	2.05%	2.31%	2.38%	2.02%	1.53%	2.70%	2.46%	2.06%	0.84%	1.10%	1.83%	1.20%	0.21%	0.58%	0.00%	0.68%	2.22%	1.47%	0.79%	0.79%					
23	6.Политическая партия «Партия социальной справедливости»	62	0	2	1	2	2	4	3	3	2	5	1	4	5	5	2	4	2	0	1	2	0	2	5	5	0	0					
		0.28%	0.00%	0.23%	0.14%	0.19%	0.22%	0.27%	0.24%	0.36%	0.25%	0.46%	0.12%	0.57%	0.51%	0.60%	0.21%	0.63%	0.22%	0.00%	0.21%	0.23%	0.00%	0.15%	0.46%	0.52%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1652	80	53	59	74	76	130	110	59	39	75	70	50	50	48	65	45	59	43	26	86	0	122	91	55	78	9					
		7.37%	7.95%	6.05%	8.43%	7.03%	8.43%	8.87%	8.68%	7.16%	4.89%	6.88%	8.24%	7.11%	5.13%	5.80%	6.81%	7.09%	6.36%	8.62%	5.35%	10.02%	0.00%	9.20%	8.42%	5.77%	7.72%	3.54%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2373	76	92	65	91	80	110	162	81	73	114	104	96	95	107	83	75	108	52	58	107	1	178	104	115	132	14					
		10.58%	7.55%	10.50%	9.29%	8.65%	8.87%	7.50%	12.78%	9.83%	9.16%	10.46%	12.24%	13.66%	9.74%	12.94%	8.70%	11.81%	11.65%	10.42%	11.93%	12.47%	1.01%	13.42%	9.62%	12.05%	13.07%	5.51%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	181	11	2	7	6	12	15	14	3	15	11	3	10	5	7	5	3	5	1	3	5	0	6	9	7	14	2					
		0.81%	1.09%	0.23%	1.00%	0.57%	1.33%	1.02%	1.10%	0.36%	1.88%	1.01%	0.35%	1.42%	0.51%	0.85%	0.52%	0.47%	0.54%	0.20%	0.62%	0.58%	0.00%	0.45%	0.83%	0.73%	1.39%	0.79%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	11603	542	532	329	533	464	721	557	433	391	569	418	318	539	354	519	365	540	310	296	433	91	685	552	455	452	205					
		51.76%	53.88%	60.73%	47.00%	50.67%	51.44%	49.18%	43.93%	52.55%	49.06%	52.20%	49.18%	45.23%	55.28%	42.81%	54.40%	57.48%	58.25%	62.12%	60.91%	50.47%	91.92%	51.66%	51.06%	47.69%	44.75%	80.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1107	63	37	54	51	49	68	91	41	46	46	39	42	52	68	52	16	33	13	14	25	1	39	62	53	50	2					
		4.94%	6.26%	4.22%	7.71%	4.85%	5.43%	4.64%	7.18%	4.98%	5.77%	4.22%	4.59%	5.97%	5.33%	8.22%	5.45%	2.52%	3.56%	2.61%	2.88%	2.91%	1.01%	2.94%	5.74%	5.56%	4.95%	0.79%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
