Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
"Наименование Избирательной комиссии:    Нижний Новгород, Приокская"																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  1668	УИК  1669	УИК  1670	УИК  1671	УИК  1672	УИК  1673	УИК  1674	УИК  1675	УИК  1676	УИК  1677	УИК  1678	УИК  1679	УИК  1680	УИК  1681	УИК  1682	УИК  1683	УИК  1684	УИК  1685	УИК  1686	УИК  1687	УИК  1688	УИК  1689	УИК  1690	УИК  1691	УИК  1692	УИК  1693	УИК  1694	УИК  1695	УИК  1696	УИК  1697	УИК  1698	УИК  1699	УИК  1700	УИК  1701	УИК  1702	УИК  1703	УИК  1704	УИК  1705	УИК  1706					
1	"Число избирателей, внесенных в списки"	83993	1716	2389	2338	2244	1588	1894	1861	2615	2570	2351	2599	2780	2071	2892	2179	2984	1279	1874	1492	1063	2454	2794	2082	2467	1734	2581	2168	2194	2561	2332	1969	1951	1776	2155	2205	2473	2526	1889	903					
2	"Число бюллетеней, полученных участковыми комиссиями"	73300	1500	2200	2100	2000	1400	1700	1700	2200	2200	2100	2200	2300	1800	2400	1900	2300	1100	1700	1300	900	2200	2300	1900	2200	1500	2200	1900	2000	2200	2100	1700	1700	1600	1900	2000	2200	2200	1700	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	35047	447	1122	1076	1347	709	765	865	1285	1266	894	1198	1136	770	1059	769	1037	282	605	508	238	975	1177	816	1085	359	1170	984	942	1166	1078	953	811	814	974	966	1062	1145	886	306					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	736	5	18	24	30	21	29	37	16	19	22	18	29	13	19	16	38	3	33	8	16	5	15	10	20	10	30	19	23	26	14	15	19	14	12	16	6	12	10	46					
6	Число погашенных бюллетеней	37517	1048	1060	1000	623	670	906	798	899	915	1184	984	1135	1017	1322	1115	1225	815	1062	784	646	1220	1108	1074	1095	1131	1000	897	1035	1008	1008	732	870	772	914	1018	1132	1043	804	448					
7	Число бюллетеней в переносных ящиках для голосования	736	5	18	24	30	21	29	37	16	19	22	18	29	13	19	16	38	3	33	8	16	5	15	10	20	10	30	19	23	26	14	15	19	14	12	16	6	12	10	46					
8	Число бюллетеней в стационарных ящиках для голосования	35015	447	1122	1076	1343	709	765	865	1285	1266	894	1198	1136	770	1056	767	1035	282	605	508	238	974	1177	815	1085	359	1167	984	941	1166	1077	953	806	814	974	964	1061	1145	880	306					
9	Число недействительных бюллетеней	343	1	10	9	7	11	11	11	9	14	10	18	13	1	9	13	10	3	9	16	4	20	10	13	8	2	12	8	9	5	11	18	8	2	6	4	2	6	4	6					
10	Число действительных бюллетеней	35408	451	1130	1091	1366	719	783	891	1292	1271	906	1198	1152	782	1066	770	1063	282	629	500	250	959	1182	812	1097	367	1185	995	955	1187	1080	950	817	826	980	976	1065	1151	886	346					
