Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Клинцовская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
1	"Число избирателей, внесенных в списки"	17540	842	839	304	141	396	437	207	402	930	903	476	797	129	540	668	696	865	179	515	155	706	212	231	317	92	566	157	744	975	868	276	196	320	427	108	924					
2	"Число бюллетеней, полученных участковыми комиссиями"	17565	840	815	300	130	400	450	200	400	930	900	480	800	140	550	700	690	940	180	500	150	700	210	230	320	90	580	160	730	960	880	270	200	290	430	110	910					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8968	399	350	186	84	248	328	107	254	430	439	225	327	72	191	370	442	334	107	342	95	380	94	117	179	50	250	108	348	464	393	163	147	252	220	60	413					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	537	22	22	31	12	19	0	0	0	9	0	0	73	17	46	9	38	26	0	7	0	0	15	0	20	6	25	5	8	5	36	0	0	0	19	0	67					
6	Число погашенных бюллетеней	8060	419	443	83	34	133	122	93	146	491	461	255	400	51	313	321	210	580	73	151	55	320	101	113	121	34	305	47	374	491	451	107	53	38	191	50	430					
7	Число бюллетеней в переносных ящиках для голосования	537	22	22	31	12	19	0	0	0	9	0	0	73	17	46	9	38	26	0	7	0	0	15	0	20	6	25	5	8	5	36	0	0	0	19	0	67					
8	Число бюллетеней в стационарных ящиках для голосования	8966	399	350	186	84	248	328	107	254	430	437	225	327	72	191	370	442	334	107	342	95	380	94	117	179	50	250	108	348	464	393	163	147	252	220	60	413					
9	Число недействительных бюллетеней	210	9	7	7	5	4	5	7	0	10	14	6	8	0	5	6	11	0	4	16	10	4	2	4	5	1	4	8	15	4	12	1	0	2	3	5	6					
10	Число действительных бюллетеней	9293	412	365	210	91	263	323	100	254	429	423	219	392	89	232	373	469	360	103	333	85	376	107	113	194	55	271	105	341	465	417	162	147	250	236	55	474					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	20	1	1	0	0	0	0	2	3	4	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	1	3	0	0	0	0	1	0	2	0	2	0	0	2	2	4	0	0	0	0	4	0	2	0	0	0	2	2	2	1	0	1	19	0	0	3					
14	Число погашенных открепительных удостоверений	160	4	4	5	5	5	5	3	2	1	5	5	4	5	5	4	5	4	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	4	4	5	3					
15	Число открепительных удостоверений выданных ТИК	10	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	122	6	2	3	1	7	1	0	2	7	3	3	3	1	4	6	5	6	0	4	0	4	0	0	1	2	6	0	7	5	10	1	1	2	11	0	8					
		1.28%	1.42%	0.53%	1.38%	1.04%	2.62%	0.30%	0.0%	0.78%	1.59%	0.68%	1.33%	0.75%	1.12%	1.68%	1.58%	1.04%	1.66%	0.0%	1.14%	0.0%	1.05%	0.0%	0.0%	0.50%	3.57%	2.18%	0.0%	1.96%	1.06%	2.33%	0.61%	0.68%	0.79%	4.60%	0.0%	1.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	109	2	13	2	1	2	4	3	14	0	1	2	9	0	1	1	6	3	0	2	0	4	0	0	3	0	2	0	7	6	4	10	0	3	4	0	0					
		1.14%	0.47%	3.49%	0.92%	1.04%	0.74%	1.21%	2.80%	5.51%	0.0%	0.22%	0.88%	2.25%	0.0%	0.42%	0.26%	1.25%	0.83%	0.0%	0.57%	0.0%	1.05%	0.0%	0.0%	1.50%	0.0%	0.72%	0.0%	1.96%	1.27%	0.93%	6.13%	0.0%	1.19%	1.67%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	209	10	8	0	0	11	6	0	6	10	8	2	7	1	5	38	7	6	0	6	0	4	2	1	0	0	6	3	8	15	7	9	0	5	8	2	8					
		2.19%	2.37%	2.15%	0.0%	0.0%	4.11%	1.82%	0.0%	2.36%	2.27%	1.83%	0.88%	1.75%	1.12%	2.10%	10.02%	1.45%	1.66%	0.0%	1.71%	0.0%	1.05%	1.83%	0.85%	0.0%	0.0%	2.18%	2.65%	2.24%	3.19%	1.63%	5.52%	0.0%	1.98%	3.34%	3.33%	1.66%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	88	4	0	0	0	0	1	0	4	0	2	4	4	0	2	4	7	4	1	0	0	7	0	1	3	0	4	3	7	5	3	1	4	6	2	1	4					
		0.92%	0.95%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	1.57%	0.0%	0.45%	1.77%	1.0%	0.0%	0.84%	1.05%	1.45%	1.11%	0.93%	0.0%	0.0%	1.84%	0.0%	0.85%	1.50%	0.0%	1.45%	2.65%	1.96%	1.06%	0.69%	0.61%	2.72%	2.38%	0.83%	1.66%	0.83%					
22	"5. ""За Русь Святую"""	64	3	1	1	0	3	2	0	2	3	4	2	4	0	1	6	1	1	1	2	0	1	5	0	0	1	0	3	4	1	5	0	0	3	0	0	4					
		0.67%	0.71%	0.26%	0.46%	0.0%	1.12%	0.60%	0.0%	0.78%	0.68%	0.91%	0.88%	1.0%	0.0%	0.42%	1.58%	0.20%	0.27%	0.93%	0.57%	0.0%	0.26%	4.58%	0.0%	0.0%	1.78%	0.0%	2.65%	1.12%	0.21%	1.16%	0.0%	0.0%	1.19%	0.0%	0.0%	0.83%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	1	1	1	3	0	1	2	0	0	0	5	0	5	0	1	2	1	0	0	0	4					
		0.33%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.42%	0.26%	0.20%	0.27%	0.93%	0.85%	0.0%	0.26%	1.83%	0.0%	0.0%	0.0%	1.81%	0.0%	1.40%	0.0%	0.23%	1.22%	0.68%	0.0%	0.0%	0.0%	0.83%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	1	1	3	0	0	1	1	0	0	0	4	3	0	1	1	3	1	0	1	0	3	0	1	0	0	0	1	2	1	4	0	1	1	1	0	2					
		0.39%	0.23%	0.26%	1.38%	0.0%	0.0%	0.30%	0.93%	0.0%	0.0%	0.0%	1.77%	0.75%	0.0%	0.42%	0.26%	0.62%	0.27%	0.0%	0.28%	0.0%	0.78%	0.0%	0.85%	0.0%	0.0%	0.0%	0.88%	0.56%	0.21%	0.93%	0.0%	0.68%	0.39%	0.41%	0.0%	0.41%					
25	"8. ""Народно-республиканская партия России"""	37	2	2	0	0	3	1	0	0	0	1	0	0	0	1	3	1	0	0	8	0	1	1	0	1	0	0	2	1	1	0	0	0	1	0	1	6					
		0.38%	0.47%	0.53%	0.0%	0.0%	1.12%	0.30%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.42%	0.79%	0.20%	0.0%	0.0%	2.29%	0.0%	0.26%	0.91%	0.0%	0.50%	0.0%	0.0%	1.76%	0.28%	0.21%	0.0%	0.0%	0.0%	0.39%	0.0%	1.66%	1.25%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	2	0	0	0	0	1	0	0	0	1	0	1	0	1	1	3	1	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	4					
		0.23%	0.47%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.22%	0.0%	0.25%	0.0%	0.42%	0.26%	0.62%	0.27%	0.0%	0.28%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.23%	0.0%	0.0%	0.79%	0.0%	0.0%	0.83%					
