Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Шелопугинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853					
1	"Число избирателей, внесенных в списки"	6574	241	101	50	399	89	126	302	75	269	158	111	171	86	1008	520	207	830	89	138	195	181	1228					
2	"Число бюллетеней, полученных участковыми комиссиями"	6660	334	101	49	393	128	127	298	78	260	154	108	171	124	980	513	206	799	115	139	178	179	1226					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3778	221	69	45	191	83	89	188	52	139	95	65	109	81	509	262	95	475	83	93	121	109	604					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	501	20	7	2	36	6	6	40	7	58	18	7	8	5	39	39	13	44	6	3	30	11	96					
6	Число погашенных бюллетеней	2381	93	25	2	166	39	32	70	19	63	41	36	54	38	432	212	98	280	26	43	27	59	526					
7	Число бюллетеней в переносных ящиках для голосования	492	20	7	2	36	6	6	40	7	58	18	7	8	5	39	39	13	35	6	3	30	11	96					
8	Число бюллетеней в стационарных ящиках для голосования	3778	221	69	45	191	83	89	188	52	139	95	65	109	81	509	262	95	475	83	93	121	109	604					
9	Число недействительных бюллетеней	74	6	0	1	6	0	0	3	0	6	0	5	2	0	7	3	3	6	2	5	0	1	18					
10	Число действительных бюллетеней	4196	235	76	46	221	89	95	225	59	191	113	67	115	86	541	298	105	504	87	91	151	119	682					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	69	1	1	1	1	1	1	1	1	1	1	1	1	1	20	5	2	18	1	1	1	1	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	0	0	0	0	0	0	0	0	0	1	0	1	0	10	1	0	10	0	1	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	1	0	1	2	1	1	1	0	2	1	1	0	1	1	1	1	3	0	0	2	0	1					
14	Число погашенных открепительных удостоверений	43	1	1	1	1	1	1	1	1	1	0	1	0	1	10	4	2	8	1	0	1	1	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	76	5	2	1	2	1	2	7	1	3	0	4	2	3	7	5	4	5	2	0	0	3	17					
		1.77%	2.07%	2.63%	2.12%	0.88%	1.12%	2.10%	3.07%	1.69%	1.52%	0.0%	5.55%	1.70%	3.48%	1.27%	1.66%	3.70%	0.98%	2.24%	0.0%	0.0%	2.5%	2.42%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	30	0	0	0	5	0	1	2	0	1	1	0	0	0	4	3	2	6	1	0	0	1	3					
		0.70%	0.0%	0.0%	0.0%	2.20%	0.0%	1.05%	0.87%	0.0%	0.50%	0.88%	0.0%	0.0%	0.0%	0.72%	0.99%	1.85%	1.17%	1.12%	0.0%	0.0%	0.83%	0.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	152	6	0	0	10	8	2	7	4	4	1	1	5	2	32	14	1	13	1	3	3	4	31					
		3.55%	2.48%	0.0%	0.0%	4.40%	8.98%	2.10%	3.07%	6.77%	2.03%	0.88%	1.38%	4.27%	2.32%	5.83%	4.65%	0.92%	2.54%	1.12%	3.12%	1.98%	3.33%	4.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	32	1	0	2	3	2	0	2	0	3	0	0	0	0	4	0	2	2	1	1	0	0	9					
		0.74%	0.41%	0.0%	4.25%	1.32%	2.24%	0.0%	0.87%	0.0%	1.52%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	1.85%	0.39%	1.12%	1.04%	0.0%	0.0%	1.28%					
22	"5. ""За Русь Святую"""	7	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0					
		0.16%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.43%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	1.04%	0.66%	0.83%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	0	0	1	2	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0					
		0.21%	0.0%	0.0%	2.12%	0.88%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.54%	0.0%	0.0%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	1	0	0	0	0	0	0	3	1	4	0	4	0	3	0	0	4	1	0	0	0	1					
		0.51%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.08%	0.50%	3.53%	0.0%	3.41%	0.0%	0.54%	0.0%	0.0%	0.78%	1.12%	0.0%	0.0%	0.0%	0.14%					
25	"8. ""Народно-республиканская партия России"""	5	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.43%	0.0%	0.50%	0.88%	1.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	1	0	0					
		0.23%	0.41%	0.0%	2.12%	0.44%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.92%	0.58%	0.0%	0.0%	0.66%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	526	28	4	11	19	5	14	46	5	49	44	6	25	9	78	42	5	52	21	21	12	4	26					
		12.31%	11.61%	5.26%	23.40%	8.37%	5.61%	14.73%	20.17%	8.47%	24.87%	38.93%	8.33%	21.36%	10.46%	14.23%	13.95%	4.62%	10.19%	23.59%	21.87%	7.94%	3.33%	3.71%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	84	2	0	1	0	0	0	4	0	0	2	4	7	0	25	9	3	8	0	0	6	4	9					
		1.96%	0.82%	0.0%	2.12%	0.0%	0.0%	0.0%	1.75%	0.0%	0.0%	1.76%	5.55%	5.98%	0.0%	4.56%	2.99%	2.77%	1.56%	0.0%	0.0%	3.97%	3.33%	1.28%					
30	"13. ""Демократическая партия России"""	14	1	0	1	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	7					
		0.32%	0.41%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.88%	0.0%	0.0%	0.0%	0.36%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	2					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.19%	1.12%	0.0%	0.0%	0.0%	0.28%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	2.77%	0.0%	0.0%	0.18%	0.0%	0.92%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	120	6	1	3	11	6	3	3	3	10	6	6	2	0	7	9	4	9	7	3	5	4	12					
