Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Мазановская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в списки"	11555	565	1412	1330	438	169	245	157	86	201	469	144	268	40	465	503	684	61	78	236	162	53	57	43	472	40	138	232	119	295	333	81	97	40	106	75	902	303	332	124					
2	"Число бюллетеней, полученных участковыми комиссиями"	11400	567	1442	1212	367	156	249	245	86	197	503	154	264	40	433	460	672	58	77	233	159	53	57	43	458	37	155	232	127	296	334	79	94	40	106	71	897	302	320	125					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	63	0	0	0	0	0	0	0	0	0	0	0	0	11	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6699	265	681	616	204	114	157	152	52	124	226	85	182	20	282	343	448	37	52	144	106	39	47	39	316	31	93	120	87	197	232	60	77	30	74	55	458	162	196	96					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	187	10	20	20	2	1	6	5	0	0	15	11	0	0	0	21	2	0	0	0	7	0	0	0	16	0	5	7	4	0	0	0	0	0	0	0	6	0	29	0					
6	Число погашенных бюллетеней	4451	292	741	576	161	41	86	88	34	73	262	58	82	9	99	96	222	21	25	89	46	14	10	4	126	6	57	105	36	99	102	19	17	10	32	16	433	140	95	29					
7	Число бюллетеней в переносных ящиках для голосования	250	10	20	20	2	1	6	5	0	0	15	11	0	11	52	21	2	0	0	0	7	0	0	0	16	0	5	7	4	0	0	0	0	0	0	0	6	0	29	0					
8	Число бюллетеней в стационарных ящиках для голосования	6699	265	681	616	204	114	157	152	52	124	226	85	182	20	282	343	448	37	52	144	106	39	47	39	316	31	93	120	87	197	232	60	77	30	74	55	458	162	196	96					
9	Число недействительных бюллетеней	82	6	3	7	2	1	2	0	1	1	3	0	0	0	1	9	3	0	0	1	2	0	0	0	3	0	1	5	1	4	2	2	2	0	0	1	6	5	8	0					
10	Число действительных бюллетеней	6867	269	698	629	204	114	161	157	51	123	238	96	182	31	333	355	447	37	52	143	111	39	47	39	329	31	97	122	90	193	230	58	75	30	74	54	458	157	217	96					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	198	8	15	12	7	3	4	4	3	4	6	3	5	3	6	6	7	3	3	4	4	3	3	3	7	3	4	5	4	5	5	3	3	3	4	3	10	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	0	6	3	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	0	0	3	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	177	8	9	9	7	3	4	4	3	4	5	2	5	3	3	5	7	3	3	4	4	3	3	3	7	3	4	4	4	5	4	3	3	3	4	3	8	5	5	8					
15	Число открепительных удостоверений выданных ТИК	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
