Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Красносельский район																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №4003	УИК №4004	УИК №4005					
1	"Число избирателей, внесенных в списки избирателей"	29217	1197	1512	1976	2205	2014	1698	1652	962	1143	1609	1841	1348	2306	2466	1521	1513	751	765	738					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25000	800	1100	1400	1700	2000	1400	1600	800	800	1300	1500	1000	2000	2100	1200	1300	1000	1000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18536	680	911	1119	1439	1228	1229	1214	572	717	886	1071	773	1442	1243	973	928	674	699	738					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1136	42	68	94	109	85	84	25	75	14	92	80	49	72	103	69	75	0	0	0					
6	Число погашенных избирательных бюллетеней	5328	78	121	187	152	687	87	361	153	69	322	349	178	486	754	158	297	326	301	262					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1132	42	68	94	109	85	84	25	75	14	92	80	49	72	103	69	71	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18336	677	856	1115	1439	1224	1229	1214	571	717	880	1065	711	1442	1240	973	872	674	699	738					
9	Число недействительных избирательных бюллетеней	290	9	14	1	15	17	7	9	4	8	12	13	11	16	24	17	27	6	20	60					
10	Число действительных избирательных бюллетеней	19178	710	910	1208	1533	1292	1306	1230	642	723	960	1132	749	1498	1319	1025	916	668	679	678					
