Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кстовская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130					
1	"Число избирателей, внесенных в список"	90325	1484	1359	1421	1179	1679	2253	1863	1842	1946	1859	1909	1224	1880	1502	1582	1991	1241	1615	1886	1504	2016	1608	1999	2245	1711	1788	2676	1076	1018	2464	267	293	413	534	461	2166	437	387	2718	375	1473	1618	1057	1777	1074	2232	1355	249	117	258	1774	584	254	364	306	303	79	2117	308	259	1781	1833	1452	307	134	54	380	1070	1861	238	731	281	1432	211	183	948					
2	Число полученных избирательных бюллетеней	81271	1330	1220	1285	1085	1565	2020	1670	1655	1750	1670	1720	1100	1670	1360	1425	1705	1125	1460	1700	1370	1810	1440	1815	2005	1540	1605	2390	960	920	2225	240	265	375	485	410	1955	390	350	2450	335	1325	1450	965	1600	970	1990	1230	220	105	230	1605	525	235	330	270	275	72	1915	270	235	1605	1650	1315	275	122	47	345	965	1660	215	650	260	1285	195	165	850					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46651	644	637	645	784	970	1273	959	893	1134	1035	1108	586	1070	820	901	1142	621	756	1023	772	1058	888	1016	1193	1010	1002	1379	578	537	1230	35	156	176	283	215	1011	228	152	1306	133	679	755	542	1007	507	1408	637	111	36	210	929	336	129	195	162	155	48	1072	199	131	786	869	752	150	62	37	171	453	845	103	427	103	713	19	120	434					
5	"Число избирательных бюллетеней, выданных вне помещения"	2445	31	30	15	4	12	12	17	10	5	6	12	18	28	24	13	29	9	16	38	20	31	36	20	2	11	16	21	10	15	35	102	0	42	0	52	107	0	19	13	54	81	72	51	13	49	21	30	13	33	18	8	18	15	12	17	15	13	69	22	28	140	32	69	11	28	0	76	58	114	16	29	87	46	111	23	72					
6	Число погашенных избирательных бюллетеней	32175	655	553	625	297	583	735	694	752	611	629	600	496	572	516	511	534	495	688	639	578	721	516	779	810	519	587	990	372	368	960	103	109	157	202	143	837	162	179	1131	148	565	623	372	580	414	561	563	96	36	2	668	171	91	123	91	105	11	774	49	76	679	749	494	114	32	10	98	454	701	96	194	70	526	65	22	344					
7	Число избирательных бюллетеней в переносных ящиках	2445	31	30	15	4	12	12	17	10	5	6	12	18	28	24	13	29	9	16	38	20	31	36	20	2	11	16	21	10	15	35	102	0	42	0	52	107	0	19	13	54	81	72	51	13	49	21	30	13	33	18	8	18	15	12	17	15	13	69	22	28	140	32	69	11	28	0	76	58	114	16	29	87	46	111	23	72					
8	Число бюллетеней в стационарных ящиках для голосования	46646	644	637	645	783	970	1273	959	893	1134	1035	1108	586	1070	820	901	1142	621	756	1023	771	1058	888	1015	1193	1010	1002	1377	578	537	1230	35	156	176	283	215	1011	228	152	1306	133	679	755	542	1007	507	1408	637	111	36	210	929	336	129	195	162	155	48	1072	199	131	786	869	752	150	62	37	171	453	845	103	427	103	713	19	120	434					
9	Число недействительных избирательных бюллетеней	378	2	8	6	4	4	3	9	1	2	2	9	6	7	9	7	10	3	5	3	0	4	2	10	6	11	7	6	3	5	15	0	0	2	3	5	16	6	4	14	3	10	9	6	7	8	0	8	0	3	0	5	3	0	0	1	3	0	11	6	2	12	13	8	4	0	0	9	11	8	0	2	1	5	0	1	0					
10	Число действительных избирательных бюллетеней	48713	673	659	654	783	978	1282	967	902	1137	1039	1111	598	1091	835	907	1161	627	767	1058	791	1085	922	1025	1189	1010	1011	1392	585	547	1250	137	156	216	280	262	1102	222	167	1305	184	750	818	587	1013	548	1429	659	124	66	228	932	351	144	207	178	167	61	1130	215	157	914	888	813	157	90	37	238	500	951	119	454	189	754	130	142	506					
