Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Гремячинская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11355	1423	513	2034	818	983	844	474	862	669	389	431	1028	887									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11300	1400	500	2050	800	1000	850	450	850	650	350	450	1050	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	0	0	0	0	0	0	0	0	0	0	0	0	18									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3721	569	143	703	313	314	292	112	290	164	73	145	304	299									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	424	33	12	45	25	14	31	45	34	27	28	48	63	19									
6	Число погашенных избирательных бюллетеней	7137	798	345	1302	462	672	527	293	526	459	249	257	683	564									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	442	33	12	45	25	14	31	45	34	27	28	48	63	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3720	569	143	703	313	313	292	112	290	164	73	145	304	299									
9	Число недействительных избирательных бюллетеней	157	13	4	23	13	16	19	3	12	3	2	2	20	27									
10	Число действительных избирательных бюллетеней	4005	589	151	725	325	311	304	154	312	188	99	191	347	309									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	45	30	40	20	15	20	10	15	5	5	10	10	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	71	11	1	18	9	4	4	2	5	1	0	3	10	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	10	10	3	19	6	1	2	7	11	19	2	9	0									
14	Число погашенных неиспользованных открепительных удостоверений	189	34	29	22	11	11	16	8	10	4	5	7	0	32									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	1	2	1	1	2	1	1	1	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	5	3	6	1	5	0	1	4	1	1	1	6	2									
		0.86%	0.83%	1.94%	0.80%	0.30%	1.53%	0.00%	0.64%	1.23%	0.52%	0.99%	0.52%	1.63%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	136	21	4	20	15	11	10	5	8	7	1	6	13	15									
		3.27%	3.49%	2.58%	2.67%	4.44%	3.36%	3.10%	3.18%	2.47%	3.66%	0.99%	3.11%	3.54%	4.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	130	20	4	24	9	13	7	4	8	10	1	7	7	16									
		3.12%	3.32%	2.58%	3.21%	2.66%	3.98%	2.17%	2.55%	2.47%	5.24%	0.99%	3.63%	1.91%	4.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1866	262	66	338	151	139	121	84	138	76	40	105	181	165									
		44.83%	43.52%	42.58%	45.19%	44.67%	42.51%	37.46%	53.50%	42.59%	39.79%	39.60%	54.40%	49.32%	49.11%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	2	0	7	1	4	0	0	3	1	0	0	2	2									
		0.53%	0.33%	0.00%	0.94%	0.30%	1.22%	0.00%	0.00%	0.93%	0.52%	0.00%	0.00%	0.54%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	2	1	1	0	1	0	1	0	1	1	0									
		0.19%	0.00%	0.00%	0.27%	0.30%	0.31%	0.00%	0.64%	0.00%	0.52%	0.00%	0.52%	0.27%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1004	161	39	161	76	70	84	39	93	55	45	61	59	61									
		24.12%	26.74%	25.16%	21.52%	22.49%	21.41%	26.01%	24.84%	28.70%	28.80%	44.55%	31.61%	16.08%	18.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	8	0	2	2	2	2	0	0	0	0	1	1	2									
		0.48%	1.33%	0.00%	0.27%	0.59%	0.61%	0.62%	0.00%	0.00%	0.00%	0.00%	0.52%	0.27%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	36	9	2	3	3	4	1	3	3	1	2	0	4	1									
		0.86%	1.50%	1.29%	0.40%	0.89%	1.22%	0.31%	1.91%	0.93%	0.52%	1.98%	0.00%	1.09%	0.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	2	0	1	0	0	1	2	0	0	1	0	1	0									
		0.19%	0.33%	0.00%	0.13%	0.00%	0.00%	0.31%	1.27%	0.00%	0.00%	0.99%	0.00%	0.27%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	49	8	4	9	3	4	4	3	2	3	1	0	7	1									
		1.18%	1.33%	2.58%	1.20%	0.89%	1.22%	1.24%	1.91%	0.62%	1.57%	0.99%	0.00%	1.91%	0.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	381	43	11	82	35	34	45	8	32	21	5	6	35	24									
		9.15%	7.14%	7.10%	10.96%	10.36%	10.40%	13.93%	5.10%	9.88%	10.99%	4.95%	3.11%	9.54%	7.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	5	1	1	0	0	2	0	2	0	2	0	1	0									
		0.34%	0.83%	0.65%	0.13%	0.00%	0.00%	0.62%	0.00%	0.62%	0.00%	1.98%	0.00%	0.27%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	295	43	17	69	28	24	27	4	19	12	0	3	29	20									
		7.09%	7.14%	10.97%	9.22%	8.28%	7.34%	8.36%	2.55%	5.86%	6.28%	0.00%	1.55%	7.90%	5.95%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
