Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Моргаушская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576					
1	"Число избирателей, внесенных в список избирателей"	26187	1128	980	1055	703	1457	298	233	198	476	619	245	352	259	354	703	474	438	938	310	653	699	464	325	368	585	611	363	405	407	264	123	452	180	419	512	858	322	586	360	572	283	251	295	616	343	278	386	730	455	556	787	459					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27250	1190	1030	1060	780	1440	300	240	200	500	600	240	350	260	390	700	480	430	970	300	680	670	480	320	370	600	650	390	400	470	280	130	500	200	450	500	900	330	650	350	620	290	260	320	700	380	300	430	790	480	600	800	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15145	758	589	634	403	767	155	139	134	257	318	151	167	148	272	351	226	264	501	152	343	373	279	179	201	343	429	201	213	292	189	86	290	145	201	325	527	177	321	157	339	189	139	172	359	251	193	209	406	255	284	446	246					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2419	30	13	100	62	50	30	17	17	64	87	24	47	15	23	96	47	21	61	53	56	61	45	29	31	44	43	47	41	40	19	14	47	8	106	55	71	33	63	53	60	23	49	44	88	11	9	60	54	50	113	45	50					
6	Число погашенных избирательных бюллетеней	9686	402	428	326	315	623	115	84	49	179	195	65	136	97	95	253	207	145	408	95	281	236	156	112	138	213	178	142	146	138	72	30	163	47	143	120	302	120	266	140	221	78	72	104	253	118	98	161	330	175	203	309	204					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2419	30	13	100	62	50	30	17	17	64	87	24	47	15	23	96	47	21	61	53	56	61	45	29	31	44	43	47	41	40	19	14	47	8	106	55	71	33	63	53	60	23	49	44	88	11	9	60	54	50	113	45	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15144	757	589	634	403	767	155	139	134	257	318	151	167	148	272	351	226	264	501	152	343	373	279	179	201	343	429	201	213	292	189	86	290	145	201	325	527	177	321	157	339	189	139	172	359	251	193	209	406	255	284	446	246					
9	Число недействительных избирательных бюллетеней	485	18	15	20	17	21	7	8	0	12	8	4	7	2	8	8	4	14	15	9	14	8	6	10	8	10	5	8	9	11	5	3	13	3	5	9	11	8	14	7	11	8	6	3	14	8	7	8	13	6	9	15	13					
10	Число действительных избирательных бюллетеней	17078	769	587	714	448	796	178	148	151	309	397	171	207	161	287	439	269	271	547	196	385	426	318	198	224	377	467	240	245	321	203	97	324	150	302	371	587	202	370	203	388	204	182	213	433	254	195	261	447	299	388	476	283					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1985	87	77	74	55	110	22	17	15	36	45	18	25	18	38	52	34	30	71	21	49	48	32	22	26	42	46	27	29	52	19	13	40	20	31	37	65	23	46	25	39	21	18	22	46	26	22	29	55	34	44	57	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1434	77	56	44	55	44	12	4	6	30	29	18	11	15	38	23	10	5	42	12	30	18	29	8	14	19	36	27	29	52	19	13	40	20	31	14	49	7	37	16	39	9	18	22	46	22	22	29	55	27	44	27	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	320	28	11	6	5	21	4	4	4	5	8	10	5	2	2	7	5	12	2	4	5	6	14	4	4	4	5	4	4	2	3	3	3	1	1	17	10	1	3	3	9	5	8	6	5	4	4	4	3	7	7	9	7					
