Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Моргаушская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573					
1	"Число избирателей, внесенных в списки избирателей"	25583	2079	937	690	1389	305	223	188	477	624	267	378	268	352	694	442	495	1129	268	349	608	436	294	332	566	564	364	396	437	272	128	483	200	394	492	889	359	597	345	551	260	241	310	557	345	264	363	731	449	599	742	461					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26305	2100	900	730	1335	285	210	175	495	650	270	390	280	375	690	445	415	1175	270	365	600	450	290	345	595	590	375	415	450	290	135	500	215	415	510	965	385	640	380	635	285	260	330	600	365	265	390	735	460	590	785	505					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17509	1630	631	455	867	202	151	149	277	417	188	202	188	293	481	253	366	752	144	206	424	304	234	269	372	417	225	251	275	187	106	323	177	253	378	597	233	442	208	426	197	148	209	403	282	223	205	466	253	336	518	316					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3486	72	188	122	68	16	24	15	77	106	26	88	27	36	114	74	37	130	64	82	94	109	35	39	56	45	51	51	76	38	15	40	20	124	94	128	70	85	63	85	36	54	60	120	29	12	75	106	61	109	74	66					
6	Число погашенных избирательных бюллетеней	5310	398	81	153	400	67	35	11	141	127	56	100	65	46	95	118	12	293	62	77	82	37	21	37	167	128	99	113	99	65	14	137	18	38	38	240	82	113	109	124	52	58	61	77	54	30	110	163	146	145	193	123					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3486	72	188	122	68	16	24	15	77	106	26	88	27	36	114	74	37	130	64	82	94	109	35	39	56	45	51	51	76	38	15	40	20	124	94	128	70	85	63	85	36	54	60	120	29	12	75	106	61	109	74	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17508	1630	631	455	866	202	151	149	277	417	188	202	188	293	481	253	366	752	144	206	424	304	234	269	372	417	225	251	275	187	106	323	177	253	378	597	233	442	208	426	197	148	209	403	282	223	205	466	253	336	518	316					
9	Число недействительных избирательных бюллетеней	293	20	5	9	15	9	4	4	5	2	4	5	4	4	4	1	17	12	5	3	5	20	3	9	2	3	6	7	9	1	5	5	2	4	2	4	2	13	5	7	1	2	3	3	6	2	3	3	3	3	10	8					
10	Число действительных избирательных бюллетеней	20701	1682	814	568	919	209	171	160	349	521	210	285	211	325	591	326	386	870	203	285	513	393	266	299	426	459	270	295	342	224	116	358	195	373	470	721	301	514	266	504	232	200	266	520	305	233	277	569	311	442	582	374					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1404	148	58	61	34	3	12	6	39	36	11	15	7	28	27	18	18	30	8	21	32	33	22	28	26	32	10	17	11	14	9	25	5	10	13	86	22	43	27	28	30	19	24	35	27	20	18	49	23	25	36	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1404	148	58	61	34	3	12	6	39	36	11	15	7	28	27	18	18	30	8	21	32	33	22	28	26	32	10	17	11	14	9	25	5	10	13	86	22	43	27	28	30	19	24	35	27	20	18	49	23	25	36	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	503	72	25	11	14	2	4	4	9	12	11	8	4	6	11	0	17	8	2	3	13	9	11	6	12	5	16	3	2	3	1	11	7	11	18	13	10	18	4	11	3	3	3	25	2	5	3	9	8	10	9	16					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
