Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    территориальная избирательная комиссия  ЗАТО г. Радужный													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
1	"Число избирателей, внесенных в списки избирателей"	14716	2287	2369	2203	2294	2848	2715					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11640	1830	1880	1760	1825	2220	2125					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9963	1575	1567	1472	1606	1965	1778					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	257	57	43	38	25	39	55					
6	Число погашенных избирательных бюллетеней	1420	198	270	250	194	216	292					
7	Число избирательных бюллетеней в переносных ящиках для голосования	257	57	43	38	25	39	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9959	1575	1567	1471	1605	1963	1778					
9	Число недействительных избирательных бюллетеней	165	25	23	26	27	30	34					
10	Число действительных избирательных бюллетеней	10051	1607	1587	1483	1603	1972	1799					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	237	36	38	36	37	46	44					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	183	32	29	18	26	37	41					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	90	14	12	10	13	20	21					
14	Число погашенных неиспользованных открепительных удостоверений	54	4	9	18	11	9	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	1	4	2	1	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	324	59	61	46	57	51	50					
		3.17%	3.62%	3.79%	3.05%	3.50%	2.55%	2.73%					
19	2.Всероссийская политическая партия «Гражданская Сила»	144	21	15	22	28	29	29					
		1.41%	1.29%	0.93%	1.46%	1.72%	1.45%	1.58%					
20	3.Политическая партия «Демократическая партия России»	6	2	0	3	0	1	0					
		0.06%	0.12%	0.00%	0.20%	0.00%	0.05%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1806	278	294	262	255	343	374					
		17.68%	17.03%	18.26%	17.36%	15.64%	17.13%	20.40%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	108	20	11	28	16	25	8					
		1.06%	1.23%	0.68%	1.86%	0.98%	1.25%	0.44%					
23	6.Политическая партия «Партия социальной справедливости»	32	3	2	7	4	9	7					
		0.31%	0.18%	0.12%	0.46%	0.25%	0.45%	0.38%					
24	7.Политическая партия «Либерально-демократическая партия России»	998	183	141	130	167	206	171					
		9.77%	11.21%	8.76%	8.61%	10.25%	10.29%	9.33%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1494	232	223	221	233	291	294					
		14.62%	14.22%	13.85%	14.65%	14.29%	14.54%	16.04%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	217	36	31	32	46	30	42					
		2.12%	2.21%	1.93%	2.12%	2.82%	1.50%	2.29%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4753	745	788	706	767	961	786					
		46.53%	45.65%	48.94%	46.79%	47.06%	48.00%	42.88%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	169	28	21	26	30	26	38					
		1.65%	1.72%	1.30%	1.72%	1.84%	1.30%	2.07%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
