Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Головинский район																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64466	2316	2279	2589	2456	2632	2552	2665	2625	2604	2385	2373	2439	2102	2308	2364	2339	2573	2594	2735	2592	2751	2541	2425	2614	2254	2359									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58000	2000	2000	2500	2000	2500	2500	2500	2500	2500	2000	2000	2000	2000	2000	2000	2000	2500	2500	2500	2500	2500	2500	2000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20524	670	689	833	838	822	861	947	858	823	879	829	774	620	600	680	718	767	759	854	931	774	762	819	895	773	749									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	697	8	15	21	21	35	33	37	32	52	21	36	29	27	35	21	27	30	29	26	12	20	20	23	35	25	27									
6	Число погашенных избирательных бюллетеней	36779	1322	1296	1646	1141	1643	1606	1516	1610	1625	1100	1135	1197	1353	1365	1299	1255	1703	1712	1620	1557	1706	1718	1158	1070	1202	1224									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	697	8	15	21	21	35	33	37	32	52	21	36	29	27	35	21	27	30	29	26	12	20	20	23	35	25	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20490	665	689	833	838	822	859	947	854	823	878	829	774	620	600	680	718	767	755	852	931	774	762	816	892	764	748									
9	Число недействительных избирательных бюллетеней	411	12	16	6	17	23	22	12	18	11	16	23	20	10	15	10	13	23	12	19	13	14	16	19	22	8	21									
10	Число действительных избирательных бюллетеней	20776	661	688	848	842	834	870	972	868	864	883	842	783	637	620	691	732	774	772	859	930	780	766	820	905	781	754									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	905	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	55	34	34	34	34	34	34									
