Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Суксунская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16047	1889	1221	1417	2218	829	883	276	843	487	903	306	344	275	281	564	355	660	681	457	424	413	321									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16040	1890	1220	1450	2250	830	890	280	840	480	870	300	340	270	280	560	350	660	680	450	430	400	320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	182	0	0	0	0	0	3	0	0	0	0	6	53	0	0	0	57	0	33	0	5	25	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5721	651	456	512	851	318	337	80	299	210	353	90	66	116	125	146	103	231	177	168	143	142	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	354	46	28	16	26	7	27	19	12	15	12	4	1	2	10	18	13	32	9	26	0	11	20									
6	Число погашенных избирательных бюллетеней	9783	1193	736	922	1373	505	523	181	529	255	505	200	220	152	145	396	177	397	461	256	282	222	153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	536	46	28	16	26	7	30	19	12	15	12	10	54	2	10	18	70	32	42	26	5	36	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5717	651	456	511	850	318	337	80	299	210	353	90	66	116	125	145	103	231	176	168	143	142	147									
9	Число недействительных избирательных бюллетеней	243	36	17	23	27	11	7	3	8	3	19	7	6	12	9	8	6	11	12	9	4	4	1									
10	Число действительных избирательных бюллетеней	6010	661	467	504	849	314	360	96	303	222	346	93	114	106	126	155	167	252	206	185	144	174	166									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	460	50	50	50	50	20	20	10	20	15	20	10	10	10	10	15	15	15	15	10	10	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	113	13	17	15	20	4	4	0	2	1	4	1	0	0	0	3	1	2	2	1	10	5	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	120	7	10	3	4	4	2	2	6	5	36	2	2	2	1	6	2	2	5	5	5	7	2									
14	Число погашенных неиспользованных открепительных удостоверений	347	37	33	35	30	16	16	10	18	14	16	9	10	10	10	12	14	13	13	9	0	10	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	6	7	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	58	5	4	5	8	4	4	0	4	1	3	2	5	0	1	0	1	2	4	2	1	1	1									
		0.93%	0.72%	0.83%	0.95%	0.91%	1.23%	1.09%	0.00%	1.29%	0.44%	0.82%	2.00%	4.17%	0.00%	0.74%	0.00%	0.58%	0.76%	1.83%	1.03%	0.68%	0.56%	0.60%									
