Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
"Наименование Избирательной комиссии:    Нижний Тагил, Тагилстроевская"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №681	УИК №690	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290					
1	"Число избирателей, внесенных в список избирателей"	98487	192	592	625	2059	2076	1662	1961	1759	2056	2200	1690	1952	1741	1807	1438	2235	1841	1727	477	793	1736	2053	2248	339	1722	1089	1258	1540	1444	1500	1512	1641	2245	1861	2715	2526	1998	2271	2497	1255	2047	2159	2305	2730	2050	2388	2553	2260	2115	1916	2518	2351	422	2075	2265					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96670	150	550	600	2000	2050	1600	1900	1750	2000	2150	1650	1900	1700	1800	1400	2100	1800	1650	350	750	1650	2000	2200	250	1650	1000	1200	1500	1400	1500	1500	1600	2200	1800	2600	2450	1950	2250	2450	2150	1950	2150	2300	2650	2000	2350	2400	2200	2100	1900	2500	2300	420	2050	2250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49842	106	234	292	890	850	723	1026	912	859	927	727	794	908	919	676	1075	867	840	148	288	596	1110	1142	173	963	629	682	754	701	774	805	831	1137	983	1424	1211	1021	1008	1198	1226	1092	1209	1289	1406	1158	1372	1294	1212	1169	1002	1295	1212	406	1072	1225					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1691	8	76	284	44	28	22	17	17	21	33	7	21	24	8	18	15	16	42	110	53	66	39	24	3	34	44	14	34	22	11	21	14	29	45	23	63	21	21	16	29	17	22	18	28	8	16	31	29	13	13	8	17	7	20	7					
6	Число погашенных избирательных бюллетеней	45137	36	240	24	1066	1172	855	857	821	1120	1190	916	1085	768	873	706	1010	917	768	92	409	988	851	1034	74	653	327	504	712	677	715	674	755	1034	772	1153	1176	908	1221	1236	895	841	919	993	1216	834	962	1075	959	918	885	1197	1071	7	958	1018					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1691	8	76	284	44	28	22	17	17	21	33	7	21	24	8	18	15	16	42	110	53	66	39	24	3	34	44	14	34	22	11	21	14	29	45	23	63	21	21	16	29	17	22	18	28	8	16	31	29	13	13	8	17	7	20	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49811	106	234	292	890	850	723	1026	912	856	927	727	794	908	919	676	1060	867	840	148	288	596	1109	1142	173	962	629	682	754	700	772	805	831	1137	983	1424	1209	1021	1008	1198	1226	1092	1209	1289	1405	1154	1372	1293	1212	1169	1002	1295	1212	406	1072	1225					
9	Число недействительных избирательных бюллетеней	1357	3	2	19	31	25	19	34	27	27	33	24	23	21	28	27	26	24	31	6	5	15	29	24	3	24	12	31	24	25	17	21	32	29	28	38	47	25	20	32	53	29	28	20	28	36	19	23	19	19	23	24	30	49	18	28					
10	Число действительных избирательных бюллетеней	50145	111	308	557	903	853	726	1009	902	850	927	710	792	911	899	667	1049	859	851	252	336	647	1119	1142	173	972	661	665	764	697	766	805	813	1137	1000	1409	1225	1017	1009	1182	1202	1080	1203	1287	1405	1126	1369	1301	1222	1163	992	1279	1199	364	1074	1204					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1431	10	10	0	25	40	20	25	30	25	25	20	32	27	25	20	25	25	20	10	15	27	32	25	10	20	27	20	20	32	37	30	27	30	25	44	30	30	32	37	32	37	25	35	30	25	25	37	25	42	32	37	35	0	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1242	1	6	0	14	34	17	23	30	24	22	12	31	23	22	18	21	23	20	4	12	25	28	25	5	19	22	11	20	27	34	24	22	28	23	39	27	29	27	37	30	34	23	33	29	21	25	36	18	37	26	33	29	0	21	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	845	2	3	9	13	9	13	48	23	12	16	10	15	16	12	13	49	30	19	4	6	8	68	13	27	16	35	10	6	14	14	11	10	13	11	18	22	17	11	17	13	13	19	13	20	8	6	7	18	10	10	12	12	3	10	8					
