Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Базарносызганская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21					
1	"Число избирателей, внесенных в списки избирателей"	8106	1365	1301	1312	272	329	101	275	58	304	382	117	179	513	157	75	352	84	238	129	90	473					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8200	1300	1300	1300	270	300	110	300	75	300	400	120	190	500	170	85	400	100	250	130	100	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5725	799	748	1095	199	202	81	205	47	194	287	77	125	377	127	63	273	61	195	99	68	403					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	793	100	155	126	20	67	10	20	1	51	39	28	20	48	12	5	25	10	24	20	9	3					
6	Число погашенных избирательных бюллетеней	1682	401	397	79	51	31	19	75	27	55	74	15	45	75	31	17	102	29	31	11	23	94					
7	Число избирательных бюллетеней в переносных ящиках для голосования	793	100	155	126	20	67	10	20	1	51	39	28	20	48	12	5	25	10	24	20	9	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5724	799	748	1095	199	202	81	205	47	194	287	77	125	377	127	63	273	61	195	99	68	402					
9	Число недействительных избирательных бюллетеней	43	10	4	5	0	1	0	0	0	4	4	0	1	4	2	0	2	0	2	1	0	3					
10	Число действительных избирательных бюллетеней	6474	889	899	1216	219	268	91	225	48	241	322	105	144	421	137	68	296	71	217	118	77	402					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	475	35	20	50	20	20	11	30	15	20	47	11	17	32	15	5	45	7	25	15	5	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	446	35	20	50	12	20	11	30	11	17	46	11	15	32	13	5	45	5	25	15	5	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	135	41	18	11	8	9	3	2	2	2	11	4	5	2	0	0	2	0	4	6	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	29	0	0	0	8	0	0	0	4	3	1	0	2	0	2	0	0	2	0	0	0	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	5	6	7	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	90	12	13	10	1	4	3	2	0	8	4	0	0	12	1	2	4	0	0	2	4	8					
		1.38%	1.33%	1.44%	0.82%	0.46%	1.49%	3.30%	0.89%	0.00%	3.27%	1.23%	0.00%	0.00%	2.82%	0.72%	2.94%	1.34%	0.00%	0.00%	1.68%	5.19%	1.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	12	3	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.18%	0.33%	0.22%	0.33%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0					
		0.08%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.44%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	1.30%	0.00%					
