Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Чародинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8136	188	78	143	173	66	179	337	121	134	58	94	118	91	50	117	96	69	256	459	116	208	55	72	115	522	160	104	40	23	223	97	72	21	31	72	27	37	17	174	92	154	1565	58	54	31	253	126	397	156	50	110	48	29									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8000	188	78	143	173	66	179	337	121	134	58	94	118	91	50	117	96	69	256	459	116	208	55	72	115	522	160	104	40	23	223	97	72	21	31	72	27	37	17	174	91	154	1430	58	54	31	253	126	397	156	50	110	48	29									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7269	164	78	123	135	58	172	190	90	122	34	90	106	65	42	96	64	57	250	446	104	185	55	70	115	522	160	89	40	23	193	97	54	21	29	70	27	33	14	143	90	150	1392	56	50	26	238	124	370	152	38	92	40	25									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	70	0	0	0	5	0	0	11	0	0	0	0	0	0	0	7	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	0	16	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	661	24	0	20	33	8	7	136	31	12	24	4	12	26	8	14	16	12	6	11	12	23	0	2	0	0	0	15	0	0	30	0	15	0	2	2	0	4	3	21	1	4	22	2	4	5	15	2	27	4	12	18	8	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	70	0	0	0	5	0	0	11	0	0	0	0	0	0	0	7	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	0	16	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7269	164	78	123	135	58	172	190	90	122	34	90	106	65	42	96	64	57	250	446	104	185	55	70	115	522	160	89	40	23	193	97	54	21	29	70	27	33	14	143	90	150	1392	56	50	26	238	124	370	152	38	92	40	25									
9	Число недействительных избирательных бюллетеней	15	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	7324	164	78	123	140	58	172	197	90	122	34	90	106	64	42	103	80	57	250	445	104	185	55	70	115	522	160	89	40	23	193	97	57	21	29	70	27	33	14	153	90	150	1403	56	50	26	238	124	368	152	38	92	40	25									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	1	1	1	1	1	1	1	1	1	1	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	1	1	1	1	1	1	1	1	1	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	30	0	1	0	0	0	0	0	0	5	0	3	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	2	5	0	2	0	0	0	0	0	0	0	0	0	0	0									
		0.41%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.10%	0.00%	3.33%	0.00%	3.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.55%	1.03%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	1.31%	5.56%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	70	9	0	0	0	0	0	2	0	7	0	0	7	2	0	0	0	0	2	1	6	0	0	0	7	0	0	0	0	0	10	0	0	0	3	0	0	0	0	2	0	0	10	0	0	0	2	0	0	0	0	0	0	0									
		0.95%	5.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	5.74%	0.00%	0.00%	6.60%	3.08%	0.00%	0.00%	0.00%	0.00%	0.80%	0.22%	5.77%	0.00%	0.00%	0.00%	6.09%	0.00%	0.00%	0.00%	0.00%	0.00%	5.18%	0.00%	0.00%	0.00%	10.34%	0.00%	0.00%	0.00%	0.00%	1.31%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6799	145	76	122	132	55	172	178	88	100	34	84	96	59	41	103	80	57	230	433	94	181	55	65	88	500	150	88	40	20	167	87	49	20	26	70	27	31	12	145	80	135	1292	50	40	26	218	124	300	152	38	90	33	21									
		92.64%	88.41%	97.44%	99.19%	94.29%	94.83%	100.00%	88.56%	97.78%	81.97%	100.00%	93.33%	90.57%	90.77%	97.62%	100.00%	100.00%	100.00%	92.00%	96.65%	90.38%	97.84%	100.00%	92.86%	76.52%	95.79%	93.75%	98.88%	100.00%	86.96%	86.53%	89.69%	85.96%	95.24%	89.66%	100.00%	100.00%	93.94%	85.71%	94.77%	88.89%	90.00%	91.76%	89.29%	80.00%	100.00%	91.60%	100.00%	81.08%	100.00%	100.00%	97.83%	82.50%	84.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.00%	2.14%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0									
		0.18%	0.00%	0.00%	0.00%	2.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	3.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
