Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Тюмень, Ленинская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902					
1	"Число избирателей, внесенных в список избирателей"	109065	1461	90	2335	1853	2249	2514	2045	2639	1959	2524	2303	2196	2125	2345	2417	2668	1504	2396	1595	2048	338	593	2494	2490	2163	2009	2091	1865	2098	1501	2607	2195	2674	1172	1677	1700	2685	865	2401	2065	1027	1693	1475	1567	1784	1047	1118	344	2204	2363	1870	410	1593	1704	2640	2275	102	2572	2328					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108680	1600	150	2300	1800	2200	2500	2000	2600	1900	2500	2300	2200	2100	2300	2400	2600	1500	2400	1500	1900	400	600	2400	2300	2100	2000	2100	2000	2500	1400	2600	2200	2600	1500	1600	1700	2600	800	2400	2000	900	1600	1400	1500	1700	1400	1000	330	2200	2300	1800	400	2100	1700	2600	2200	300	2500	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	81995	987	70	1580	1231	1654	2029	1702	1821	1735	1764	1732	1759	1662	1621	1704	1961	1167	1638	1241	1365	142	439	2174	1684	1507	1697	1714	1161	2080	1003	1866	1515	2470	1168	1378	1270	1872	553	1673	1512	756	1256	867	992	1268	1038	791	233	1612	1779	1369	292	1589	1460	1872	1606	89	1946	1879					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1243	7	11	7	33	30	19	21	35	23	9	39	22	13	26	21	7	18	20	25	20	169	154	17	64	25	16	16	1	18	19	20	22	14	4	6	8	30	1	6	21	0	4	9	2	11	9	16	9	18	11	8	1	4	4	14	27	13	36	10					
6	Число погашенных избирательных бюллетеней	25442	606	69	713	536	516	452	277	744	142	727	529	419	425	653	675	632	315	742	234	515	89	7	209	552	568	287	370	838	402	378	714	663	116	328	216	422	698	246	721	467	144	340	524	506	421	353	193	88	570	510	423	107	507	236	714	567	198	518	311					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1242	7	11	7	33	30	19	21	35	23	9	39	22	13	26	21	7	18	20	25	20	168	154	17	64	25	16	16	1	18	19	20	22	14	4	6	8	30	1	6	21	0	4	9	2	11	9	16	9	18	11	8	1	4	4	14	27	13	36	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	81629	982	70	1573	1226	1652	1968	1702	1821	1712	1755	1693	1758	1660	1621	1704	1954	1167	1635	1224	1363	142	439	2152	1684	1507	1697	1714	1161	2041	1003	1866	1494	2470	1168	1375	1264	1872	553	1673	1491	753	1256	865	992	1268	1038	790	233	1581	1779	1369	292	1589	1456	1872	1606	89	1935	1860					
9	Число недействительных избирательных бюллетеней	1353	15	3	13	25	27	128	39	42	26	35	27	28	12	26	28	41	9	41	32	26	3	2	16	5	8	18	15	8	10	20	49	23	28	10	6	17	22	7	16	23	10	20	15	32	34	26	3	9	25	18	28	8	16	20	38	30	3	54	35					
10	Число действительных избирательных бюллетеней	81518	974	78	1567	1234	1655	1859	1684	1814	1709	1729	1705	1752	1661	1621	1697	1920	1176	1614	1217	1357	307	591	2153	1743	1524	1695	1715	1154	2049	1002	1837	1493	2456	1162	1375	1255	1880	547	1663	1489	743	1240	859	962	1245	1021	803	233	1574	1772	1349	285	1577	1440	1848	1603	99	1917	1835					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1380	25	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	30	0	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	773	10	0	15	7	21	15	16	21	16	21	16	18	11	15	24	21	11	16	13	27	0	0	14	20	15	8	23	24	14	9	19	15	15	10	8	13	17	4	22	12	23	11	6	13	10	8	9	6	6	14	11	1	18	7	12	9	0	12	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1444	34	27	32	24	24	36	26	30	25	42	21	24	69	41	35	40	29	33	26	26	22	8	55	52	22	11	29	19	32	21	18	11	23	25	28	5	18	4	34	57	6	41	29	6	15	23	21	10	26	7	21	5	16	1	22	13	9	24	11					
14	Число погашенных неиспользованных открепительных удостоверений	607	15	0	10	18	4	10	9	4	9	4	9	7	14	10	1	4	14	9	12	3	0	0	11	5	10	17	2	1	11	16	6	10	10	15	17	12	8	21	3	13	2	14	19	12	15	17	16	19	19	11	14	24	7	18	13	16	0	13	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	2	0	0	0	0	3	0	0	0	0	0	1	1	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6958	61	10	104	98	230	120	204	152	108	266	147	90	140	257	257	289	100	232	156	199	40	57	168	87	78	112	23	78	89	61	58	89	206	139	122	76	131	67	129	87	65	58	75	90	154	129	50	14	228	96	101	43	71	67	114	48	16	215	207					
