Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Локнянская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8088	1098	1131	1202	639	530	273	226	535	579	619	173	369	421	148	145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8150	1150	1150	1200	650	540	280	220	540	530	610	180	380	420	150	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2663	457	315	513	217	106	99	70	90	137	228	71	136	114	59	51									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	912	30	27	23	68	64	23	47	211	189	93	23	42	29	15	28									
6	Число погашенных избирательных бюллетеней	4575	663	808	664	365	370	158	103	239	204	289	86	202	277	76	71									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	912	30	27	23	68	64	23	47	211	189	93	23	42	29	15	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2663	457	315	513	217	106	99	70	90	137	228	71	136	114	59	51									
9	Число недействительных избирательных бюллетеней	105	11	14	18	7	2	8	1	6	11	10	2	7	4	3	1									
10	Число действительных избирательных бюллетеней	3470	476	328	518	278	168	114	116	295	315	311	92	171	139	71	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	170	15	15	20	25	10	5	5	15	10	10	5	10	15	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	4	4	10	4	2	2	0	3	0	1	0	1	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	52	2	12	4	1	0	1	2	4	11	3	3	1	5	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	138	11	11	10	21	8	3	5	12	10	9	5	9	15	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	5	0	4	1	1	0	0	1	0	1	0	2	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	7	1	8	1	1	0	0	1	8	3	1	4	1	1	0									
		1.03%	1.44%	0.29%	1.49%	0.35%	0.59%	0.00%	0.00%	0.33%	2.45%	0.93%	1.06%	2.25%	0.70%	1.35%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	91	13	8	15	8	6	4	3	3	9	6	2	5	4	1	4									
		2.55%	2.67%	2.34%	2.80%	2.81%	3.53%	3.28%	2.56%	0.99%	2.76%	1.87%	2.13%	2.81%	2.80%	1.35%	5.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	75	8	8	8	5	2	3	2	10	18	7	1	0	1	0	2									
		2.10%	1.64%	2.34%	1.49%	1.75%	1.18%	2.46%	1.71%	3.32%	5.52%	2.18%	1.06%	0.00%	0.70%	0.00%	2.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1750	220	174	237	143	93	47	56	171	137	171	50	84	88	35	44									
