Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Нижегородский район																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25047	1047	505	2462	2363	1980	1565	1909	2320	2730	2491	1800	2141	1734									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17220	720	350	1780	1670	1320	1110	1330	1610	1830	1740	1060	1500	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8027	318	156	838	713	668	462	571	717	848	830	733	608	565									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	351	14	14	24	47	32	20	26	52	40	25	18	18	21									
6	Число погашенных избирательных бюллетеней	8842	388	180	918	910	620	628	733	841	942	885	309	874	614									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	351	14	14	24	47	32	20	26	52	40	25	18	18	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8020	318	154	836	712	668	461	571	717	848	830	732	608	565									
9	Число недействительных избирательных бюллетеней	193	6	4	19	23	15	14	17	13	23	21	10	18	10									
10	Число действительных избирательных бюллетеней	8178	326	164	841	736	685	467	580	756	865	834	740	608	576									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	274	15	10	30	25	15	15	15	30	30	30	19	25	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	4	3	18	15	14	5	10	17	12	11	17	15	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	695	24	9	13	4	82	9	29	54	134	28	250	20	39									
14	Число погашенных неиспользованных открепительных удостоверений	126	11	7	12	10	1	10	5	13	18	19	2	10	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	1	2	0	1	1	5	4	1	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	238	5	2	23	16	34	10	5	18	25	32	20	24	24									
		2.84%	1.51%	1.19%	2.67%	2.11%	4.86%	2.08%	0.84%	2.34%	2.82%	3.74%	2.67%	3.83%	4.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	175	9	1	22	11	15	8	7	23	14	21	9	17	18									
		2.09%	2.71%	0.60%	2.56%	1.45%	2.14%	1.66%	1.17%	2.99%	1.58%	2.46%	1.20%	2.72%	3.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	228	6	2	36	34	24	12	5	15	21	25	13	16	19									
		2.72%	1.81%	1.19%	4.19%	4.48%	3.43%	2.49%	0.84%	1.95%	2.36%	2.92%	1.73%	2.56%	3.24%									
