Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Надтеречная																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190					
1	"Число избирателей, внесенных в списки"	29694	475	827	1289	1494	1700	1487	1457	1421	2126	1425	1685	3113	2125	2264	2706	521	788	1723	1068					
2	"Число бюллетеней, полученных участковыми комиссиями"	29300	454	806	1261	1473	1680	1466	1436	1400	2108	1404	1664	3090	2108	2248	2687	500	767	1702	1046					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29023	454	797	1261	1473	1680	1456	1436	1399	2051	1404	1660	3075	2040	2147	2675	500	767	1702	1046					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	79	0	9	0	0	0	0	0	0	0	0	4	11	0	50	5	0	0	0	0					
6	Число погашенных бюллетеней	198	0	0	0	0	0	10	0	1	57	0	0	4	68	51	7	0	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	79	0	9	0	0	0	0	0	0	0	0	4	11	0	50	5	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	29023	454	797	1261	1473	1680	1456	1436	1399	2051	1404	1660	3075	2040	2147	2675	500	767	1702	1046					
9	Число недействительных бюллетеней	45	0	3	3	0	0	0	8	0	10	0	8	13	0	0	0	0	0	0	0					
10	Число действительных бюллетеней	29057	454	803	1258	1473	1680	1456	1428	1399	2041	1404	1656	3073	2040	2197	2680	500	767	1702	1046					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	95	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	4	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	91	5	5	4	5	5	5	5	5	4	4	5	5	5	5	4	5	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	201	0	0	0	0	0	2	49	0	40	0	33	74	0	3	0	0	0	0	0					
		0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	3.41%	0.0%	1.95%	0.0%	1.98%	2.39%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	268	1	8	16	60	50	12	17	0	13	12	21	25	0	4	29	0	0	0	0					
		0.92%	0.22%	0.99%	1.26%	4.07%	2.97%	0.82%	1.18%	0.0%	0.63%	0.85%	1.26%	0.81%	0.0%	0.18%	1.08%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	40	0	0	5	0	0	6	6	0	10	0	9	4	0	0	0	0	0	0	0					
		0.13%	0.0%	0.0%	0.39%	0.0%	0.0%	0.41%	0.41%	0.0%	0.48%	0.0%	0.54%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	155	2	0	0	0	0	8	6	0	23	2	27	49	0	10	28	0	0	0	0					
		0.53%	0.44%	0.0%	0.0%	0.0%	0.0%	0.54%	0.41%	0.0%	1.12%	0.14%	1.62%	1.58%	0.0%	0.45%	1.04%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	8	0	0	0	0	0	0	1	0	1	0	3	3	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.04%	0.0%	0.18%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
		0.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	41	0	0	0	0	0	3	2	0	5	0	7	16	0	4	4	0	0	0	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.13%	0.0%	0.24%	0.0%	0.42%	0.51%	0.0%	0.18%	0.14%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	18	0	0	0	0	0	0	2	0	0	0	2	14	0	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.12%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.04%	0.0%	0.12%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	159	0	0	8	0	0	8	5	0	3	0	16	15	102	2	0	0	0	0	0					
		0.54%	0.0%	0.0%	0.63%	0.0%	0.0%	0.54%	0.34%	0.0%	0.14%	0.0%	0.96%	0.48%	4.99%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	98	2	0	0	0	0	0	14	0	29	0	15	34	0	4	0	0	0	0	0					
		0.33%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	1.41%	0.0%	0.90%	1.10%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%					
