Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Шимановская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15093	1105	1114	1176	1347	1595	1763	1180	1199	1625	1483	1506									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15476	1140	1073	1202	1375	1629	1859	1215	1233	1670	1516	1564									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5982	320	365	580	604	466	679	567	412	714	653	622									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1111	142	75	79	117	100	144	80	59	111	68	136									
6	Число погашенных избирательных бюллетеней	8383	678	633	543	654	1063	1036	568	762	845	795	806									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1111	142	75	79	117	100	144	80	59	111	68	136									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5974	320	365	577	604	466	679	562	412	714	653	622									
9	Число недействительных избирательных бюллетеней	131	9	8	11	11	9	13	12	15	15	18	10									
10	Число действительных избирательных бюллетеней	6954	453	432	645	710	557	810	630	456	810	703	748									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	310	20	20	40	20	20	60	20	20	30	20	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	184	5	3	18	17	16	43	15	9	25	10	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	1	0	17	11	0	1	5	4	10	13	4									
14	Число погашенных неиспользованных открепительных удостоверений	126	15	17	22	3	4	17	5	11	5	10	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	2	3	6	6	4	10	7	6	9	5	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
