Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Пронская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346					
1	"Число избирателей, внесенных в список избирателей"	28022	545	364	768	155	320	99	301	483	926	244	223	793	160	488	520	650	391	157	111	844	1201	1327	589	1847	1602	1585	1736	1742	2151	1838	1748	2114					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28150	560	360	780	150	310	100	300	480	940	240	220	810	160	490	520	660	390	150	110	860	1210	1350	590	1800	1610	1590	1750	1740	2160	1850	1760	2150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13723	276	147	354	51	148	53	135	205	389	94	102	344	72	181	243	293	180	87	34	323	489	608	198	853	724	828	946	1045	1352	927	895	1147					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	913	30	23	36	31	42	16	41	73	62	33	3	42	13	33	31	24	28	9	23	40	61	33	19	17	12	16	25	23	30	14	19	11					
6	Число погашенных избирательных бюллетеней	13514	254	190	390	68	120	31	124	202	489	113	115	424	75	276	246	343	182	54	53	497	660	709	373	930	874	746	779	672	778	909	846	992					
7	Число избирательных бюллетеней в переносных ящиках для голосования	913	30	23	36	31	42	16	41	73	62	33	3	42	13	33	31	24	28	9	23	40	61	33	19	17	12	16	25	23	30	14	19	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13723	276	147	354	51	148	53	135	205	389	94	102	344	72	181	243	293	180	87	34	323	489	608	198	853	724	828	946	1045	1352	927	895	1147					
9	Число недействительных избирательных бюллетеней	277	6	3	9	0	8	2	6	3	8	4	0	3	0	4	1	3	6	1	0	6	10	11	2	25	13	11	17	15	24	25	19	32					
10	Число действительных избирательных бюллетеней	14359	300	167	381	82	182	67	170	275	443	123	105	383	85	210	273	314	202	95	57	357	540	630	215	845	723	833	954	1053	1358	916	895	1126					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	383	5	4	7	2	6	2	3	10	5	8	3	5	3	5	5	5	3	3	2	15	17	15	10	30	25	25	25	25	30	25	25	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	220	5	4	7	1	6	1	3	10	5	3	2	5	2	3	0	4	3	2	1	15	14	14	6	8	13	11	10	8	11	10	11	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	151	4	2	4	3	3	1	5	4	4	2	2	3	3	1	3	6	4	6	3	3	4	3	1	7	8	5	4	23	8	10	5	7					
14	Число погашенных неиспользованных открепительных удостоверений	163	0	0	0	1	0	1	0	0	0	5	1	0	1	2	5	1	0	1	1	0	3	1	4	22	12	14	15	17	19	15	14	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2184	27	17	57	17	18	6	23	24	69	13	4	43	0	23	36	67	28	8	9	50	92	117	37	135	98	103	164	175	236	141	144	203					
		14.92%	8.82%	10.00%	14.62%	20.73%	9.47%	8.70%	13.07%	8.63%	15.30%	10.24%	3.81%	11.14%	0.00%	10.75%	13.14%	21.14%	13.46%	8.33%	15.79%	13.77%	16.73%	18.25%	17.05%	15.52%	13.32%	12.20%	16.89%	16.39%	17.08%	14.98%	15.75%	17.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2245	51	34	71	10	16	4	22	46	70	14	13	54	3	29	36	44	27	8	7	52	81	93	31	161	141	124	145	168	199	148	169	174					
		15.34%	16.67%	20.00%	18.21%	12.20%	8.42%	5.80%	12.50%	16.55%	15.52%	11.02%	12.38%	13.99%	3.53%	13.55%	13.14%	13.88%	12.98%	8.33%	12.28%	14.33%	14.73%	14.51%	14.29%	18.51%	19.16%	14.69%	14.93%	15.73%	14.40%	15.73%	18.49%	15.03%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	181	1	3	2	3	3	2	1	2	2	1	1	2	1	1	1	4	2	0	1	7	5	4	2	11	15	10	9	15	22	12	14	22					
		1.24%	0.33%	1.76%	0.51%	3.66%	1.58%	2.90%	0.57%	0.72%	0.44%	0.79%	0.95%	0.52%	1.18%	0.47%	0.36%	1.26%	0.96%	0.00%	1.75%	1.93%	0.91%	0.62%	0.92%	1.26%	2.04%	1.18%	0.93%	1.40%	1.59%	1.28%	1.53%	1.90%					
