Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Мари-Турекская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309					
1	"Число избирателей, внесенных в списки"	18659	178	1642	294	1927	664	983	446	923	589	222	1390	915	872	480	1184	301	591	765	354	656	499	954	233	283	533	781					
2	"Число бюллетеней, полученных участковыми комиссиями"	18535	180	1575	300	1860	640	875	455	925	610	230	1390	890	900	500	1160	320	595	780	365	660	500	955	235	290	555	790					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12081	117	1063	175	1336	425	692	225	639	326	191	900	413	504	319	959	142	380	390	178	386	405	608	144	277	296	591					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2033	12	25	35	22	45	36	109	122	111	15	154	298	126	76	23	112	77	144	82	95	10	122	31	6	78	67					
6	Число погашенных бюллетеней	4421	51	487	90	502	170	147	121	164	173	24	336	179	270	105	178	66	138	246	105	179	85	225	60	7	181	132					
7	Число бюллетеней в переносных ящиках для голосования	2033	12	25	35	22	45	36	109	122	111	15	154	298	126	76	23	112	77	144	82	95	10	122	31	6	78	67					
8	Число бюллетеней в стационарных ящиках для голосования	12081	117	1063	175	1336	425	692	225	639	326	191	900	413	504	319	959	142	380	390	178	386	405	608	144	277	296	591					
9	Число недействительных бюллетеней	260	3	14	4	22	14	23	8	7	6	0	25	16	17	1	30	4	5	4	7	9	7	7	0	2	9	16					
10	Число действительных бюллетеней	13854	126	1074	206	1336	456	705	326	754	431	206	1029	695	613	394	952	250	452	530	253	472	408	723	175	281	365	642					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	342	2	17	3	20	6	9	19	14	6	2	33	13	34	5	10	9	16	37	13	17	10	9	7	3	10	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	271	1	17	1	20	6	8	15	14	1	0	25	11	32	5	10	9	16	23	9	7	7	4	2	0	10	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	109	0	11	0	10	2	39	0	3	2	0	4	2	2	1	8	2	4	4	1	2	2	3	1	1	3	2					
14	Число погашенных открепительных удостоверений	71	1	0	2	0	0	1	4	0	5	2	8	2	2	0	0	0	0	14	4	10	3	5	5	3	0	0					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	2	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	287	4	28	6	31	6	18	8	22	10	6	16	6	8	9	26	4	12	7	2	11	4	8	5	1	10	19					
		2.03%	3.10%	2.57%	2.85%	2.28%	1.27%	2.47%	2.39%	2.89%	2.28%	2.91%	1.51%	0.84%	1.26%	2.27%	2.64%	1.57%	2.62%	1.31%	0.76%	2.28%	0.96%	1.09%	2.85%	0.35%	2.67%	2.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	133	2	16	1	28	6	9	0	1	4	2	15	1	0	0	20	1	2	2	1	6	1	3	0	0	5	7					
		0.94%	1.55%	1.47%	0.47%	2.06%	1.27%	1.23%	0.0%	0.13%	0.91%	0.97%	1.42%	0.14%	0.0%	0.0%	2.03%	0.39%	0.43%	0.37%	0.38%	1.24%	0.24%	0.41%	0.0%	0.0%	1.33%	1.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	241	5	21	4	20	5	17	11	9	2	1	31	6	11	2	22	2	10	10	2	20	5	9	1	4	3	8					
		1.70%	3.87%	1.93%	1.90%	1.47%	1.06%	2.33%	3.29%	1.18%	0.45%	0.48%	2.94%	0.84%	1.74%	0.50%	2.24%	0.78%	2.18%	1.87%	0.76%	4.15%	1.20%	1.23%	0.57%	1.41%	0.80%	1.21%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	101	0	8	0	12	7	6	5	8	6	1	10	4	6	3	5	1	5	1	0	1	1	1	0	4	4	2					
		0.71%	0.0%	0.73%	0.0%	0.88%	1.48%	0.82%	1.49%	1.05%	1.37%	0.48%	0.94%	0.56%	0.95%	0.75%	0.50%	0.39%	1.09%	0.18%	0.0%	0.20%	0.24%	0.13%	0.0%	1.41%	1.06%	0.30%					
