Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Верхнехавская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730					
1	"Число избирателей, внесенных в список"	21917	384	582	448	665	1989	469	80	411	2887	1552	1419	1209	124	292	502	124	308	676	517	429	345	136	584	543	1224	386	113	569	79	2871					
2	Число полученных избирательных бюллетеней	21000	350	550	450	650	2000	450	80	400	2500	1500	1400	1200	120	290	500	120	300	650	500	400	340	130	550	550	1200	350	110	550	75	2735					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9317	164	373	244	285	653	213	52	231	1151	681	591	430	66	104	231	58	145	299	240	126	177	66	275	319	516	152	53	283	38	1101					
5	"Число избирательных бюллетеней, выданных вне помещения"	3663	156	80	117	139	208	131	22	108	148	155	116	226	14	84	113	30	95	106	112	213	82	46	201	151	300	126	41	126	26	191					
6	Число погашенных избирательных бюллетеней	8020	30	97	89	226	1139	106	6	61	1201	664	693	544	40	102	156	32	60	245	148	61	81	18	74	80	384	72	16	141	11	1443					
7	Число избирательных бюллетеней в переносных ящиках	3663	156	80	117	139	208	131	22	108	148	155	116	226	14	84	113	30	95	106	112	213	82	46	201	151	300	126	41	126	26	191					
8	Число бюллетеней в стационарных ящиках для голосования	9314	164	373	244	285	652	213	52	231	1149	681	591	430	66	104	231	58	145	299	240	126	177	66	275	319	516	152	53	283	38	1101					
9	Число недействительных избирательных бюллетеней	189	6	3	9	8	8	4	2	0	11	10	22	15	1	2	5	1	1	11	0	4	0	0	3	0	8	2	0	4	27	22					
10	Число действительных избирательных бюллетеней	12788	314	450	352	416	852	340	72	339	1286	826	685	641	79	186	339	87	239	394	352	335	259	112	473	470	808	276	94	405	37	1270					
11	Число полученных открепительных  удостоверений	280	10	7	6	6	15	6	4	6	20	19	10	10	4	6	13	2	6	10	10	6	6	4	6	21	25	6	4	6	4	22					
12	Число выданных открепительных удостоверений	153	7	1	2	2	7	1	3	1	17	17	3	6	0	1	13	1	1	2	10	0	5	1	3	18	12	3	0	0	0	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	3	0	3	8	5	2	2	1	6	11	2	2	5	1	15	5	1	3	8	1	1	1	1	2	8	0	0	0	2	9					
14	Число неиспользованных открепительных удостоверений	127	3	6	4	4	8	5	1	5	3	2	7	4	4	5	0	1	5	8	0	6	1	3	3	3	13	3	4	6	4	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	269	3	2	5	3	22	7	0	7	30	21	14	13	1	3	13	1	3	12	8	2	2	1	12	13	6	7	0	4	0	54					
		2.07%	0.94%	0.44%	1.39%	0.71%	2.56%	2.03%	0.00%	2.06%	2.31%	2.51%	1.98%	1.98%	1.25%	1.60%	3.78%	1.14%	1.25%	2.96%	2.27%	0.59%	0.77%	0.89%	2.52%	2.77%	0.74%	2.52%	0.00%	0.98%	0.00%	4.18%					
19	. Малышкин Олег Александрович	265	9	11	4	7	19	9	5	5	27	20	24	7	5	4	9	2	3	4	4	9	5	5	8	9	9	4	0	3	2	33					
