Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Анадырская																				
																				
Сводная таблица итогов голосования  по федеральному округу																				
																				
		Сумма	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18					
1	"Число избирателей, внесенных в списки"	5663	793	973	949	137	145	733	369	107	139	587	216	419	96					
2	"Число бюллетеней, полученных участковыми комиссиями"	5302	747	942	750	118	131	709	359	110	140	579	214	416	87					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	231	0	0	0	0	0	13	27	9	16	79	12	65	10					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3373	519	519	457	111	74	496	230	92	102	324	139	258	52					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	64	4	23	1	0	3	18	7	2	0	6	0	0	0					
6	Число погашенных бюллетеней	1634	224	400	292	7	54	182	95	7	22	170	63	93	25					
7	Число бюллетеней в переносных ящиках для голосования	295	4	23	1	0	3	31	34	11	16	85	12	65	10					
8	Число бюллетеней в стационарных ящиках для голосования	3372	518	519	457	111	74	496	230	92	102	324	139	258	52					
9	Число недействительных бюллетеней	50	1	8	5	0	3	14	9	0	0	8	0	1	1					
10	Число действительных бюллетеней	3617	521	534	453	111	74	513	255	103	118	401	151	322	61					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	160	20	30	20	10	10	15	10	5	5	10	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	22	5	0	2	0	0	0	1	4	4	2	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	7	1	0	0	0	3	1	3	0	0	0	1	0					
14	Число погашенных открепительных удостоверений	138	15	30	18	10	10	15	9	1	1	8	8	10	3					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	95	6	10	18	3	2	19	10	1	2	9	6	8	1					
		2.59%	1.14%	1.84%	3.93%	2.70%	2.59%	3.60%	3.78%	0.97%	1.69%	2.20%	3.97%	2.47%	1.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	93	15	16	22	3	3	7	4	2	2	6	4	8	1					
