Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Комсомольская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19031	1355	1111	1285	181	534	165	101	485	258	322	140	197	254	191	316	314	509	236	363	485	189	546	195	112	1132	935	1313	492	588	612	383	266	292	137	192	508	122	406	415	733	302	291	68									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19334	1326	1132	1332	183	551	165	103	480	262	333	141	205	250	195	329	317	494	234	366	499	189	556	203	114	1162	964	1350	501	605	603	401	269	296	137	195	529	125	417	432	721	305	295	68									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13795	846	748	830	129	385	101	67	339	187	213	114	149	206	162	223	216	333	172	247	420	126	444	133	75	759	831	902	447	399	498	270	148	219	93	138	402	106	311	321	564	233	239	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1034	26	31	17	10	16	0	3	63	20	33	12	17	24	12	28	41	30	23	20	31	10	53	19	9	48	50	40	12	18	27	36	61	26	11	18	33	5	25	17	20	16	21	2									
6	Число погашенных избирательных бюллетеней	4505	454	353	485	44	150	64	33	78	55	87	15	39	20	21	78	60	131	39	99	48	53	59	51	30	355	83	408	42	188	78	95	60	51	33	39	94	14	81	94	137	56	35	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1034	26	31	17	10	16	0	3	63	20	33	12	17	24	12	28	41	30	23	20	31	10	53	19	9	48	50	40	12	18	27	36	61	26	11	18	33	5	25	17	20	16	21	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13795	846	748	830	129	385	101	67	339	187	213	114	149	206	162	223	216	333	172	247	420	126	444	133	75	759	831	902	447	399	498	270	148	219	93	138	402	106	311	321	564	233	239	50									
9	Число недействительных избирательных бюллетеней	453	19	21	32	6	20	3	3	54	7	9	4	0	5	3	12	12	14	11	1	11	2	7	3	7	26	25	14	1	14	5	3	8	12	7	1	15	0	6	9	32	6	3	0									
10	Число действительных избирательных бюллетеней	14376	853	758	815	133	381	98	67	348	200	237	122	166	225	171	239	245	349	184	266	440	134	490	149	77	781	856	928	458	403	520	303	201	233	97	155	420	111	330	329	552	243	257	52									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	20	20	30	5	15	5	3	15	5	10	5	5	5	5	10	10	15	5	10	15	5	15	5	3	25	25	30	15	15	20	15	5	5	4	5	15	3	15	15	20	5	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	481	20	20	30	5	15	1	3	15	5	10	5	5	5	5	10	10	15	5	10	15	5	15	5	3	25	25	30	15	15	20	15	5	5	4	5	15	3	15	15	20	5	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	7	10	4	2	7	3	2	2	2	0	0	0	1	1	2	1	1	0	1	0	0	1	0	0	0	2	2	1	2	4	2	0	0	0	0	0	0	0	0	0	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	115	12	15	27	1	10	1	0	2	0	0	0	3	1	0	3	2	1	0	0	2	1	1	1	1	2	5	0	1	2	5	6	1	0	0	1	1	0	1	1	2	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
