Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    район Косино-Ухтомский 																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056					
1	"Число избирателей, внесенных в списки избирателей"	22182	2116	2235	2024	1489	2016	1409	1844	3030	2520	756	1563	1180					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15000	1500	1550	1450	950	1200	950	1200	2000	1600	700	1100	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11929	1170	1211	1031	877	1061	754	996	1455	1199	536	937	702					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	246	23	22	35	32	53	4	14	42	11	4	3	3					
6	Число погашенных избирательных бюллетеней	2825	307	317	384	41	86	192	190	503	390	160	160	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	246	23	22	35	32	53	4	14	42	11	4	3	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11907	1168	1210	1028	863	1061	754	995	1454	1199	536	937	702					
9	Число недействительных избирательных бюллетеней	144	19	13	11	13	26	7	10	12	12	2	8	11					
10	Число действительных избирательных бюллетеней	12009	1172	1219	1052	882	1088	751	999	1484	1198	538	932	694					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	597	49	50	48	30	36	75	52	62	63	14	60	58					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	561	48	48	41	26	36	72	52	61	63	8	56	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	859	36	16	17	110	53	60	109	188	139	63	36	32					
14	Число погашенных неиспользованных открепительных удостоверений	36	1	2	7	4	0	3	0	1	0	6	4	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	4	3	0	1	1	3	2	4	4	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	352	44	35	32	31	38	21	16	46	40	7	24	18					
		2.90%	3.69%	2.84%	3.01%	3.46%	3.41%	2.77%	1.59%	3.07%	3.31%	1.30%	2.55%	2.55%					
19	2.Всероссийская политическая партия «Гражданская Сила»	244	28	14	20	18	25	13	25	37	27	5	26	6					
		2.01%	2.35%	1.14%	1.88%	2.01%	2.24%	1.72%	2.48%	2.47%	2.23%	0.93%	2.77%	0.85%					
20	3.Политическая партия «Демократическая партия России»	20	5	1	1	0	1	0	0	2	2	2	2	4					
		0.16%	0.42%	0.08%	0.09%	0.00%	0.09%	0.00%	0.00%	0.13%	0.17%	0.37%	0.21%	0.57%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1737	197	183	140	150	168	139	146	151	122	76	151	114					
		14.29%	16.54%	14.85%	13.17%	16.76%	15.08%	18.34%	14.47%	10.09%	10.08%	14.07%	16.06%	16.17%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	171	22	22	4	15	26	10	6	19	20	7	11	9					
		1.41%	1.85%	1.79%	0.38%	1.68%	2.33%	1.32%	0.59%	1.27%	1.65%	1.30%	1.17%	1.28%					
23	6.Политическая партия «Партия социальной справедливости»	36	4	6	0	0	5	1	5	7	1	3	2	2					
		0.30%	0.34%	0.49%	0.00%	0.00%	0.45%	0.13%	0.50%	0.47%	0.08%	0.56%	0.21%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	1021	67	108	94	76	93	63	80	116	120	54	80	70					
		8.40%	5.63%	8.77%	8.84%	8.49%	8.35%	8.31%	7.93%	7.75%	9.92%	10.00%	8.51%	9.93%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1099	155	143	106	108	117	56	63	115	78	42	73	43					
		9.04%	13.01%	11.61%	9.97%	12.07%	10.50%	7.39%	6.24%	7.69%	6.45%	7.78%	7.77%	6.10%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	161	19	15	6	18	14	12	13	19	12	8	14	11					
		1.32%	1.60%	1.22%	0.56%	2.01%	1.26%	1.58%	1.29%	1.27%	0.99%	1.48%	1.49%	1.56%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6789	588	667	620	426	546	412	617	923	742	324	524	400					
		55.86%	49.37%	54.14%	58.33%	47.60%	49.01%	54.35%	61.15%	61.70%	61.32%	60.00%	55.74%	56.74%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	379	43	25	29	40	55	24	28	49	34	10	25	17					
		3.12%	3.61%	2.03%	2.73%	4.47%	4.94%	3.17%	2.78%	3.28%	2.81%	1.85%	2.66%	2.41%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
