Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Тамбов, Октябрьская"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
1	"Число избирателей, внесенных в список"	118241	2255	352	398	890	113	2121	2780	2374	2405	2226	2085	2757	2134	2328	476	2665	2258	1822	2641	1935	1564	1595	1535	2526	2930	2556	2029	2067	2128	1534	2598	2664	1636	1686	1741	1915	2168	2201	2215	1734	2504	2477	2485	2740	2651	2013	2249	1854	1852	111	158	2230	2287	2504	2549	2584	2792	2882	1282					
2	Число полученных избирательных бюллетеней	128301	2700	400	500	1000	150	2100	2700	2500	2600	2700	2400	3000	2300	2700	650	3000	2300	2000	2800	2100	1800	1700	2500	2800	3000	2800	2200	2100	2200	1600	2900	2800	2000	1800	1800	2000	2400	3000	2500	2000	2500	2500	2500	2800	2800	2100	2500	2000	2000	200	201	2400	2500	2500	2600	2600	2800	2800	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72067	1496	0	232	456	113	1316	1692	1423	1604	1238	1281	1562	1441	1530	243	1563	1163	998	1695	1229	888	890	1438	1419	1660	1504	1204	1281	1317	648	1634	1621	1095	990	950	1278	1448	1704	1584	1039	1483	1578	1457	1622	1486	1242	1453	1066	977	111	158	1352	1395	1495	1491	1553	1733	1804	744					
5	"Число избирательных бюллетеней, выданных вне помещения"	6733	154	335	134	64	0	73	275	136	159	105	116	60	74	82	214	155	142	105	111	123	134	84	97	123	139	74	46	124	102	420	167	179	174	144	112	112	89	71	55	151	64	59	145	71	69	28	62	181	167	0	0	49	55	101	104	62	74	71	157					
6	Число погашенных избирательных бюллетеней	49501	1050	65	134	480	37	711	733	941	837	1357	1003	1378	785	1088	193	1282	995	897	994	748	778	726	965	1258	1201	1222	950	695	781	532	1099	1000	731	666	738	610	863	1225	861	810	953	863	898	1107	1245	830	985	753	856	89	43	999	1050	904	1005	985	993	925	599					
7	Число избирательных бюллетеней в переносных ящиках	6731	154	335	133	64	0	73	275	136	159	105	116	60	74	82	214	155	142	105	111	123	134	84	96	123	139	74	46	124	102	420	167	179	174	144	112	112	89	71	55	151	64	59	145	71	69	28	62	181	167	0	0	49	55	101	104	62	74	71	157					
8	Число бюллетеней в стационарных ящиках для голосования	71923	1496	0	232	455	113	1316	1691	1422	1604	1236	1280	1562	1438	1530	243	1563	1163	998	1695	1229	888	890	1438	1417	1609	1501	1204	1280	1317	648	1634	1621	1095	990	950	1278	1448	1702	1527	1039	1483	1578	1456	1622	1486	1242	1453	1066	977	111	158	1352	1394	1493	1488	1549	1730	1799	744					
9	Число недействительных избирательных бюллетеней	582	13	1	3	4	2	10	7	4	10	7	12	23	17	15	3	13	7	18	20	4	9	5	0	9	9	15	8	5	15	22	11	20	9	8	8	12	11	3	7	14	7	14	8	16	16	6	7	11	6	1	3	12	9	13	9	17	10	13	11					
10	Число действительных избирательных бюллетеней	78072	1637	334	362	515	111	1379	1959	1554	1753	1334	1384	1599	1495	1597	454	1705	1298	1085	1786	1348	1013	969	1534	1531	1739	1560	1242	1399	1404	1046	1790	1780	1260	1126	1054	1378	1526	1770	1575	1176	1540	1623	1593	1677	1539	1264	1508	1236	1138	110	155	1389	1440	1581	1583	1594	1794	1857	890					
11	Число полученных открепительных  удостоверений	1913	40	0	0	20	0	30	70	40	25	175	30	40	30	30	0	30	40	20	40	30	20	25	40	50	40	35	25	30	25	20	45	30	35	25	25	25	33	45	35	25	45	40	38	40	35	35	37	25	20	0	0	25	35	35	40	45	35	40	20					
12	Число выданных открепительных удостоверений	1373	33	0	0	8	0	23	55	27	24	61	24	27	23	25	0	24	21	10	27	22	14	15	37	37	38	26	17	16	15	12	39	20	28	13	22	17	31	38	29	22	28	29	34	35	30	32	29	16	14	0	0	17	24	31	34	37	28	34	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1188	18	92	52	7	13	21	17	19	16	17	15	13	9	18	200	18	8	5	22	18	10	12	20	13	16	17	10	18	19	10	23	19	8	14	16	16	20	15	26	11	21	3	15	15	11	15	20	10	13	10	44	7	13	11	13	10	17	22	7					
14	Число неиспользованных открепительных удостоверений	540	7	0	0	12	0	7	15	13	1	114	6	13	7	5	0	6	19	10	13	8	6	10	3	13	2	9	8	14	10	8	6	10	7	12	3	8	2	7	6	3	17	11	4	5	5	3	8	9	6	0	0	8	11	4	6	8	7	6	19					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	3719	72	6	13	34	6	98	69	88	84	50	75	65	71	81	13	79	38	39	94	79	42	60	90	75	95	70	70	73	81	29	63	67	54	45	54	68	67	103	103	57	65	67	81	89	81	48	51	51	52	2	4	67	50	77	96	87	93	91	47					
