Выборы Президента Российской Федерации																																																																						
Дата голосования: 04.03.2012																																																																						
																																																																						
Наименование Избирательной комиссии:    Тамбов, Октябрьская																																																																						
																																																																						
Сводная таблица итогов голосования																																																																						
																																																																						
	Число участковых избирательных комиссий	59																																																																				
	Число участковых избирательных комиссий, приступивших к передаче сведений	59																																																																				
																																																																						
		Сумма	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №785	УИК №786									
1	Число избирателей, включенных в список избирателей	134576	1341	1515	2585	2619	598	1021	2722	2284	1339	2880	2168	2752	2807	2886	2413	306	2126	2947	2726	2425	1631	1730	2450	3045	2454	2656	2262	1870	2894	1887	1681	3156	2441	2190	1977	1974	2170	2413	2399	2488	1964	2240	2606	1537	1498	1652	2818	1944	2857	2990	2953	2965	2897	2648	2982	2550	2014	2334	2899									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	116800	1200	1300	2300	2200	595	1070	2500	2000	1000	2600	2000	2500	2500	2500	2200	311	1800	2600	2000	2000	1400	1500	2000	2600	1900	2000	1900	1700	2300	1700	1500	2400	2400	1700	1700	1900	2100	2300	2100	2000	1600	2000	2300	1524	1400	1500	2500	1600	2300	2700	2700	2600	2400	2300	2400	2000	1800	2300	2600									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	90626	816	1042	2087	1834	90	527	2223	1629	845	2280	1031	2020	1945	1678	1944	218	1603	2301	1383	1151	1055	1002	1522	2246	1481	1317	1074	1609	1532	1273	1201	1948	2072	1159	1212	1303	1499	1907	1657	1597	1168	1623	1763	1262	1180	1131	2083	1207	1758	2185	2226	2115	1993	1788	1969	1578	1463	1897	1924									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	6970	96	109	55	104	479	494	175	145	40	113	823	109	116	184	70	86	59	55	50	44	34	110	230	228	109	95	94	70	137	107	90	82	47	74	96	108	56	65	133	127	102	47	107	19	88	199	45	117	73	89	111	36	62	23	54	60	61	105	74									
6	Число погашенных избирательных бюллетеней	19204	288	149	158	262	26	49	102	226	115	207	146	371	439	638	186	7	138	244	567	805	311	388	248	126	310	588	732	21	631	320	209	370	281	467	392	489	545	328	310	276	330	330	430	243	132	170	372	276	469	426	363	449	345	489	377	362	276	298	602									
