Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Верхнебуреинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №797	УИК №798	УИК №799	УИК №800									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22024	380	422	174	584	1608	1510	1312	1516	1485	863	829	722	741	1024	1204	203	418	244	195	340	487	142	124	65	117	854	908	203	571	1048	1157	574									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22125	375	425	175	600	1625	1500	1325	1525	1450	875	825	725	675	1025	1200	200	500	250	200	350	475	150	150	75	125	850	900	225	575	1050	1150	575									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	139	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8332	192	148	60	197	646	579	521	535	565	191	196	214	310	404	411	114	206	134	106	148	254	75	79	27	91	269	154	144	263	408	440	251									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	308	0	14	5	3	12	19	23	28	10	20	13	2	8	4	6	4	10	7	1	3	3	0	3	0	0	11	76	7	1	5	8	2									
6	Число погашенных избирательных бюллетеней	13346	161	263	110	400	967	902	781	962	875	664	616	509	357	617	783	82	226	109	93	199	218	75	68	48	34	570	611	74	311	637	702	322									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	447	22	14	5	3	12	19	23	28	10	20	13	2	8	4	6	4	68	7	1	3	3	0	3	0	0	11	135	7	1	5	8	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8323	192	148	60	197	646	579	521	535	565	191	188	214	310	404	411	114	206	134	106	148	254	75	79	27	91	269	154	144	263	407	440	251									
9	Число недействительных избирательных бюллетеней	218	1	3	1	3	11	16	22	12	18	7	18	3	4	5	11	4	13	1	1	3	9	1	1	0	2	9	2	0	11	10	11	5									
10	Число действительных избирательных бюллетеней	8552	213	159	64	197	647	582	522	551	557	204	183	213	314	403	406	114	261	140	106	148	248	74	81	27	89	271	287	151	253	402	437	248									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	649	40	20	10	20	20	20	20	20	20	20	20	15	15	30	30	15	30	15	15	10	10	20	14	10	10	20	20	40	20	30	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	167	0	7	0	6	11	8	6	10	10	1	2	1	2	2	3	6	0	8	9	2	1	18	13	10	5	2	0	16	0	6	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	76	5	3	2	0	3	3	2	2	2	4	1	2	2	3	4	2	3	1	4	2	1	1	4	0	3	1	3	2	1	5	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	482	40	13	10	14	9	12	14	10	10	19	18	14	13	28	27	9	30	7	6	8	9	2	1	0	5	18	20	24	20	24	29	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	3	2	0	0	11	5	6	2	5	3	5	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	113	3	0	0	6	12	12	4	8	11	1	0	1	6	4	7	3	4	1	1	2	2	2	0	0	3	4	2	0	4	4	2	4									
		1.29%	1.40%	0.00%	0.00%	3.00%	1.82%	2.01%	0.74%	1.42%	1.91%	0.47%	0.00%	0.46%	1.89%	0.98%	1.68%	2.54%	1.46%	0.71%	0.93%	1.32%	0.78%	2.67%	0.00%	0.00%	3.30%	1.43%	0.69%	0.00%	1.52%	0.97%	0.45%	1.58%									
