Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Верх-Нейвинская поселковая													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №2572	УИК №2573									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3626	1787	1839									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3500	1700	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1530	776	754									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	67	40	27									
6	Число погашенных избирательных бюллетеней	1903	884	1019									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	67	40	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1529	776	753									
9	Число недействительных избирательных бюллетеней	109	51	58									
10	Число действительных избирательных бюллетеней	1487	765	722									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	90	90									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	11	6	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	34	11	23									
14	Число погашенных неиспользованных открепительных удостоверений	169	84	85									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	3									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	12	5									
		1.07%	1.47%	0.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	45	23	22									
		2.82%	2.82%	2.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	44	21	23									
		2.76%	2.57%	2.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	643	341	302									
		40.29%	41.79%	38.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	5	10									
		0.94%	0.61%	1.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	2	1									
		0.19%	0.25%	0.13%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	248	125	123									
		15.54%	15.32%	15.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	4	3									
		0.44%	0.49%	0.38%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	6	7									
		0.81%	0.74%	0.90%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	1									
		0.13%	0.12%	0.13%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	9	8									
		1.07%	1.10%	1.03%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	162	85	77									
		10.15%	10.42%	9.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	4	6									
		0.63%	0.49%	0.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	261	127	134									
		16.35%	15.56%	17.18%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
