Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Ершовская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926					
1	"Число избирателей, внесенных в список избирателей"	36309	1799	1015	1500	357	274	1272	993	1293	1290	1212	939	304	1327	1418	1326	1157	518	1412	1061	1133	343	504	337	250	200	543	389	344	53	323	82	567	773	379	75	490	233	121	58	354	379	314	937	344	123	661	96	750	373	580	126	585	473	498	237	58	268	246	827	270	146					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38686	1826	1055	1560	440	295	1245	1045	1335	1340	1250	965	308	1385	1485	1405	1345	560	1480	1100	1140	375	515	355	270	370	585	415	360	115	360	90	610	830	410	83	530	300	142	60	365	375	335	985	340	120	725	120	915	440	585	130	635	520	520	240	60	362	250	890	275	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22716	803	513	701	243	131	427	777	656	560	463	401	161	641	681	744	856	420	902	780	508	316	330	200	151	156	294	304	198	47	177	64	448	706	215	63	409	220	84	56	297	174	250	790	261	79	586	62	627	289	460	76	495	325	458	146	58	252	205	706	183	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2316	86	40	85	13	11	112	88	62	55	44	76	29	44	49	34	40	29	32	56	71	12	0	33	13	44	33	20	30	6	32	13	70	49	22	3	31	13	8	0	40	12	35	46	25	0	45	28	100	79	39	39	33	126	17	11	0	16	20	72	30	15					
6	Число погашенных избирательных бюллетеней	13654	937	502	774	184	153	706	180	617	725	743	488	118	700	755	627	449	111	546	264	561	47	185	122	106	170	258	91	132	62	151	13	92	75	173	17	90	67	50	4	28	189	50	149	54	41	94	30	188	72	86	15	107	69	45	83	2	94	25	112	62	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2316	86	40	85	13	11	112	88	62	55	44	76	29	44	49	34	40	29	32	56	71	12	0	33	13	44	33	20	30	6	32	13	70	49	22	3	31	13	8	0	40	12	35	46	25	0	45	28	100	79	39	39	33	126	17	11	0	16	20	72	30	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22716	803	513	701	243	131	427	777	656	560	463	401	161	641	681	744	856	420	902	780	508	316	330	200	151	156	294	304	198	47	177	64	448	706	215	63	409	220	84	56	297	174	250	790	261	79	586	62	627	289	460	76	495	325	458	146	58	252	205	706	183	131					
9	Число недействительных избирательных бюллетеней	191	4	6	2	6	0	4	8	10	6	5	2	2	12	12	13	13	4	8	3	5	0	0	10	0	0	4	2	3	0	1	0	1	3	1	0	0	0	2	0	1	0	0	7	2	0	0	0	7	0	0	0	5	0	2	2	0	3	0	10	0	0					
10	Число действительных избирательных бюллетеней	24841	885	547	784	250	142	535	857	708	609	502	475	188	673	718	765	883	445	926	833	574	328	330	223	164	200	323	322	225	53	208	77	517	752	236	66	440	233	90	56	336	186	285	829	284	79	631	90	720	368	499	115	523	451	473	155	58	265	225	768	213	146					
