Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																											
Дата голосования: 18.09.2016																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Новомосковский административный округ																																																																																											
																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																											
																																																																																											
		Сумма	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3366	УИК №3367	УИК №3368	УИК №3369	УИК №3415	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	164468	1314	429	1969	3149	2856	1773	3404	2394	2387	2899	1350	3051	789	2014	1627	2156	1947	1302	1283	706	905	1172	2475	2322	2373	2601	2712	1134	992	3390	3230	1556	2241	1917	1993	2045	1156	1099	1425	2080	953	1568	2426	1438	1851	3126	2854	2029	2787	2681	2911	1598	2366	1564	1568	1776	332	2339	1895	1536	2419	2727	2869	1791	1330	2501	1190	2908	1809	2191	2494	3178	3320	2799	3255	3435	1562	2087	1770	1618									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	132610	1000	350	1600	2550	2290	1450	2740	1950	1950	2500	1000	2350	650	1660	1330	1780	1500	1050	1020	530	740	910	1950	1650	1950	2000	2450	950	800	2500	2600	1500	1800	1500	1600	1450	1070	1400	1500	1750	650	1250	2000	1150	1500	2500	2250	1640	2270	2030	2300	1270	1850	1150	1100	1400	320	1950	1550	1250	2000	2250	2300	1500	1000	2000	900	2400	1450	2150	2100	2600	2700	2250	2550	2600	1200	1280	1380	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	59430	587	140	584	898	1009	714	885	1013	927	1274	592	872	335	725	518	718	792	531	549	242	354	377	955	947	823	1108	988	451	397	1254	868	453	697	686	712	901	443	729	1425	789	374	545	920	583	816	1144	1142	578	797	952	1087	654	647	637	689	759	270	806	621	507	834	932	1122	593	466	798	455	977	648	889	950	820	947	904	1003	1063	446	914	516	363									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1163	27	12	30	7	13	4	7	32	10	14	9	24	2	20	27	38	21	26	13	24	8	44	15	6	20	7	31	8	3	10	13	70	13	13	4	2	6	0	0	21	18	24	14	6	14	4	51	12	17	7	3	18	23	6	12	33	46	21	11	15	20	10	17	15	1	15	3	26	2	8	7	3	9	0	5	1	4	2	4	2									
6	Число погашенных избирательных бюллетеней	72017	386	198	986	1645	1268	732	1848	905	1013	1212	399	1454	313	915	785	1024	687	493	458	264	378	489	980	697	1107	885	1431	491	400	1236	1719	977	1090	801	884	547	621	671	75	940	258	681	1066	561	670	1352	1057	1050	1456	1071	1210	598	1180	507	399	608	4	1123	918	728	1146	1308	1161	892	533	1187	442	1397	800	1253	1143	1777	1744	1346	1542	1536	750	364	860	935									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1163	27	12	30	7	13	4	7	32	10	14	9	24	2	20	27	38	21	26	13	24	8	44	15	6	20	7	31	8	3	10	13	70	13	13	4	2	6	0	0	21	18	24	14	6	14	4	51	12	17	7	3	18	23	6	12	33	46	21	11	15	20	10	17	15	1	15	3	26	2	8	7	3	9	0	5	1	4	2	4	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	59258	587	140	583	898	1009	713	878	1013	926	1274	591	870	335	723	518	714	792	531	548	242	354	377	953	945	823	1100	987	451	395	1252	868	453	694	686	712	901	443	729	1425	789	374	545	920	583	816	1144	1142	578	794	952	1084	654	647	636	689	759	270	804	618	493	834	932	1122	593	466	798	454	877	648	889	950	818	946	903	1003	1063	446	914	516	362									
9	Число недействительных избирательных бюллетеней	1187	7	4	7	16	14	21	0	25	25	27	18	7	8	7	17	20	22	17	14	1	7	12	26	30	26	16	39	12	8	25	5	14	15	20	14	17	13	25	33	25	10	8	25	13	14	18	22	12	19	12	22	13	1	11	19	8	4	14	14	6	12	26	28	11	9	10	5	21	15	8	16	14	17	10	16	17	8	11	8	1									
10	Число действительных избирательных бюллетеней	59234	607	148	606	889	1008	696	885	1020	911	1261	582	887	329	736	528	732	791	540	547	265	355	409	942	921	817	1091	979	447	390	1237	876	509	692	679	702	886	436	704	1392	785	382	561	909	576	816	1130	1171	578	792	947	1065	659	669	631	682	784	312	811	615	502	842	916	1111	597	458	803	452	882	635	889	941	807	938	893	992	1047	442	905	512	363									
