Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Варненская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №2234	УИК №2235									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22096	715	186	362	1212	1202	1392	1230	2019	1317	253	383	82	646	157	149	177	234	679	160	172	235	794	168	626	490	643	291	234	155	696	344	264	249	157	880	259	648	484	1752									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21300	700	180	350	1100	1200	1300	1100	1900	1300	250	370	80	650	150	140	170	230	670	160	170	240	800	170	650	450	650	290	230	150	700	340	270	250	150	850	250	640	450	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12424	627	124	243	984	812	568	536	867	549	162	226	78	444	94	105	109	122	334	110	100	176	357	87	479	176	420	203	148	108	379	187	143	192	81	475	200	455	214	750									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1077	30	5	13	108	110	59	52	33	10	8	35	0	15	8	0	5	13	33	8	6	12	52	18	123	12	52	0	20	10	39	29	25	8	9	20	16	30	18	33									
6	Число погашенных избирательных бюллетеней	7799	43	51	94	8	278	673	512	1000	741	80	109	2	191	48	35	56	95	303	42	64	52	391	65	48	262	178	87	62	32	282	124	102	50	60	355	34	155	218	817									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1077	30	5	13	108	110	59	52	33	10	8	35	0	15	8	0	5	13	33	8	6	12	52	18	123	12	52	0	20	10	39	29	25	8	9	20	16	30	18	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12421	625	124	243	984	812	568	536	867	549	162	225	78	444	94	105	109	122	334	110	100	176	357	87	479	176	420	203	148	108	379	187	143	192	81	475	200	455	214	750									
9	Число недействительных избирательных бюллетеней	255	0	0	8	12	10	5	15	29	13	4	3	0	10	1	3	2	5	8	7	2	5	9	2	10	3	3	6	6	3	6	11	2	1	2	13	4	9	5	18									
10	Число действительных избирательных бюллетеней	13243	655	129	248	1080	912	622	573	871	546	166	257	78	449	101	102	112	130	359	111	104	183	400	103	592	185	469	197	162	115	412	205	166	199	88	482	212	476	227	765									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	346	10	5	5	16	15	15	20	20	10	5	10	5	15	5	5	5	5	15	5	5	5	15	5	20	10	10	5	5	5	10	2	3	5	5	10	5	5	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	172	4	5	3	5	15	7	3	11	2	2	10	0	1	1	0	0	3	2	5	0	5	15	5	20	0	10	1	5	5	10	0	3	1	5	4	0	1	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	93	1	2	1	1	1	3	29	3	1	4	1	1	3	0	2	1	1	1	1	1	2	3	3	1	0	1	1	2	1	0	1	0	0	1	5	1	5	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	174	6	0	2	11	0	8	17	9	8	3	0	5	14	4	5	5	2	13	0	5	0	0	0	0	10	0	4	0	0	0	2	0	4	0	6	5	4	10	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	1	0	0	0	1	7	2	9	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	1	0	3	1	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	116	0	1	1	3	10	4	7	9	8	1	0	1	7	1	1	0	3	3	1	1	1	7	2	3	2	8	2	1	2	6	1	1	1	0	0	1	5	2	9									
		0.86%	0.00%	0.78%	0.39%	0.27%	1.08%	0.64%	1.19%	1.00%	1.43%	0.59%	0.00%	1.28%	1.53%	0.98%	0.95%	0.00%	2.22%	0.82%	0.85%	0.94%	0.53%	1.71%	1.90%	0.50%	1.06%	1.69%	0.99%	0.60%	1.69%	1.44%	0.46%	0.60%	0.50%	0.00%	0.00%	0.46%	1.03%	0.86%	1.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	349	4	2	11	10	17	26	26	24	18	6	3	0	8	3	3	3	3	14	3	1	1	9	6	7	5	13	8	10	8	19	8	4	8	2	12	4	11	6	23									
		2.59%	0.61%	1.55%	4.30%	0.92%	1.84%	4.15%	4.42%	2.67%	3.22%	3.53%	1.15%	0.00%	1.74%	2.94%	2.86%	2.63%	2.22%	3.81%	2.54%	0.94%	0.53%	2.20%	5.71%	1.16%	2.66%	2.75%	3.94%	5.95%	6.78%	4.55%	3.70%	2.38%	4.00%	2.22%	2.42%	1.85%	2.27%	2.59%	2.94%									
