Выборы Президента Российской Федерации																																																																					
																																																																					
"Наименование Избирательной комиссии:    Краснодар, Западная"																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099					
1	"Число избирателей, внесенных в список"	129634	2078	2298	2789	2633	2593	2749	2474	2530	1365	2257	2441	2187	2796	1916	2400	2755	2226	2767	2217	2585	2220	2575	1584	2682	1851	1723	2336	2686	2855	2747	1495	2240	2238	2008	2799	1872	2103	2350	2981	1544	1925	2577	2925	1810	2756	2379	2616	2684	2441	2511	2107	2452	2307	2244	1992	25	172	20	262	23	402	59					
2	Число полученных избирательных бюллетеней	120566	1900	2180	2700	2500	2500	2500	2300	2500	1300	2000	2480	2000	2600	1700	2300	2600	2000	2500	2000	2400	2000	2500	1500	2500	1700	1600	2170	2500	2700	2600	1400	2100	2100	1800	2600	1800	1900	2100	2700	1400	1700	2400	2700	1600	2500	2190	2500	2500	2300	2400	1900	2300	2200	2100	1700	21	150	20	268	23	410	54					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	73830	982	1340	1791	1503	1602	1650	1383	1274	743	1285	1307	1224	1337	980	1422	1420	1360	2121	1480	1421	1278	1595	790	1564	1077	907	1234	1564	1558	1624	969	1355	1383	1009	1682	1174	1091	1221	1421	719	961	1322	1515	838	1717	1371	1614	1513	1393	1460	1107	1331	1375	1402	1250	21	147	20	202	23	354	54					
5	"Число избирательных бюллетеней, выданных вне помещения"	2541	43	60	68	67	66	51	57	58	56	37	38	37	46	38	64	60	36	18	69	40	57	57	110	25	36	49	55	35	48	27	24	13	30	55	35	36	45	72	84	50	60	56	56	39	25	27	25	27	41	26	23	20	16	23	34	0	0	0	43	0	48	0					
6	Число погашенных избирательных бюллетеней	44195	875	780	841	930	832	799	860	1168	501	678	1135	739	1217	682	814	1120	604	361	451	939	665	848	600	911	587	644	881	901	1094	949	407	732	687	736	883	590	764	807	1195	631	679	1022	1129	723	758	792	861	960	866	914	770	949	809	675	416	0	3	0	23	0	8	0					
7	Число избирательных бюллетеней в переносных ящиках	2540	42	60	68	67	66	51	57	58	56	37	38	37	46	38	64	60	36	18	69	40	57	57	110	25	36	49	55	35	48	27	24	13	30	55	35	36	45	72	84	50	60	56	56	39	25	27	25	27	41	26	23	20	16	23	34	0	0	0	43	0	48	0					
8	Число бюллетеней в стационарных ящиках для голосования	73706	982	1336	1784	1503	1602	1645	1383	1274	742	1285	1307	1224	1323	980	1422	1418	1360	2103	1477	1381	1278	1593	790	1561	1077	905	1234	1564	1558	1624	966	1355	1383	1009	1680	1173	1091	1221	1421	719	961	1322	1515	838	1717	1369	1607	1513	1393	1460	1104	1331	1374	1400	1248	21	147	20	202	23	354	54					
9	Число недействительных избирательных бюллетеней	535	9	6	9	7	10	6	13	9	9	5	4	11	18	9	19	14	2	18	9	4	14	12	7	7	12	8	24	10	11	14	17	4	10	8	6	6	13	20	8	7	6	9	11	9	8	2	8	5	17	9	3	8	8	8	2	0	1	0	3	0	9	0					
10	Число действительных избирательных бюллетеней	75711	1015	1390	1843	1563	1658	1690	1427	1323	789	1317	1341	1250	1351	1009	1467	1464	1394	2103	1537	1417	1321	1638	893	1579	1101	946	1265	1589	1595	1637	973	1364	1403	1056	1709	1203	1123	1273	1497	762	1015	1369	1560	868	1734	1394	1624	1535	1417	1477	1124	1343	1382	1415	1280	21	146	20	242	23	393	54					
