Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Отрадненская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834	УИК №3835	УИК №3836	УИК №3837	УИК №3838	УИК №3839	УИК №3840	УИК №3841	УИК №3842	УИК №3843	УИК №3844	УИК №3845	УИК №3846	УИК №3847	УИК №3848	УИК №3849	УИК №3850	УИК №3851					
1	"Число избирателей, внесенных в список избирателей"	47643	2190	2887	2370	1893	2162	2109	1891	2411	963	156	393	471	136	1277	1239	1154	1033	472	143	303	990	479	907	691	204	380	1362	1077	306	685	671	1225	1354	129	109	207	439	1705	1197	184	938	1999	970	360	236	848	277	1058	406	404	193					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48687	2275	2887	2375	1910	2153	2166	1926	2465	992	155	406	453	153	1311	1279	1189	1060	502	165	320	1023	465	926	717	225	389	1390	1113	333	706	688	1258	1389	126	125	222	450	1707	1205	188	961	2066	978	349	239	878	306	1102	415	416	190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31341	1471	1858	1211	1060	1201	1695	1451	1649	775	117	268	316	86	952	1066	793	823	305	95	195	693	206	541	393	148	174	748	879	243	573	381	765	818	124	54	111	359	919	668	100	611	1448	601	218	150	520	159	695	278	261	116					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2899	80	168	101	109	110	32	50	144	23	7	28	17	19	49	113	115	22	22	17	27	135	79	87	69	20	64	143	40	21	38	52	53	62	0	35	44	24	139	79	37	20	33	61	42	20	77	41	44	41	36	10					
6	Число погашенных избирательных бюллетеней	14447	724	861	1063	741	842	439	425	672	194	31	110	120	48	310	100	281	215	175	53	98	195	180	298	255	57	151	499	194	69	95	255	440	509	2	36	67	67	649	458	51	330	585	316	89	69	281	106	363	96	119	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2899	80	168	101	109	110	32	50	144	23	7	28	17	19	49	113	115	22	22	17	27	135	79	87	69	20	64	143	40	21	38	52	53	62	0	35	44	24	139	79	37	20	33	61	42	20	77	41	44	41	36	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31340	1471	1858	1211	1060	1201	1695	1451	1649	775	117	268	316	86	952	1066	793	823	305	95	195	693	206	541	393	148	174	748	879	243	573	381	765	818	124	54	111	359	919	668	99	611	1448	601	218	150	520	159	695	278	261	116					
9	Число недействительных избирательных бюллетеней	448	15	0	14	21	27	16	16	42	6	3	7	5	2	7	10	17	0	7	2	8	9	4	9	3	2	1	11	11	0	4	10	8	23	0	2	1	3	18	23	2	3	15	5	7	4	17	2	4	8	12	2					
10	Число действительных избирательных бюллетеней	33791	1536	2026	1298	1148	1284	1711	1485	1751	792	121	289	328	103	994	1169	891	845	320	110	214	819	281	619	459	166	237	880	908	264	607	423	810	857	124	87	154	380	1040	724	134	628	1466	657	253	166	580	198	735	311	285	124					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2172	80	90	80	70	80	80	70	80	50	20	20	30	20	60	60	60	60	30	20	20	50	22	30	30	22	30	60	50	20	30	30	60	60	20	20	20	20	70	60	20	30	80	30	20	20	30	20	60	23	35	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1904	80	88	72	70	24	80	70	80	50	20	20	30	20	60	60	60	57	29	20	20	50	21	29	30	22	27	47	47	20	27	30	54	54	18	20	18	18	31	10	7	25	74	21	10	5	24	20	57	23	35	20					
