Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Варнавинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8271	1353	1544	189	154	440	352	257	248	377	682	601	235	248	1591									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8200	1300	1525	185	150	410	340	260	250	380	680	610	240	250	1620									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5314	924	1038	148	128	227	229	136	192	312	513	296	139	172	860									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1283	157	231	32	21	46	11	2	50	25	123	178	62	48	297									
6	Число погашенных избирательных бюллетеней	1603	219	256	5	1	137	100	122	8	43	44	136	39	30	463									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1283	157	231	32	21	46	11	2	50	25	123	178	62	48	297									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5314	924	1038	148	128	227	229	136	192	312	513	296	139	172	860									
9	Число недействительных избирательных бюллетеней	66	17	11	0	2	3	3	1	1	6	7	5	4	1	5									
10	Число действительных избирательных бюллетеней	6531	1064	1258	180	147	270	237	137	241	331	629	469	197	219	1152									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	293	36	40	10	10	20	20	30	12	15	20	20	10	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	180	5	40	2	10	2	4	15	12	11	4	20	10	15	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	4	11	2	0	10	3	5	3	3	2	0	1	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	113	31	0	8	0	18	16	15	0	4	16	0	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	3	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	3	6	0	0	1	1	2	1	1	3	9	1	2	6									
		0.55%	0.28%	0.47%	0.00%	0.00%	0.37%	0.42%	1.45%	0.41%	0.30%	0.47%	1.90%	0.50%	0.91%	0.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	107	15	14	0	4	7	14	8	3	3	11	1	9	3	15									
		1.62%	1.39%	1.10%	0.00%	2.68%	2.56%	5.83%	5.80%	1.24%	0.89%	1.73%	0.21%	4.48%	1.36%	1.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	91	12	6	0	2	7	6	6	5	4	10	7	2	2	22									
		1.38%	1.11%	0.47%	0.00%	1.34%	2.56%	2.50%	4.35%	2.07%	1.19%	1.57%	1.48%	0.99%	0.91%	1.90%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5088	848	1079	168	117	171	98	64	201	277	474	348	148	185	910									
		77.13%	78.45%	85.03%	93.33%	78.52%	62.64%	40.83%	46.38%	83.06%	82.20%	74.53%	73.42%	73.63%	84.09%	78.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	1	0	0	0	1	0	0	0	0	1	1	0	0	11									
		0.23%	0.09%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.16%	0.21%	0.00%	0.00%	0.95%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	1	0	2	1	0	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.67%	0.00%	0.83%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	531	73	27	7	13	26	46	29	13	33	77	54	14	14	105									
		8.05%	6.75%	2.13%	3.89%	8.72%	9.52%	19.17%	21.01%	5.37%	9.79%	12.11%	11.39%	6.97%	6.36%	9.08%									
