Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Мурашинская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772					
1	"Число избирателей, внесенных в списки"	13045	2366	1416	1247	1625	1645	2346	100	185	381	147	238	102	396	222	73	106	87	169	194					
2	"Число бюллетеней, полученных участковыми комиссиями"	13000	2334	1396	1206	1585	1657	2351	102	193	379	156	242	106	401	222	81	109	102	170	208					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7133	1312	615	688	844	821	1241	59	129	267	98	169	65	255	180	37	61	42	147	103					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	557	53	32	38	25	94	132	5	15	12	23	23	11	48	5	11	12	4	7	7					
6	Число погашенных бюллетеней	5310	969	749	480	716	742	978	38	49	100	35	50	30	98	37	33	36	56	16	98					
7	Число бюллетеней в переносных ящиках для голосования	557	53	32	38	25	94	132	5	15	12	23	23	11	48	5	11	12	4	7	7					
8	Число бюллетеней в стационарных ящиках для голосования	7131	1312	615	688	844	821	1239	59	129	267	98	169	65	255	180	37	61	42	147	103					
9	Число недействительных бюллетеней	143	18	12	21	20	18	24	0	5	3	4	5	1	4	3	1	1	1	0	2					
10	Число действительных бюллетеней	7545	1347	635	705	849	897	1347	64	139	276	117	187	75	299	182	47	72	45	154	108					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	124	13	6	8	14	10	14	3	5	4	4	4	4	4	4	4	4	4	4	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	102	11	5	7	14	10	14	0	5	4	2	3	2	4	2	4	2	4	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	15	4	6	4	6	12	0	1	3	0	0	1	0	0	4	2	2	7	0					
14	Число погашенных открепительных удостоверений	22	2	1	1	0	0	0	3	0	0	2	1	2	0	2	0	2	0	4	2					
15	Число открепительных удостоверений выданных ТИК	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	97	15	8	17	6	7	17	0	0	8	3	1	0	5	3	1	1	1	2	2					
		1.26%	1.09%	1.23%	2.34%	0.69%	0.76%	1.23%	0.0%	0.0%	2.86%	2.47%	0.52%	0.0%	1.65%	1.62%	2.08%	1.36%	2.17%	1.29%	1.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	97	19	3	9	14	12	19	4	1	5	2	0	0	2	0	0	0	2	4	1					
		1.26%	1.39%	0.46%	1.23%	1.61%	1.31%	1.38%	6.25%	0.69%	1.79%	1.65%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	4.34%	2.59%	0.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	387	67	35	35	31	40	66	2	18	19	8	9	7	18	3	3	1	8	4	13					
		5.03%	4.90%	5.40%	4.82%	3.56%	4.37%	4.81%	3.12%	12.5%	6.81%	6.61%	4.68%	9.21%	5.94%	1.62%	6.25%	1.36%	17.39%	2.59%	11.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	172	29	16	14	18	39	32	0	2	6	0	3	1	4	4	0	1	1	2	0					
		2.23%	2.12%	2.47%	1.92%	2.07%	4.26%	2.33%	0.0%	1.38%	2.15%	0.0%	1.56%	1.31%	1.32%	2.16%	0.0%	1.36%	2.17%	1.29%	0.0%					
