Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Макарьевская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №308	УИК №309	УИК №310	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12890	1203	1185	1167	1151	150	1171	114	208	195	267	315	267	112	168	134	318	187	235	347	478	1049	830	274	695	309	361									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11889	1050	1050	1050	1050	156	1050	119	200	200	250	300	250	114	170	136	300	194	200	300	450	1000	800	250	600	300	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3839	312	295	291	332	36	360	39	70	83	110	143	75	39	45	54	88	69	92	92	128	299	246	125	194	94	128									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	772	30	31	37	32	15	26	0	37	19	27	37	23	8	31	7	72	15	15	64	45	23	13	29	54	33	49									
6	Число погашенных избирательных бюллетеней	7278	708	724	722	686	105	664	80	93	98	113	120	152	67	94	75	140	110	93	144	277	678	541	96	352	173	173									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	772	30	31	37	32	15	26	0	37	19	27	37	23	8	31	7	72	15	15	64	45	23	13	29	54	33	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3836	312	295	289	332	36	360	39	70	83	109	143	75	39	45	54	88	69	92	92	128	299	246	125	194	94	128									
9	Число недействительных избирательных бюллетеней	106	8	4	0	6	3	7	1	0	5	5	6	1	3	0	1	6	2	3	2	1	7	7	3	10	7	8									
10	Число действительных избирательных бюллетеней	4502	334	322	326	358	48	379	38	107	97	131	174	97	44	76	60	154	82	104	154	172	315	252	151	238	120	169									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	132	6	8	6	6	4	6	6	5	5	4	5	4	3	4	4	4	3	4	4	6	6	6	5	6	6	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	49	5	6	4	6	0	5	0	1	5	2	1	1	0	0	0	1	3	0	2	0	0	2	3	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	3	1	2	7	1	1	2	4	2	3	2	1	0	1	1	2	2	1	2	1	7	3	1	1	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	83	1	2	2	0	4	1	6	4	0	2	4	3	3	4	4	3	0	4	2	6	6	4	2	6	6	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	4	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	74	9	9	4	10	2	7	2	3	1	2	3	0	0	0	0	1	1	1	0	2	5	2	2	2	0	6									
		1.61%	2.63%	2.76%	1.23%	2.75%	3.92%	1.81%	5.13%	2.80%	0.98%	1.47%	1.67%	0.00%	0.00%	0.00%	0.00%	0.63%	1.19%	0.93%	0.00%	1.16%	1.55%	0.77%	1.30%	0.81%	0.00%	3.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	246	18	23	14	22	2	16	2	4	4	7	15	3	1	6	1	11	3	5	5	17	20	11	8	14	9	5									
		5.34%	5.26%	7.06%	4.29%	6.04%	3.92%	4.15%	5.13%	3.74%	3.92%	5.15%	8.33%	3.06%	2.13%	7.89%	1.64%	6.88%	3.57%	4.67%	3.21%	9.83%	6.21%	4.25%	5.19%	5.65%	7.09%	2.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	145	9	15	12	17	1	10	0	5	5	3	2	2	0	6	1	6	1	5	5	10	8	5	4	7	5	1									
		3.15%	2.63%	4.60%	3.68%	4.67%	1.96%	2.59%	0.00%	4.67%	4.90%	2.21%	1.11%	2.04%	0.00%	7.89%	1.64%	3.75%	1.19%	4.67%	3.21%	5.78%	2.48%	1.93%	2.60%	2.82%	3.94%	0.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1953	104	113	145	123	27	115	22	60	45	62	84	43	16	38	35	95	47	53	73	75	133	95	80	120	62	88									
		42.38%	30.41%	34.66%	44.48%	33.79%	52.94%	29.79%	56.41%	56.07%	44.12%	45.59%	46.67%	43.88%	34.04%	50.00%	57.38%	59.38%	55.95%	49.53%	46.79%	43.35%	41.30%	36.68%	51.95%	48.39%	48.82%	49.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	1	4	1	2	0	1	1	0	0	0	0	1	0	0	1	4	0	0	0	0	1	1	0	1	0	2									
		0.46%	0.29%	1.23%	0.31%	0.55%	0.00%	0.26%	2.56%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	1.64%	2.50%	0.00%	0.00%	0.00%	0.00%	0.31%	0.39%	0.00%	0.40%	0.00%	1.13%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1									
		0.17%	0.29%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.02%	2.13%	0.00%	1.64%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	689	60	50	56	60	8	62	5	12	16	20	13	19	12	5	9	13	16	19	21	32	46	38	12	40	18	27									
		14.95%	17.54%	15.34%	17.18%	16.48%	15.69%	16.06%	12.82%	11.21%	15.69%	14.71%	7.22%	19.39%	25.53%	6.58%	14.75%	8.13%	19.05%	17.76%	13.46%	18.50%	14.29%	14.67%	7.79%	16.13%	14.17%	15.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	32	4	0	7	4	2	3	0	2	0	1	1	0	0	0	0	0	0	0	0	1	1	3	1	2	0	0									
