Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Павинская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520					
1	"Число избирателей, внесенных в списки избирателей"	4667	2004	822	73	212	114	475	77	393	304	193					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4280	1830	750	70	194	108	441	73	362	280	172					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2415	1076	333	34	140	92	253	41	213	152	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	616	142	96	24	16	8	101	11	36	105	77					
6	Число погашенных избирательных бюллетеней	1249	612	321	12	38	8	87	21	113	23	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	616	142	96	24	16	8	101	11	36	105	77					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2415	1076	333	34	140	92	253	41	213	152	81					
9	Число недействительных избирательных бюллетеней	9	1	3	0	0	0	2	0	1	2	0					
10	Число действительных избирательных бюллетеней	3022	1217	426	58	156	100	352	52	248	255	158					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	52	22	6	3	3	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	28	17	4	3	1	1	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	32	15	4	2	4	0	2	2	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	24	5	2	0	2	2	2	3	2	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	4	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	211	82	17	0	5	20	49	2	11	19	6					
		6.96%	6.73%	3.96%	0.00%	3.21%	20.00%	13.84%	3.85%	4.42%	7.39%	3.80%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	4	0	0	1	0	3	0	0	1	2					
		0.36%	0.33%	0.00%	0.00%	0.64%	0.00%	0.85%	0.00%	0.00%	0.39%	1.27%					
20	3.Политическая партия «Демократическая партия России»	2	0	1	0	0	0	1	0	0	0	0					
		0.07%	0.00%	0.23%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	464	142	46	7	18	16	68	25	53	68	21					
		15.31%	11.66%	10.72%	12.07%	11.54%	16.00%	19.21%	48.08%	21.29%	26.46%	13.29%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	8	0	0	8	4	0	0	0	0	2					
		0.73%	0.66%	0.00%	0.00%	5.13%	4.00%	0.00%	0.00%	0.00%	0.00%	1.27%					
23	6.Политическая партия «Партия социальной справедливости»	4	1	1	0	1	0	0	0	0	1	0					
		0.13%	0.08%	0.23%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	346	133	51	3	16	26	39	4	27	24	23					
		11.42%	10.92%	11.89%	5.17%	10.26%	26.00%	11.02%	7.69%	10.84%	9.34%	14.56%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	325	151	72	8	10	2	34	3	12	19	14					
		10.72%	12.40%	16.78%	13.79%	6.41%	2.00%	9.60%	5.77%	4.82%	7.39%	8.86%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	13	6	0	0	0	0	2	0	2	3	0					
		0.43%	0.49%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.80%	1.17%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1613	684	236	40	97	32	156	18	140	120	90					
		53.22%	56.16%	55.01%	68.97%	62.18%	32.00%	44.07%	34.62%	56.22%	46.69%	56.96%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	11	6	2	0	0	0	0	0	3	0	0					
		0.36%	0.49%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
