Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Павинская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516					
1	"Число избирателей, внесенных в список избирателей"	4385	383	147	222	172	162	1144	1304	186	150	93	422					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4056	351	123	207	161	155	1054	1206	166	141	85	407					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2174	144	76	124	79	80	562	681	96	85	63	184					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	418	50	15	19	19	22	96	68	44	6	0	79					
6	Число погашенных избирательных бюллетеней	1464	157	32	64	63	53	396	457	26	50	22	144					
7	Число избирательных бюллетеней в переносных ящиках для голосования	418	50	15	19	19	22	96	68	44	6	0	79					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2174	144	76	124	79	80	562	681	96	85	63	184					
9	Число недействительных избирательных бюллетеней	20	2	0	0	1	0	5	5	1	1	1	4					
10	Число действительных избирательных бюллетеней	2572	192	91	143	97	102	653	744	139	90	62	259					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	5	3	4	5	5	15	15	5	10	2	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	58	2	1	4	0	4	8	15	0	4	2	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	3	3	1	1	3	9	7	1	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	31	3	2	0	5	1	7	0	5	6	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	0	0	0	4	1	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	458	37	17	19	13	14	137	135	28	17	10	31					
		17.67%	19.07%	18.68%	13.29%	13.27%	13.73%	20.82%	18.02%	20.00%	18.68%	15.87%	11.79%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	525	28	12	33	11	28	129	160	27	21	23	53					
		20.25%	14.43%	13.19%	23.08%	11.22%	27.45%	19.60%	21.36%	19.29%	23.08%	36.51%	20.15%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	0	0	0	1	2	5	2	0	0	0					
		0.39%	0.00%	0.00%	0.00%	0.00%	0.98%	0.30%	0.67%	1.43%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	776	66	25	43	48	37	198	202	25	24	12	96					
		29.94%	34.02%	27.47%	30.07%	48.98%	36.27%	30.09%	26.97%	17.86%	26.37%	19.05%	36.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	3	1	2	1	2	13	12	0	1	1	0					
		1.39%	1.55%	1.10%	1.40%	1.02%	1.96%	1.98%	1.60%	0.00%	1.10%	1.59%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	764	58	36	46	24	20	174	228	57	27	16	78					
		29.48%	29.90%	39.56%	32.17%	24.49%	19.61%	26.44%	30.44%	40.71%	29.67%	25.40%	29.66%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	3	0	0	0	0	0	0	2	0	0	0	1					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.38%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
