Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
"Наименование Избирательной комиссии:    Иркутск, Ленинская"																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648					
1	"Число избирателей, внесенных в список избирателей"	112206	2104	1838	1148	1817	1706	1983	1696	1377	1899	2040	1505	1431	1592	1569	1663	1546	1321	1091	2001	2035	2147	1262	577	2246	2524	2088	1471	2399	2139	1175	1680	2310	2571	1233	2057	2559	1594	2112	1627	1437	2330	2169	2580	2219	1891	2243	2622	2331	1762	2202	2023	2042	2197	2168	1536	1538	1572	1347	1912	1281	991	680					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108300	2000	1800	1100	1800	1600	1900	1600	1300	1800	2000	1500	1400	1500	1500	1600	1400	1300	1000	1900	2000	2100	1200	500	2200	2500	1900	1400	2400	2100	1100	1600	2200	2500	1200	2000	2500	1500	2100	1600	1400	2300	2100	2500	2200	1800	2200	2600	2200	1600	2100	2000	2000	2200	2100	1500	1500	1500	1300	1900	1200	900	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44419	933	811	452	920	840	850	917	739	857	913	736	639	843	805	771	569	548	496	700	1076	1024	541	222	694	971	802	652	1113	853	402	555	766	811	438	611	1065	458	810	632	511	826	963	928	849	800	945	1117	747	595	826	840	873	939	789	371	525	493	394	362	389	266	236					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1564	16	25	20	22	26	28	15	20	6	19	18	17	15	6	15	88	10	19	12	5	30	11	10	38	27	113	15	25	20	12	16	11	19	8	17	6	37	44	23	22	26	15	27	27	11	12	13	168	127	17	11	14	12	26	21	20	32	6	40	27	3	3					
6	Число погашенных избирательных бюллетеней	62316	1051	964	628	858	734	1022	668	541	937	1068	746	744	642	689	814	743	742	485	1188	919	1046	648	268	1468	1502	985	733	1262	1227	686	1029	1423	1670	754	1372	1429	1005	1246	945	867	1448	1122	1545	1324	988	1243	1470	1285	878	1257	1149	1113	1249	1285	1108	955	975	900	1498	784	631	361					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1564	16	25	20	22	26	28	15	20	6	19	18	17	15	6	15	88	10	19	12	5	30	11	10	38	27	113	15	25	20	12	16	11	19	8	17	6	37	44	23	22	26	15	27	27	11	12	13	168	127	17	11	14	12	26	21	20	32	6	40	27	3	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44415	933	811	452	920	840	850	917	739	857	913	736	639	843	805	771	569	548	496	700	1076	1024	541	222	694	971	802	652	1113	853	402	555	766	811	438	611	1065	456	810	632	511	826	963	928	849	800	945	1117	746	595	826	840	873	939	789	371	524	493	394	362	389	266	236					
9	Число недействительных избирательных бюллетеней	528	5	8	5	6	10	10	7	5	8	16	9	7	5	9	14	4	9	12	8	8	8	5	4	8	7	11	8	15	12	5	10	16	7	3	6	15	4	10	6	5	15	13	7	9	10	11	15	14	10	9	7	10	15	15	10	8	5	1	6	2	5	1					
10	Число действительных избирательных бюллетеней	45451	944	828	467	936	856	868	925	754	855	916	745	649	853	802	772	653	549	503	704	1073	1046	547	228	724	991	904	659	1123	861	409	561	761	823	443	622	1056	489	844	649	528	837	965	948	867	801	946	1115	900	712	834	844	877	936	800	382	536	520	399	396	414	264	238					
