Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Чойская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6582	613	582	631	294	113	99	386	174	262	285	493	458	246	430	363	394	367	392									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6500	615	570	640	290	110	100	375	170	255	280	475	460	250	420	350	390	360	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2921	289	297	315	125	71	51	151	105	116	162	229	181	92	166	140	168	125	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	282	30	10	11	1	2	4	12	6	5	11	20	33	30	25	35	24	18	5									
6	Число погашенных избирательных бюллетеней	3297	296	263	314	164	37	45	212	59	134	107	226	246	128	229	175	198	217	247									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	282	30	10	11	1	2	4	12	6	5	11	20	33	30	25	35	24	18	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2921	289	297	315	125	71	51	151	105	116	162	229	181	92	166	140	168	125	138									
9	Число недействительных избирательных бюллетеней	94	7	10	10	7	2	0	4	3	2	1	15	11	4	1	6	2	3	6									
10	Число действительных избирательных бюллетеней	3109	312	297	316	119	71	55	159	108	119	172	234	203	118	190	169	190	140	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	142	9	10	10	5	5	5	5	5	5	5	10	10	33	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	28	7	2	8	0	0	1	0	1	0	0	2	1	5	0	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	0	4	0	2	2	1	1	5	2	1	3	0	1	1	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	114	2	8	2	5	5	4	5	4	5	5	8	9	28	5	5	4	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	215	23	21	24	4	2	4	19	4	13	11	17	13	8	7	14	22	4	5									
		6.71%	7.21%	6.84%	7.36%	3.17%	2.74%	7.27%	11.66%	3.60%	10.74%	6.36%	6.83%	6.07%	6.56%	3.66%	8.00%	11.46%	2.80%	3.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	92	11	10	3	4	2	4	2	2	1	4	6	7	2	5	11	12	3	3									
		2.87%	3.45%	3.26%	0.92%	3.17%	2.74%	7.27%	1.23%	1.80%	0.83%	2.31%	2.41%	3.27%	1.64%	2.62%	6.29%	6.25%	2.10%	2.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	49	2	1	5	0	0	0	5	2	3	3	5	8	0	2	2	3	5	3									
		1.53%	0.63%	0.33%	1.53%	0.00%	0.00%	0.00%	3.07%	1.80%	2.48%	1.73%	2.01%	3.74%	0.00%	1.05%	1.14%	1.56%	3.50%	2.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1323	158	116	141	47	53	16	57	59	73	78	100	82	60	57	53	56	61	56									
		41.31%	49.53%	37.79%	43.25%	37.30%	72.60%	29.09%	34.97%	53.15%	60.33%	45.09%	40.16%	38.32%	49.18%	29.84%	30.29%	29.17%	42.66%	39.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	2	5	2	0	0	1	1	1	0	1	1	2	1	0	2	1	1	0									
		0.66%	0.63%	1.63%	0.61%	0.00%	0.00%	1.82%	0.61%	0.90%	0.00%	0.58%	0.40%	0.93%	0.82%	0.00%	1.14%	0.52%	0.70%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0									
		0.16%	0.00%	0.65%	0.00%	0.79%	0.00%	1.82%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	583	49	72	60	16	5	9	26	13	14	41	48	43	32	39	34	41	17	24									
		18.20%	15.36%	23.45%	18.40%	12.70%	6.85%	16.36%	15.95%	11.71%	11.57%	23.70%	19.28%	20.09%	26.23%	20.42%	19.43%	21.35%	11.89%	16.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0									
		0.16%	0.00%	0.33%	0.31%	0.00%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	1	2	2	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0									
		0.37%	0.31%	0.65%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.47%	0.00%	2.09%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.31%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	1	1	2	2	0	0	0	0	2	3	1	0	0	2	3	0	1	0									
		0.56%	0.31%	0.33%	0.61%	1.59%	0.00%	0.00%	0.00%	0.00%	1.65%	1.73%	0.40%	0.00%	0.00%	1.05%	1.71%	0.00%	0.70%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	689	58	59	62	42	9	16	43	27	8	29	47	40	15	59	44	39	47	45									
		21.51%	18.18%	19.22%	19.02%	33.33%	12.33%	29.09%	26.38%	24.32%	6.61%	16.76%	18.88%	18.69%	12.30%	30.89%	25.14%	20.31%	32.87%	31.47%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	3	2	0	0	0	3	0	0	0	1	0	0	1	0	1	0	0									
		0.34%	0.00%	0.98%	0.61%	0.00%	0.00%	0.00%	1.84%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.52%	0.00%	0.52%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	84	7	4	11	2	0	3	3	0	4	2	6	7	0	14	6	13	1	1									
		2.62%	2.19%	1.30%	3.37%	1.59%	0.00%	5.45%	1.84%	0.00%	3.31%	1.16%	2.41%	3.27%	0.00%	7.33%	3.43%	6.77%	0.70%	0.70%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
