Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																					
Дата голосования: 02.12.2007																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Омск, Советская"																																																																																																					
																																																																																																					
Сводная таблица результатов выборов																																																																																																					
																																																																																																					
		Сумма	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342					
1	"Число избирателей, внесенных в списки избирателей"	208060	1734	2407	2503	2533	2378	2097	2031	2317	1986	2363	2870	2868	427	1985	1812	2513	2318	2712	2402	2142	2428	2655	2660	2479	2528	2585	2467	2364	2303	2355	2543	2637	2119	2606	2683	2227	2582	2330	2241	2278	2142	2581	2561	2902	2861	2566	2396	2456	2420	2700	2630	2480	2975	1960	1620	1992	2055	2893	2537	2722	2204	2555	2543	2298	2169	2562	2373	2499	2701	2433	1836	2249	1413	2633	2259	2495	2533	2220	2048	2510	1915	1467	1392	1512	1667	1520	1463	2289	2822	1919	188	129	127	200					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	185854	1480	2170	2240	2290	2050	1870	1820	2060	1780	2100	2550	2560	370	1780	1620	2230	2080	2410	2140	1930	2160	2390	2400	2240	2290	2250	2210	2140	2080	2130	2300	2350	1920	2330	2420	2000	2300	2100	2020	2020	2040	2250	2070	2570	2550	2300	2110	2210	2160	2470	2360	2290	2650	1790	1470	1780	1850	2410	2260	2450	1930	2300	2300	2060	1980	2310	2140	2230	2430	2200	1640	2010	1280	2380	2050	2240	2270	1940	1830	2000	1670	1330	1260	1330	1510	1330	1370	2050	2510	1720	174	130	130	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	109540	734	1286	1265	1427	1150	1123	1104	1320	1020	1023	1349	1466	165	1110	958	1035	1231	1252	1244	1123	1292	1394	1265	1331	1263	1286	1325	1292	1239	1290	1362	1230	1274	1507	1540	1156	1382	1255	1029	1223	1316	1297	1457	1370	1323	1207	1197	1261	1297	1271	1502	1457	1678	972	916	1056	1110	1702	1276	1444	1116	1345	1288	1417	1073	1321	1299	1226	1378	1219	961	1200	702	1261	1180	1303	1338	1274	825	1444	975	704	750	792	1080	1191	939	1267	1565	1140	162	129	77	170					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3452	41	17	34	15	27	26	23	55	26	12	71	85	31	33	42	51	34	45	35	44	44	51	48	13	42	44	46	38	36	43	19	37	21	21	28	38	38	53	45	40	51	48	60	22	51	57	31	38	34	54	25	28	23	54	117	49	48	54	30	16	36	10	10	15	12	32	39	26	33	31	28	37	30	80	47	24	32	17	74	21	63	56	35	22	20	6	10	58	68	24	12	0	32	30					
6	Число погашенных избирательных бюллетеней	72862	705	867	941	848	873	721	693	685	734	1065	1130	1009	174	637	620	1144	815	1113	861	763	824	945	1087	896	985	920	839	810	805	797	919	1083	625	802	852	806	880	792	946	757	673	905	553	1178	1176	1036	882	911	829	1145	833	805	949	764	437	675	692	654	954	990	778	945	1002	628	895	957	802	978	1019	950	651	773	548	1039	823	913	900	649	931	535	632	570	475	516	410	133	421	725	877	556	0	1	21	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3452	41	17	34	15	27	26	23	55	26	12	71	85	31	33	42	51	34	45	35	44	44	51	48	13	42	44	46	38	36	43	19	37	21	21	28	38	38	53	45	40	51	48	60	22	51	57	31	38	34	54	25	28	23	54	117	49	48	54	30	16	36	10	10	15	12	32	39	26	33	31	28	37	30	80	47	24	32	17	74	21	63	56	35	22	20	6	10	58	68	24	12	0	32	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	109376	734	1286	1265	1427	1150	1122	1104	1318	1020	1023	1347	1462	165	1110	957	1035	1203	1252	1238	1123	1291	1394	1265	1331	1261	1286	1323	1292	1239	1290	1360	1229	1274	1503	1540	1156	1382	1252	1028	1221	1311	1297	1457	1370	1323	1194	1197	1260	1295	1269	1502	1455	1678	972	912	1056	1110	1698	1276	1436	1116	1345	1288	1417	1072	1320	1293	1223	1353	1219	960	1198	701	1256	1180	1297	1338	1272	825	1443	975	704	749	792	1075	1191	939	1266	1565	1140	162	129	77	170					
9	Число недействительных избирательных бюллетеней	1581	11	11	22	20	19	20	12	22	14	18	22	37	5	20	12	28	16	23	22	18	25	17	13	25	24	20	15	14	17	13	10	21	22	24	20	13	22	21	17	26	11	20	26	10	9	15	28	9	12	15	20	30	24	12	9	18	13	29	19	20	18	22	20	24	4	16	14	11	21	13	15	23	11	12	18	14	15	20	10	17	9	10	10	17	15	24	14	22	19	18	2	0	1	2					
10	Число действительных избирательных бюллетеней	111247	764	1292	1277	1422	1158	1128	1115	1351	1032	1017	1396	1510	191	1123	987	1058	1221	1274	1251	1149	1310	1428	1300	1319	1279	1310	1354	1316	1258	1320	1369	1245	1273	1500	1548	1181	1398	1284	1056	1235	1351	1325	1491	1382	1365	1236	1200	1289	1317	1308	1507	1453	1677	1014	1020	1087	1145	1723	1287	1432	1134	1333	1278	1408	1080	1336	1318	1238	1365	1237	973	1212	720	1324	1209	1307	1355	1269	889	1447	1029	750	774	797	1080	1173	935	1302	1614	1146	172	129	108	198					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3546	30	30	35	50	45	30	36	40	30	38	30	30	5	30	30	30	30	34	30	30	30	40	30	35	35	35	30	35	30	30	50	35	50	38	40	38	36	35	45	37	35	33	30	30	35	60	40	30	30	45	50	123	60	30	30	30	30	61	37	37	28	70	33	30	60	31	30	42	45	35	30	31	29	30	35	30	30	60	60	60	60	30	20	30	30	122	105	35	40	42	0	0	0	0					
