Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Верхнедонская 																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976					
1	"Число избирателей, внесенных в списки"	18358	132	192	233	642	199	160	1820	2306	352	176	782	705	114	73	1215	141	419	86	183	958	278	228	256	1515	238	183	404	65	141	146	742	94	211	72	233	469	396	192	101	834	246	74	352					
2	"Число бюллетеней, полученных участковыми комиссиями"	18390	133	191	234	647	198	161	1811	2305	358	178	768	711	114	74	1217	138	415	88	183	953	275	224	250	1489	239	180	422	67	142	148	744	97	211	74	239	483	408	193	104	843	253	75	353					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10982	92	174	143	389	108	118	1077	1308	215	113	466	344	72	58	770	66	365	74	102	513	147	117	142	812	158	142	212	48	113	131	482	72	166	40	159	190	227	132	88	471	118	60	188					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1694	9	0	17	36	22	19	56	119	76	31	75	182	15	0	57	26	21	0	47	76	63	57	51	81	12	0	76	13	20	0	71	7	12	24	28	63	35	26	4	97	49	0	21					
6	Число погашенных бюллетеней	5714	32	17	74	222	68	24	678	878	67	34	227	185	27	16	390	46	29	14	34	364	65	50	57	596	69	38	134	6	9	17	191	18	33	10	52	230	146	35	12	275	86	15	144					
7	Число бюллетеней в переносных ящиках для голосования	1694	9	0	17	36	22	19	56	119	76	31	75	182	15	0	57	26	21	0	47	76	63	57	51	81	12	0	76	13	20	0	71	7	12	24	28	63	35	26	4	97	49	0	21					
8	Число бюллетеней в стационарных ящиках для голосования	10982	92	174	143	389	108	118	1077	1308	215	113	466	344	72	58	770	66	365	74	102	513	147	117	142	812	158	142	212	48	113	131	482	72	166	40	159	190	227	132	88	471	118	60	188					
9	Число недействительных бюллетеней	117	0	0	3	4	2	0	14	5	5	1	3	4	4	2	6	0	0	0	0	3	13	0	0	16	4	0	3	0	0	1	7	1	6	0	0	1	3	0	1	2	1	0	2					
10	Число действительных бюллетеней	12559	101	174	157	421	128	137	1119	1422	286	143	538	522	83	56	821	92	386	74	149	586	197	174	193	877	166	142	285	61	133	130	546	78	172	64	187	252	259	158	91	566	166	60	207					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	11	11	11	11	11	11	32	27	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	1	11	11	11	11	11	11	11	11	11	11	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	0	0	0	2	0	2	26	27	3	0	1	5	1	0	3	0	1	0	0	0	0	0	0	3	0	1	2	0	0	0	0	1	1	0	0	2	6	0	0	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	1	3	1	2	2	2	2	10	1	1	0	3	2	1	1	4	1	0	2	0	2	2	3	2	2	1	1	1	1	0	2	0	1	2	2	0	1	1	0	3	0	1	1					
14	Число погашенных открепительных удостоверений	411	11	11	11	9	11	9	6	0	8	11	10	6	10	11	8	11	10	11	11	11	11	11	11	8	11	10	9	11	11	11	11	0	10	11	11	9	5	11	11	10	11	11	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	"1. ""ЕДИНЕНИЕ"""	201	0	1	3	8	3	1	19	28	10	1	3	7	2	1	17	4	0	2	1	11	5	2	4	8	3	1	8	0	0	0	11	0	3	1	2	4	3	4	3	12	2	0	3					
