Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Лухская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613					
1	"Число избирателей, внесенных в списки"	7182	2548	263	248	307	323	111	239	155	270	690	98	100	238	352	201	1039					
2	"Число бюллетеней, полученных участковыми комиссиями"	7043	2470	254	245	293	324	108	240	151	266	681	95	96	235	343	196	1046					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3722	1409	135	160	157	135	75	139	65	133	374	65	71	106	148	94	456					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	799	59	67	41	51	68	0	36	51	39	99	13	8	82	68	37	80					
6	Число погашенных бюллетеней	2521	1001	52	44	85	121	33	65	35	94	208	17	17	47	127	65	510					
7	Число бюллетеней в переносных ящиках для голосования	799	59	67	41	51	68	0	36	51	39	99	13	8	82	68	37	80					
8	Число бюллетеней в стационарных ящиках для голосования	3721	1408	135	160	157	135	75	139	65	133	374	65	71	106	148	94	456					
9	Число недействительных бюллетеней	50	16	5	2	3	3	2	1	0	0	1	1	0	0	5	9	2					
10	Число действительных бюллетеней	4470	1451	197	199	205	200	73	174	116	172	472	77	79	188	211	122	534					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	78	10	4	4	4	4	4	4	4	4	8	4	4	4	4	4	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	10	0	2	0	1	0	0	0	0	5	1	0	4	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	6	1	0	1	0	1	1	0	0	1	2	2	1	0	1	2					
14	Число погашенных открепительных удостоверений	52	0	4	2	4	3	4	4	4	4	3	3	4	0	3	4	6					
15	Число открепительных удостоверений выданных ТИК	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	97	21	13	3	3	4	0	3	2	4	14	1	4	3	6	5	11					
		2.14%	1.43%	6.43%	1.49%	1.44%	1.97%	0.0%	1.71%	1.72%	2.32%	2.95%	1.28%	5.06%	1.59%	2.77%	3.81%	2.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	25	13	3	0	0	0	0	0	0	0	5	0	0	1	2	0	1					
		0.55%	0.88%	1.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.0%	0.53%	0.92%	0.0%	0.18%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	95	46	3	4	7	1	0	4	3	4	6	0	0	5	2	0	10					
		2.10%	3.13%	1.48%	1.99%	3.36%	0.49%	0.0%	2.28%	2.58%	2.32%	1.26%	0.0%	0.0%	2.65%	0.92%	0.0%	1.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	55	30	1	0	2	4	1	0	0	2	5	0	0	1	3	2	4					
		1.21%	2.04%	0.49%	0.0%	0.96%	1.97%	1.33%	0.0%	0.0%	1.16%	1.05%	0.0%	0.0%	0.53%	1.38%	1.52%	0.74%					
22	"5. ""За Русь Святую"""	20	6	0	3	1	1	2	0	0	0	3	0	0	0	0	0	4					
		0.44%	0.40%	0.0%	1.49%	0.48%	0.49%	2.66%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	3	0	1	3	0	0	0	0	0	4	1	0	0	0	0	0					
		0.26%	0.20%	0.0%	0.49%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	16	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.44%	1.09%	0.0%	1.49%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1					
		0.08%	0.06%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.18%					
27	"10. ""Аграрная партия России"""	571	98	34	39	51	43	9	33	15	26	60	7	19	29	41	34	33					
		12.63%	6.68%	16.83%	19.40%	24.51%	21.18%	12.0%	18.85%	12.93%	15.11%	12.68%	8.97%	24.05%	15.42%	18.98%	25.95%	6.15%					
28	"11. ""Истинные патриоты России"""	13	2	0	2	1	2	0	0	0	0	0	0	0	3	1	0	2					
		0.28%	0.13%	0.0%	0.99%	0.48%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.59%	0.46%	0.0%	0.37%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	64	28	1	2	3	1	1	2	1	4	5	1	0	1	0	2	12					
		1.41%	1.90%	0.49%	0.99%	1.44%	0.49%	1.33%	1.14%	0.86%	2.32%	1.05%	1.28%	0.0%	0.53%	0.0%	1.52%	2.23%					
30	"13. ""Демократическая партия России"""	10	5	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0					
		0.22%	0.34%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.59%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	3	0	0	0	0	0	0	1	0	2	0	1	1	0	0	2					
		0.22%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.42%	0.0%	1.26%	0.53%	0.0%	0.0%	0.37%					
32	"15. ""Партия СЛОН"""	10	4	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0					
		0.22%	0.27%	0.49%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	319	156	14	17	5	17	5	13	1	10	24	7	4	4	6	3	33					
		7.05%	10.63%	6.93%	8.45%	2.40%	8.37%	6.66%	7.42%	0.86%	5.81%	5.07%	8.97%	5.06%	2.12%	2.77%	2.29%	6.15%					
