Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Аргаяшская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №2218	УИК №2219	УИК №2220	УИК №2221									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34029	1599	1748	1681	1982	1032	1095	203	298	613	289	239	193	700	222	777	503	764	513	206	237	1325	468	524	206	1762	757	550	129	138	316	201	747	400	467	349	366	1275	1194	444	669	440	662	894	512	583	307	846	214	948	219	343	180	148	146	168	238									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27560	1310	1380	1350	1400	840	880	180	240	490	220	190	160	570	180	630	410	630	420	180	200	1080	370	420	190	1340	610	450	130	130	240	160	630	340	480	280	290	1040	980	370	540	350	530	740	400	470	240	710	170	770	170	280	150	150	150	160	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14585	630	684	754	819	481	410	61	148	224	119	123	101	402	119	373	203	290	198	103	104	628	188	227	91	850	342	273	49	80	146	86	288	152	225	163	155	422	422	194	248	141	198	408	229	286	148	468	87	374	113	136	78	53	100	108	83									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	958	38	50	11	39	5	20	3	12	21	3	1	3	35	10	33	15	49	21	11	2	24	8	9	11	16	12	5	0	0	8	5	54	25	13	28	21	41	21	23	33	13	16	29	20	13	7	33	7	25	9	12	10	5	6	2	12									
6	Число погашенных избирательных бюллетеней	12016	642	646	585	542	354	450	116	80	245	98	66	56	133	51	224	192	291	201	66	94	428	174	184	88	474	256	172	81	50	86	69	288	163	242	89	114	577	537	153	259	196	316	302	151	171	85	209	76	371	48	132	62	92	44	50	95									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	958	38	50	11	39	5	20	3	12	21	3	1	3	35	10	33	15	49	21	11	2	24	8	9	11	16	12	5	0	0	8	5	54	25	13	28	21	41	21	23	33	13	16	29	20	13	7	33	7	25	9	12	10	5	6	2	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14580	630	684	753	818	481	409	61	148	224	119	123	101	402	119	373	203	288	198	103	104	628	188	227	91	850	342	273	49	80	146	86	288	152	225	163	155	422	422	194	248	141	198	408	229	286	148	468	87	374	113	136	78	53	100	108	83									
9	Число недействительных избирательных бюллетеней	550	26	25	22	36	14	10	5	6	5	11	2	5	17	7	11	6	11	21	6	4	18	4	4	9	32	7	9	4	7	3	3	13	2	12	3	7	14	12	13	11	6	10	16	8	11	6	19	1	7	10	2	3	2	3	3	6									
10	Число действительных избирательных бюллетеней	14988	642	709	742	821	472	419	59	154	240	111	122	99	420	122	395	212	326	198	108	102	634	192	232	93	834	347	269	45	73	151	88	329	175	226	188	169	449	431	204	270	148	204	421	241	288	149	482	93	392	112	146	85	56	103	107	89									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1049	40	30	30	36	30	15	15	15	10	10	10	10	20	5	20	20	33	20	26	20	30	10	10	10	30	20	15	5	5	10	5	35	35	55	20	10	30	30	20	10	10	15	24	20	20	10	40	5	30	5	10	5	20	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	955	40	30	30	36	25	14	15	15	9	2	10	7	20	5	20	12	33	20	26	17	30	10	10	10	30	18	15	5	4	8	1	35	35	53	20	10	22	28	20	8	4	8	24	6	16	5	40	5	30	5	8	1	20	10	10	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	524	11	14	24	9	10	5	4	10	8	9	8	3	10	4	9	2	11	3	4	8	9	9	7	4	112	13	3	4	6	6	1	1	10	38	13	10	3	3	8	3	5	5	7	3	7	12	5	4	10	6	6	3	8	2	10	2									
14	Число погашенных неиспользованных открепительных удостоверений	94	0	0	0	0	5	1	0	0	1	8	0	3	0	0	0	8	0	0	0	3	0	0	0	0	0	2	0	0	1	2	4	0	0	2	0	0	8	2	0	2	6	7	0	14	4	5	0	0	0	0	2	4	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	7	2	8	1	5	0	0	1	0	0	1	0	3	0	3	0	0	0	0	0	0	0	0	0	3	2	1	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	2	1	0	1	1	0	2	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	167	4	13	10	10	2	1	1	2	2	0	2	0	4	0	4	3	3	1	2	0	8	1	3	3	8	2	6	0	1	2	3	2	2	4	2	2	6	7	2	2	4	3	4	1	2	0	2	3	9	3	5	0	0	1	0	0									
		1.07%	0.60%	1.77%	1.31%	1.17%	0.41%	0.23%	1.56%	1.25%	0.82%	0.00%	1.61%	0.00%	0.92%	0.00%	0.99%	1.38%	0.89%	0.46%	1.75%	0.00%	1.23%	0.51%	1.27%	2.94%	0.92%	0.56%	2.16%	0.00%	1.25%	1.30%	3.30%	0.58%	1.13%	1.68%	1.05%	1.14%	1.30%	1.58%	0.92%	0.71%	2.60%	1.40%	0.92%	0.40%	0.67%	0.00%	0.40%	3.19%	2.26%	2.46%	3.38%	0.00%	0.00%	0.94%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	645	29	22	19	25	17	17	0	7	11	4	2	4	16	7	22	9	11	15	4	4	36	12	12	7	35	15	14	2	7	3	4	17	3	7	4	8	25	27	10	16	10	5	16	10	13	3	14	4	17	13	9	4	1	7	3	7									
		4.15%	4.34%	2.99%	2.49%	2.92%	3.50%	3.96%	0.00%	4.38%	4.49%	3.28%	1.61%	3.85%	3.66%	5.43%	5.42%	4.13%	3.26%	6.85%	3.51%	3.77%	5.52%	6.12%	5.08%	6.86%	4.04%	4.24%	5.04%	4.08%	8.75%	1.95%	4.40%	4.97%	1.69%	2.94%	2.09%	4.55%	5.40%	6.09%	4.61%	5.69%	6.49%	2.34%	3.66%	4.02%	4.35%	1.94%	2.79%	4.26%	4.26%	10.66%	6.08%	4.55%	1.72%	6.60%	2.73%	7.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	352	35	25	31	20	19	10	1	2	3	0	2	1	4	4	6	14	12	3	1	3	11	1	2	2	14	5	1	0	0	1	1	1	3	6	1	3	9	11	2	1	2	7	8	4	6	5	26	0	11	3	2	5	1	0	1	0									
