Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №26																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	129467	1997	2022	1998	2007	2291	2425	2324	2141	2405	2223	2069	1939	1814	2129	2159	2419	1912	1931	1889	198	2026	2237	2350	2303	2431	1956	2334	517	1660	1921	1865	1935	1714	2011	1024	1969	2150	2244	964	2276	1080	1611	2387	1975	2550	1122	1900	1778	2207	1730	1885	2151	1925	1709	1940	1539	1615	1468	2389	2199	1570	1690	603	1332	378	2468	2078	2103	1906									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	111600	1500	1500	1500	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	2000	2000	2000	1500	1500	1500	700	1500	2000	2000	2000	2000	1500	2000	500	1500	1500	1500	1500	1500	2000	1000	1500	2000	2000	800	2000	1000	1500	2000	1500	2000	1000	1500	1500	2000	1500	1500	2000	1500	1500	1500	1500	1500	1200	2000	2000	1500	1500	700	1000	300	2000	2000	2000	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40865	647	591	671	659	684	716	756	629	742	862	608	611	500	731	667	765	687	693	575	60	626	682	756	757	823	580	710	391	511	602	517	725	562	581	355	427	904	744	349	726	351	565	747	656	758	286	594	543	652	455	582	652	525	547	594	379	455	435	767	681	460	457	367	356	148	1225	487	420	539									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1165	9	18	1	7	4	8	11	10	5	4	4	8	13	6	5	9	5	5	15	100	14	9	35	26	16	6	29	109	4	9	15	9	11	7	26	22	41	10	4	15	4	6	10	2	3	19	6	15	19	12	22	10	11	9	10	7	10	4	14	16	9	19	202	10	8	5	24	4	11									
6	Число погашенных избирательных бюллетеней	69570	844	891	828	1334	1312	1276	1233	1361	1253	1134	1388	881	987	1263	1328	1226	808	802	910	540	860	1309	1209	1217	1161	914	1261	0	985	889	968	766	927	1412	619	1051	1055	1246	447	1259	645	929	1243	842	1239	695	900	942	1329	1033	896	1338	964	944	896	1114	1035	761	1219	1303	1031	1024	131	634	144	770	1489	1576	1350									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1164	9	18	1	7	4	8	11	10	5	4	4	8	13	6	5	9	5	5	15	100	14	9	35	26	16	6	29	109	4	9	15	9	11	7	26	22	41	10	4	15	4	6	10	2	3	19	6	15	19	12	22	10	11	9	10	7	10	4	14	16	9	18	202	10	8	5	24	4	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40638	647	586	668	633	677	714	745	629	742	859	598	611	494	716	665	765	679	688	574	60	626	682	752	754	821	579	708	391	509	598	517	688	562	578	354	427	897	743	349	726	351	565	737	654	754	286	593	543	651	455	581	650	525	547	594	379	450	435	763	681	451	452	367	354	148	1218	484	420	539									
9	Число недействительных избирательных бюллетеней	1147	16	11	15	13	10	11	18	12	11	20	13	17	11	13	30	0	29	9	21	5	19	27	10	9	27	23	15	8	14	9	20	18	26	23	16	7	23	18	11	29	9	21	23	14	15	6	27	21	23	21	17	22	14	21	18	16	20	11	21	25	9	22	18	15	4	34	12	8	23									
10	Число действительных избирательных бюллетеней	40655	640	593	654	627	671	711	738	627	736	843	589	602	496	709	640	774	655	684	568	155	621	664	777	771	810	562	722	492	499	598	512	679	547	562	364	442	915	735	342	712	346	550	724	642	742	299	572	537	647	446	586	638	522	535	586	370	440	428	756	672	451	448	551	349	152	1189	496	416	527									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2630	40	50	40	40	40	50	40	40	50	50	40	40	30	40	40	50	40	40	40	0	40	40	40	40	50	40	40	10	30	40	40	40	30	50	20	40	70	40	20	40	20	30	50	40	50	20	40	30	40	30	40	40	40	30	40	30	40	30	40	40	30	30	20	30	20	100	40	40	40									
