Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Вышневолоцкая городская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
1	"Число избирателей, внесенных в список избирателей"	42209	1383	1677	2172	2632	1964	868	1256	1580	2424	1307	1429	1407	914	474	632	540	1707	960	1599	542	1306	1697	884	1260	988	853	2056	2582	2512	467	137					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39243	1300	1600	2000	2400	1800	800	1200	1500	2200	1200	1300	1300	900	450	600	500	1600	900	1500	500	1200	1600	800	1200	900	800	1900	2400	2300	461	132					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20124	541	782	944	1009	1108	516	545	704	1374	627	724	650	524	212	297	237	778	463	772	234	717	793	379	551	464	400	961	1280	1182	274	82					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1126	51	49	75	82	30	11	41	40	48	29	37	27	15	7	12	8	43	13	56	16	22	38	32	40	20	32	42	38	52	72	48					
6	Число погашенных избирательных бюллетеней	17993	708	769	981	1309	662	273	614	756	778	544	539	623	361	231	291	255	779	424	672	250	461	769	389	609	416	368	897	1082	1066	115	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1126	51	49	75	82	30	11	41	40	48	29	37	27	15	7	12	8	43	13	56	16	22	38	32	40	20	32	42	38	52	72	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20115	540	782	943	1008	1108	516	543	704	1374	627	724	650	524	212	297	237	777	463	772	234	717	792	379	551	464	400	961	1280	1180	274	82					
9	Число недействительных избирательных бюллетеней	411	11	11	54	17	26	8	6	9	17	14	18	18	3	3	8	7	16	8	6	5	12	10	9	13	2	7	13	26	18	34	2					
10	Число действительных избирательных бюллетеней	20830	580	820	964	1073	1112	519	578	735	1405	642	743	659	536	216	301	238	804	468	822	245	727	820	402	578	482	425	990	1292	1214	312	128					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	643	20	20	35	30	35	30	15	23	25	30	25	20	15	10	15	15	25	15	10	10	25	20	10	20	10	15	40	50	20	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	414	12	15	15	29	20	18	11	16	24	21	10	13	15	5	5	5	17	7	7	4	9	17	5	6	9	15	25	46	13	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	202	0	3	10	7	10	3	6	4	17	10	10	5	0	3	6	5	11	2	16	3	5	5	0	2	6	4	8	5	10	6	20					
14	Число погашенных неиспользованных открепительных удостоверений	229	8	5	20	1	15	12	4	7	1	9	15	7	0	5	10	10	8	8	3	6	16	3	5	14	1	0	15	4	7	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	2	2	0	1	3	0	0	2	4	0	1	3	2	1	1	1	1	1	2	0	0	1	1	0	3	1	1	1	3	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3692	111	160	187	198	158	78	104	121	216	121	134	112	112	37	55	44	150	77	178	36	131	163	83	84	75	72	172	220	230	48	25					
		17.38%	18.78%	19.25%	18.37%	18.17%	13.88%	14.80%	17.81%	16.26%	15.19%	18.45%	17.61%	16.54%	20.78%	16.89%	17.80%	17.96%	18.29%	16.18%	21.50%	14.40%	17.73%	19.64%	20.19%	14.21%	15.50%	16.67%	17.15%	16.69%	18.67%	13.87%	19.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2907	90	105	128	152	125	71	68	110	162	89	104	75	70	37	60	38	122	82	123	59	74	111	48	88	86	71	149	166	190	34	20					
		13.69%	15.23%	12.64%	12.57%	13.94%	10.98%	13.47%	11.64%	14.78%	11.39%	13.57%	13.67%	11.08%	12.99%	16.89%	19.42%	15.51%	14.88%	17.23%	14.86%	23.60%	10.01%	13.37%	11.68%	14.89%	17.77%	16.44%	14.86%	12.59%	15.42%	9.83%	15.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	253	10	12	10	14	6	13	7	6	12	5	4	16	4	2	3	5	14	5	12	1	9	9	5	8	8	4	12	13	15	7	2					
		1.19%	1.69%	1.44%	0.98%	1.28%	0.53%	2.47%	1.20%	0.81%	0.84%	0.76%	0.53%	2.36%	0.74%	0.91%	0.97%	2.04%	1.71%	1.05%	1.45%	0.40%	1.22%	1.08%	1.22%	1.35%	1.65%	0.93%	1.20%	0.99%	1.22%	2.02%	1.54%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6068	124	261	237	261	419	200	173	224	514	179	226	227	167	58	83	63	207	138	187	59	235	217	101	166	133	110	294	410	331	46	18					
		28.57%	20.98%	31.41%	23.28%	23.94%	36.82%	37.95%	29.62%	30.11%	36.15%	27.29%	29.70%	33.53%	30.98%	26.48%	26.86%	25.71%	25.24%	28.99%	22.58%	23.60%	31.80%	26.14%	24.57%	28.09%	27.48%	25.46%	29.31%	31.11%	26.87%	13.29%	13.85%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	789	13	21	34	33	55	26	28	28	73	28	34	26	15	18	7	12	24	17	27	8	29	29	18	23	21	13	29	44	51	3	2					
		3.71%	2.20%	2.53%	3.34%	3.03%	4.83%	4.93%	4.79%	3.76%	5.13%	4.27%	4.47%	3.84%	2.78%	8.22%	2.27%	4.90%	2.93%	3.57%	3.26%	3.20%	3.92%	3.49%	4.38%	3.89%	4.34%	3.01%	2.89%	3.34%	4.14%	0.87%	1.54%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7030	232	255	363	409	343	130	195	245	420	219	237	202	166	64	90	76	285	147	291	81	247	286	145	204	159	152	329	435	391	171	61					
		33.10%	39.26%	30.69%	35.66%	37.52%	30.14%	24.67%	33.39%	32.93%	29.54%	33.38%	31.14%	29.84%	30.80%	29.22%	29.13%	31.02%	34.76%	30.88%	35.14%	32.40%	33.42%	34.46%	35.28%	34.52%	32.85%	35.19%	32.80%	33.00%	31.74%	49.42%	46.92%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	91	0	6	5	6	6	1	3	1	8	1	4	1	2	0	3	0	2	2	4	1	2	5	2	5	0	3	5	4	6	3	0					
		0.43%	0.00%	0.72%	0.49%	0.55%	0.53%	0.19%	0.51%	0.13%	0.56%	0.15%	0.53%	0.15%	0.37%	0.00%	0.97%	0.00%	0.24%	0.42%	0.48%	0.40%	0.27%	0.60%	0.49%	0.85%	0.00%	0.69%	0.50%	0.30%	0.49%	0.87%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
