Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Диксонская									
									
Сводная таблица итогов голосования  по федеральному округу									
									
		Сумма	УИК №1	УИК №2					
1	"Число избирателей, внесенных в списки"	922	681	241					
2	"Число бюллетеней, полученных участковыми комиссиями"	841	611	230					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	130	130	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	484	354	130					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	32	23	9					
6	Число погашенных бюллетеней	195	104	91					
7	Число бюллетеней в переносных ящиках для голосования	162	153	9					
8	Число бюллетеней в стационарных ящиках для голосования	484	354	130					
9	Число недействительных бюллетеней	8	7	1					
10	Число действительных бюллетеней	638	500	138					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	11	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	1	2					
14	Число погашенных открепительных удостоверений	39	20	19					
15	Число открепительных удостоверений выданных ТИК	0	0	0					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	14	13	1					
		2.16%	2.56%	0.71%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	20	14	6					
		3.09%	2.76%	4.31%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	14	9	5					
		2.16%	1.77%	3.59%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	49	24	25					
		7.58%	4.73%	17.98%					
22	"5. ""За Русь Святую"""	3	2	1					
		0.46%	0.39%	0.71%					
23	"6. ""Объединенная Российская партия ""Русь"""	3	2	1					
		0.46%	0.39%	0.71%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	3	1					
		0.61%	0.59%	0.71%					
25	"8. ""Народно-республиканская партия России"""	0	0	0					
		0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	5	0					
		0.77%	0.98%	0.0%					
27	"10. ""Аграрная партия России"""	10	7	3					
		1.54%	1.38%	2.15%					
28	"11. ""Истинные патриоты России"""	1	1	0					
		0.15%	0.19%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	5	5	0					
		0.77%	0.98%	0.0%					
30	"13. ""Демократическая партия России"""	2	2	0					
		0.30%	0.39%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	2	0					
		0.30%	0.39%	0.0%					
32	"15. ""Партия СЛОН"""	1	1	0					
		0.15%	0.19%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	42	32	10					
		6.50%	6.31%	7.19%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	2	0					
		0.30%	0.39%	0.0%					
35	"18. ""ЛДПР"""	70	60	10					
		10.83%	11.83%	7.19%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	4	4	0					
		0.61%	0.78%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	291	233	58					
		45.04%	45.95%	41.72%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0	0					
		0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	3	3	0					
		0.46%	0.59%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	35	29	6					
		5.41%	5.71%	4.31%					
									
41	Против всех	58	47	11					
		8.97%	9.27%	7.91%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
